kind,key,value
blog_keyword,성북구,203
blog_keyword,안암역,148
blog_keyword,고려대맛집,143
blog_keyword,안암역맛집,101
blog_keyword,고려대로,93
blog_keyword,안암맛집,70
blog_keyword,안암동,58
blog_keyword,고대맛집,53
blog_keyword,성북구맛집,53
blog_keyword,인디야,46
blog_keyword,제주고깃집,41
blog_keyword,안암카페,40
blog_keyword,고대,39
blog_keyword,매일,36
blog_keyword,고려대학교,34
blog_keyword,안암동맛집,34
blog_keyword,안암점,31
blog_keyword,가성비,31
blog_keyword,근처에서,30
blog_keyword,베나레스,28
blog_keyword,대나무다방,28
blog_keyword,안암로,28
blog_keyword,근처,27
blog_keyword,안암지점,25
blog_keyword,개운사길,24
blog_keyword,가능,23
blog_keyword,정보,23
blog_keyword,서울특별시,23
blog_keyword,고려대카페,23
blog_keyword,분위기,22
blog_keyword,일월의제면소,22
blog_keyword,안암데이트,21
blog_keyword,시간,21
blog_keyword,도보,20
blog_keyword,본점,19
blog_keyword,출구에서,19
blog_keyword,고려대역,19
blog_keyword,동대문구,19
blog_keyword,공카라,19
blog_keyword,근처에,18
blog_keyword,오징어나라,18
blog_keyword,인도,18
blog_keyword,스터디카페,18
blog_keyword,찾는,17
blog_keyword,제제집,17
blog_keyword,서울맛집,16
blog_keyword,커리,16
blog_keyword,호선,16
blog_keyword,스스쿠,15
blog_keyword,인도커리,15
category,카페,44
category,한식,33
category,"호프,요리주점",22
category,중국요리,12
category,"제과,베이커리",11
category,"육류,고기",11
category,약국,11
category,"돈까스,우동",9
category,커피전문점,9
category,양식,8
category,술집,8
category,CU,8
category,삼겹살,7
category,분식,7
category,이탈리안,7
category,칵테일바,7
category,디저트카페,7
category,세븐일레븐,7
category,GS25,7
category,치과,7
category,치킨,6
category,실내포장마차,6
category,샐러드,6
category,"찌개,전골",5
category,국밥,5
category,일식,5
category,냉면,4
category,인도음식,4
category,일본식주점,3
category,피자,3
demand,flpop_tmzon_00_06,21.31
demand,selng_tmzon_00_06,5.2
demand,flpop_tmzon_06_11,20.56
demand,selng_tmzon_06_11,8.73
demand,flpop_tmzon_11_14,14.27
demand,selng_tmzon_11_14,23.02
demand,flpop_tmzon_14_17,13.98
demand,selng_tmzon_14_17,18.65
demand,flpop_tmzon_17_21,17.75
demand,selng_tmzon_17_21,32.56
demand,flpop_tmzon_21_24,12.13
demand,selng_tmzon_21_24,11.84
demand,agrde_10,12.51
demand,agrde_20,40.44
demand,agrde_30,13.05
demand,agrde_40,10.06
demand,agrde_50,10.27
demand,agrde_60_above,13.68
demand,fml_share,51.32
demand,flpop_wkend,25.25
demand,selng_wkend,24.93
demand,frc_share,17.99
demand,opbiz_rt,2.28
demand,clsbiz_rt,2.59
demand,stor_co,832.75
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
trend:안암·고려대,2024-07-01,5.83698
trend:안암·고려대,2024-08-01,6.44953
trend:안암·고려대,2024-09-01,8.14725
trend:안암·고려대,2024-10-01,6.19389
trend:안암·고려대,2024-11-01,7.61376
trend:안암·고려대,2024-12-01,12.09445
trend:안암·고려대,2025-01-01,6.94354
trend:안암·고려대,2025-02-01,7.56935
trend:안암·고려대,2025-03-01,5.94756
trend:안암·고려대,2025-04-01,4.85336
trend:안암·고려대,2025-05-01,5.53056
trend:안암·고려대,2025-06-01,4.60479
trend:안암·고려대,2025-07-01,4.88299
trend:안암·고려대,2025-08-01,5.33115
trend:안암·고려대,2025-09-01,7.76124
trend:안암·고려대,2025-10-01,5.19979
trend:안암·고려대,2025-11-01,6.2358
trend:안암·고려대,2025-12-01,10.89951
trend:안암·고려대,2026-01-01,5.92052
trend:안암·고려대,2026-02-01,5.49206
trend:안암·고려대,2026-03-01,4.77957
trend:안암·고려대,2026-04-01,4.03924
trend:안암·고려대,2026-05-01,4.10344
trend:안암·고려대,2026-06-01,4.01202
trend:안암·고려대,2026-07-01,3.8307
