kind,key,value
blog_keyword,강남구,101
blog_keyword,압구정,98
blog_keyword,압구정로데오역,55
blog_keyword,압구정로데오맛집,36
blog_keyword,선릉로,33
blog_keyword,청담,25
blog_keyword,벤슨,25
blog_keyword,매일,24
blog_keyword,압구정맛집,22
blog_keyword,도산대로,21
blog_keyword,압구정상회,20
blog_keyword,도보,19
blog_keyword,주차,19
blog_keyword,들기름막국수,18
blog_keyword,메밀치킨,18
blog_keyword,출구에서,17
blog_keyword,아이스크림,17
blog_keyword,로데오,16
blog_keyword,크리머리,16
blog_keyword,정보,15
blog_keyword,분위기,15
blog_keyword,시간,15
blog_keyword,디저트,15
blog_keyword,생방송투데이,15
blog_keyword,있어,14
blog_keyword,강남,14
blog_keyword,언주로,14
blog_keyword,브런치,14
blog_keyword,압구정데이트,12
blog_keyword,신사동,12
blog_keyword,데이트,11
blog_keyword,거리에,11
blog_keyword,위치해,11
blog_keyword,담벼락식당,10
blog_keyword,청담점,10
blog_keyword,압구정로,10
blog_keyword,청담동,10
blog_keyword,샤브인서울,9
blog_keyword,메뉴,9
blog_keyword,가능,9
blog_keyword,들기름,9
blog_keyword,서울맛집,8
blog_keyword,출구,8
blog_keyword,지하,8
blog_keyword,술집,8
blog_keyword,압구정회식,8
blog_keyword,부산,8
blog_keyword,오늘은,8
blog_keyword,퇴근,8
blog_keyword,핵심,8
category,피부과,63
category,카페,57
category,양식,53
category,술집,46
category,칵테일바,43
category,한식,38
category,성형외과,35
category,"육류,고기",31
category,"제과,베이커리",27
category,"호프,요리주점",26
category,일식,24
category,디저트카페,21
category,치과,19
category,일본식주점,18
category,일반의원,14
category,약국,13
category,중국요리,12
category,와인바,10
category,보드카페,9
category,"초밥,롤",8
category,일식집,8
category,사주카페,8
category,"돈까스,우동",6
category,이탈리안,6
category,"해물,생선",6
category,국수,6
category,실내포장마차,6
category,분식,6
category,GS25,6
category,세븐일레븐,6
