kind,key,value
blog_keyword,강남,179
blog_keyword,강남구,167
blog_keyword,양재역,131
blog_keyword,강남대로,115
blog_keyword,뱅뱅사거리점,110
blog_keyword,강남역,100
blog_keyword,문화시민,98
blog_keyword,디저트,93
blog_keyword,서초구,92
blog_keyword,뱅뱅사거리카페,72
blog_keyword,파라노이드,65
blog_keyword,양재,58
blog_keyword,뱅뱅사거리맛집,54
blog_keyword,부안육비,51
blog_keyword,도곡로,49
blog_keyword,역삼동,44
blog_keyword,강남뱅뱅,39
blog_keyword,마삼계탕,39
blog_keyword,문화시민서울,39
blog_keyword,점심,38
blog_keyword,평일,37
blog_keyword,근처,35
blog_keyword,오마카세,35
blog_keyword,흥도식당,34
blog_keyword,위치한,33
blog_keyword,오늘은,32
blog_keyword,역삼,31
blog_keyword,서초,30
blog_keyword,주차,30
blog_keyword,건물,28
blog_keyword,역삼디저트,28
blog_keyword,주말,27
blog_keyword,서울특별시,27
blog_keyword,근처에,26
blog_keyword,출구에서,25
blog_keyword,일요일,24
blog_keyword,층에,24
blog_keyword,강남카페,24
blog_keyword,조순금닭도리탕,23
blog_keyword,유명한,22
blog_keyword,안녕하세요,22
blog_keyword,맛집으로,21
blog_keyword,서초동,21
blog_keyword,자연곳간,21
blog_keyword,매일,21
blog_keyword,마들렌,21
blog_keyword,남부순환로,20
blog_keyword,휴무,20
blog_keyword,삼계탕,20
blog_keyword,서초점,19
category,백반/한정식,302
category,카페,213
category,기타 교육지원 서비스업,178
category,미용실,131
category,입시·교과학원,120
category,화장품 소매업,107
category,피부 관리실,102
category,요가/필라테스 학원,99
category,교육컨설팅업,79
category,기타 의류 소매업,76
category,요리 주점,72
category,편의점,70
category,경양식,64
category,일식 회/초밥,63
category,돼지고기 구이/찜,62
category,김밥/만두/분식,59
category,헬스장,54
category,기숙사/고시원,53
category,기타 기술/직업 훈련학원,52
category,치과의원,51
category,네일숍,50
category,건강보조식품 소매업,50
category,그 외 기타 교육기관,49
category,약국,46
category,꽃집,46
category,국/탕/찌개류,44
category,한의원,41
category,외국어학원,36
category,중국집,36
category,미술학원,35
trend:뱅뱅사거리,2024-08-01,0.52973
trend:뱅뱅사거리,2024-09-01,0.44439
trend:뱅뱅사거리,2024-10-01,0.47618
trend:뱅뱅사거리,2024-11-01,0.54271
trend:뱅뱅사거리,2024-12-01,0.51406
trend:뱅뱅사거리,2025-01-01,0.42639
trend:뱅뱅사거리,2025-02-01,0.48854
trend:뱅뱅사거리,2025-03-01,0.49597
trend:뱅뱅사거리,2025-04-01,0.44941
trend:뱅뱅사거리,2025-05-01,0.44412
trend:뱅뱅사거리,2025-06-01,0.4289
trend:뱅뱅사거리,2025-07-01,0.46382
trend:뱅뱅사거리,2025-08-01,0.43651
trend:뱅뱅사거리,2025-09-01,0.44985
trend:뱅뱅사거리,2025-10-01,0.39774
trend:뱅뱅사거리,2025-11-01,0.39282
trend:뱅뱅사거리,2025-12-01,0.40974
trend:뱅뱅사거리,2026-01-01,0.37607
trend:뱅뱅사거리,2026-02-01,0.35091
trend:뱅뱅사거리,2026-03-01,0.39765
trend:뱅뱅사거리,2026-04-01,0.36416
trend:뱅뱅사거리,2026-05-01,0.55238
trend:뱅뱅사거리,2026-06-01,0.40123
trend:뱅뱅사거리,2026-07-01,0.50573
trend:뱅뱅사거리,2026-08-01,0.62643
demand,flpop_tmzon_00_06,20.48
demand,selng_tmzon_00_06,1.06
demand,flpop_tmzon_06_11,21.42
demand,selng_tmzon_06_11,7.76
demand,flpop_tmzon_11_14,15.59
demand,selng_tmzon_11_14,28.03
demand,flpop_tmzon_14_17,15.08
demand,selng_tmzon_14_17,19.69
demand,flpop_tmzon_17_21,16.77
demand,selng_tmzon_17_21,29.65
demand,flpop_tmzon_21_24,10.66
demand,selng_tmzon_21_24,13.81
demand,agrde_10,12.39
demand,agrde_20,16.16
demand,agrde_30,23.14
demand,agrde_40,21.62
demand,agrde_50,14.2
demand,agrde_60_above,12.49
demand,fml_share,50.2
demand,flpop_wkend,23.23
demand,selng_wkend,17.98
demand,frc_share,5.18
demand,opbiz_rt,1.35
demand,clsbiz_rt,1.6
demand,stor_co,2299.75
demand,trdar_n,2.0
demand,trdar_selng_n,2.0
