kind,key,value
blog_keyword,은평구,417
blog_keyword,통일로,121
blog_keyword,프리롤,90
blog_keyword,불광,72
blog_keyword,진흥로,67
blog_keyword,불광점,62
blog_keyword,불광역맛집,59
blog_keyword,주차,56
blog_keyword,불광로,51
blog_keyword,백화점,51
blog_keyword,매일,51
blog_keyword,불광동,47
blog_keyword,업체,45
blog_keyword,근처,43
blog_keyword,연락처,42
blog_keyword,출구에서,40
blog_keyword,정보,39
blog_keyword,은평,39
blog_keyword,불광역카페,39
blog_keyword,커피,39
blog_keyword,안녕하세요,38
blog_keyword,은평구맛집,36
blog_keyword,가능,33
blog_keyword,오늘은,33
blog_keyword,서울특별시,32
blog_keyword,삼냉이골,32
blog_keyword,분위기,32
blog_keyword,프리롤카페,30
blog_keyword,휴무,28
blog_keyword,불광역점,27
blog_keyword,고메스퀘어,26
blog_keyword,근처에,26
blog_keyword,시간,25
blog_keyword,도보,23
blog_keyword,이룸,23
blog_keyword,공음,22
blog_keyword,추가,21
blog_keyword,안내,21
blog_keyword,은평구고깃집,21
blog_keyword,불광고깃집,21
blog_keyword,투고그린,21
blog_keyword,매주,20
blog_keyword,두들,20
blog_keyword,작업하기,19
blog_keyword,프로젝트,19
blog_keyword,가성비,18
blog_keyword,출구,18
blog_keyword,평일,18
blog_keyword,주말,18
blog_keyword,제주한방약초카페,18
category,한식,34
category,약국,27
category,치과,26
category,카페,21
category,"호프,요리주점",17
category,"제과,베이커리",17
category,"육류,고기",16
category,"해물,생선",14
category,분식,14
category,"여관,모텔",14
category,"곱창,막창",12
category,치킨,10
category,커피전문점,9
category,내과,9
category,GS25,8
category,장어,7
category,중국요리,7
category,갈비,7
category,"돈까스,우동",7
category,정형외과,7
category,칼국수,6
category,순대,6
category,CU,6
category,안과,6
category,"족발,보쌈",5
category,"초밥,롤",5
category,회,5
category,닭요리,5
category,다방,5
category,이비인후과,5
trend:불광,2024-08-01,0.17684
trend:불광,2024-09-01,0.17514
trend:불광,2024-10-01,0.17577
trend:불광,2024-11-01,0.17111
trend:불광,2024-12-01,0.17398
trend:불광,2025-01-01,0.16968
trend:불광,2025-02-01,0.16565
trend:불광,2025-03-01,0.18445
trend:불광,2025-04-01,0.17021
trend:불광,2025-05-01,0.1609
trend:불광,2025-06-01,0.1618
trend:불광,2025-07-01,0.15177
trend:불광,2025-08-01,0.20075
trend:불광,2025-09-01,0.14434
trend:불광,2025-10-01,0.14568
trend:불광,2025-11-01,0.12876
trend:불광,2025-12-01,0.13914
trend:불광,2026-01-01,0.13511
trend:불광,2026-02-01,0.12714
trend:불광,2026-03-01,0.13538
trend:불광,2026-04-01,0.12419
trend:불광,2026-05-01,0.12679
trend:불광,2026-06-01,0.14577
trend:불광,2026-07-01,0.13923
trend:불광,2026-08-01,0.1712
demand,flpop_tmzon_00_06,26.61
demand,selng_tmzon_00_06,4.1
demand,flpop_tmzon_06_11,19.81
demand,selng_tmzon_06_11,8.74
demand,flpop_tmzon_11_14,11.31
demand,selng_tmzon_11_14,22.93
demand,flpop_tmzon_14_17,11.57
demand,selng_tmzon_14_17,17.87
demand,flpop_tmzon_17_21,17.04
demand,selng_tmzon_17_21,33.44
demand,flpop_tmzon_21_24,13.66
demand,selng_tmzon_21_24,12.92
demand,agrde_10,13.22
demand,agrde_20,13.67
demand,agrde_30,18.23
demand,agrde_40,16.72
demand,agrde_50,15.42
demand,agrde_60_above,22.74
demand,fml_share,55.76
demand,flpop_wkend,29.24
demand,selng_wkend,28.79
demand,frc_share,8.24
demand,opbiz_rt,2.11
demand,clsbiz_rt,2.23
demand,stor_co,1421.25
demand,trdar_n,7.0
demand,trdar_selng_n,7.0
