kind,key,value
blog_keyword,강남구,156
blog_keyword,청담,94
blog_keyword,청담동맛집,45
blog_keyword,도산대로,38
blog_keyword,청담점,38
blog_keyword,주차,35
blog_keyword,매일,34
blog_keyword,청담맛집,25
blog_keyword,강남,25
blog_keyword,압구정,24
blog_keyword,분위기,22
blog_keyword,선릉로,21
blog_keyword,청담동의,21
blog_keyword,정보,19
blog_keyword,가능,19
blog_keyword,카페에서,19
blog_keyword,청담동에서,18
blog_keyword,청담동에,17
blog_keyword,결혼식,17
blog_keyword,김부장,17
blog_keyword,종영,17
blog_keyword,청담동카페,16
blog_keyword,매장,16
blog_keyword,재수돈감자탕,15
blog_keyword,압구정로데오,15
blog_keyword,데이트,15
blog_keyword,청담역,15
blog_keyword,압구정로,15
blog_keyword,데바스테이트,15
blog_keyword,브런치,15
blog_keyword,시간,14
blog_keyword,스테이크,13
blog_keyword,점심,13
blog_keyword,직접,13
blog_keyword,압구정로데오역,12
blog_keyword,문보핫팟,12
blog_keyword,건물,12
blog_keyword,윤보미,12
blog_keyword,손나은은,12
blog_keyword,도보,11
blog_keyword,위치한,11
blog_keyword,강남구청역,11
blog_keyword,이유,11
blog_keyword,손나은,11
blog_keyword,서비스,10
blog_keyword,서울맛집,10
blog_keyword,디저트,10
blog_keyword,핫팟,10
blog_keyword,찾는,10
blog_keyword,식당,10
category,피부과,49
category,양식,39
category,카페,32
category,한식,27
category,일식,27
category,미술관,22
category,"육류,고기",19
category,성형외과,18
category,와인바,16
category,일반의원,16
category,칵테일바,13
category,술집,11
category,"제과,베이커리",11
category,이탈리안,11
category,"초밥,롤",9
category,커피전문점,9
category,치과,9
category,"호프,요리주점",8
category,CU,8
category,전시관,8
category,일본식주점,7
category,약국,7
category,중국요리,6
category,실내포장마차,5
category,분식,5
category,GS25,5
category,일식집,4
category,회,4
category,갈비,4
category,"돈까스,우동",4
demand,flpop_tmzon_00_06,19.78
demand,selng_tmzon_00_06,2.09
demand,flpop_tmzon_06_11,20.97
demand,selng_tmzon_06_11,3.95
demand,flpop_tmzon_11_14,15.91
demand,selng_tmzon_11_14,28.27
demand,flpop_tmzon_14_17,15.56
demand,selng_tmzon_14_17,30.05
demand,flpop_tmzon_17_21,17.07
demand,selng_tmzon_17_21,28.46
demand,flpop_tmzon_21_24,10.7
demand,selng_tmzon_21_24,7.17
demand,agrde_10,10.17
demand,agrde_20,15.72
demand,agrde_30,20.86
demand,agrde_40,21.86
demand,agrde_50,15.28
demand,agrde_60_above,16.11
demand,fml_share,53.94
demand,flpop_wkend,26.31
demand,selng_wkend,26.6
demand,frc_share,3.22
demand,opbiz_rt,1.88
demand,clsbiz_rt,1.71
demand,stor_co,1752.25
demand,trdar_n,5.0
demand,trdar_selng_n,4.0
