kind,key,value
blog_keyword,동대문구,131
blog_keyword,청량리역,64
blog_keyword,경동,57
blog_keyword,스타벅스,53
blog_keyword,경동시장맛집,50
blog_keyword,시장,50
blog_keyword,청량리맛집,40
blog_keyword,제기동,30
blog_keyword,동대문,28
blog_keyword,청년몰,27
blog_keyword,청량리시장,26
blog_keyword,고산자로,22
blog_keyword,주차,21
blog_keyword,제기동역,19
blog_keyword,전통시장,18
blog_keyword,롯데백화점,18
blog_keyword,가성비,17
blog_keyword,제기동맛집,17
blog_keyword,왕산로,17
blog_keyword,평양냉면,16
blog_keyword,매일,15
blog_keyword,야끼만두,15
blog_keyword,코스,15
blog_keyword,데이트,15
blog_keyword,경동시장은,14
blog_keyword,홍릉로,14
blog_keyword,안동집,14
blog_keyword,커피한약방,14
blog_keyword,정보,14
blog_keyword,투어,14
blog_keyword,본점,13
blog_keyword,근처,13
blog_keyword,나들이,13
blog_keyword,있어서,13
blog_keyword,레트로,13
blog_keyword,청량리점,13
blog_keyword,경돈,13
blog_keyword,서울에서,13
blog_keyword,청량리역맛집,12
blog_keyword,있어,12
blog_keyword,위치한,12
blog_keyword,경동시장카페,12
blog_keyword,도보,11
blog_keyword,휴무,11
blog_keyword,안에,11
blog_keyword,다양한,11
blog_keyword,꽃게장집,11
blog_keyword,오늘은,11
blog_keyword,경동시장로,11
blog_keyword,노포,11
category,한식,106
category,약국,41
category,"육류,고기",29
category,카페,29
category,치과,27
category,분식,26
category,"제과,베이커리",23
category,치킨,19
category,"여관,모텔",15
category,순대,13
category,냉면,13
category,"호프,요리주점",13
category,피부과,13
category,실내포장마차,12
category,"해물,생선",11
category,중국요리,11
category,내과,11
category,회,10
category,장어,10
category,칼국수,9
category,"족발,보쌈",9
category,정형외과,9
category,"떡,한과",8
category,갈비,8
category,CU,8
category,국밥,7
category,"찌개,전골",7
category,"돈까스,우동",7
category,국수,7
category,간식,7
demand,flpop_tmzon_00_06,15.56
demand,selng_tmzon_00_06,2.3
demand,flpop_tmzon_06_11,21.0
demand,selng_tmzon_06_11,18.31
demand,flpop_tmzon_11_14,17.42
demand,selng_tmzon_11_14,29.96
demand,flpop_tmzon_14_17,17.61
demand,selng_tmzon_14_17,30.59
demand,flpop_tmzon_17_21,18.51
demand,selng_tmzon_17_21,15.87
demand,flpop_tmzon_21_24,9.9
demand,selng_tmzon_21_24,2.97
demand,agrde_10,7.3
demand,agrde_20,15.93
demand,agrde_30,14.02
demand,agrde_40,14.17
demand,agrde_50,17.05
demand,agrde_60_above,31.52
demand,fml_share,52.34
demand,flpop_wkend,28.29
demand,selng_wkend,25.23
demand,frc_share,3.55
demand,opbiz_rt,1.97
demand,clsbiz_rt,2.25
demand,stor_co,3136.25
demand,trdar_n,9.0
demand,trdar_selng_n,9.0
trend:청량리·경동시장,2024-07-01,5.7691
trend:청량리·경동시장,2024-08-01,5.2426
trend:청량리·경동시장,2024-09-01,6.42025
trend:청량리·경동시장,2024-10-01,9.18084
trend:청량리·경동시장,2024-11-01,9.54617
trend:청량리·경동시장,2024-12-01,6.10686
trend:청량리·경동시장,2025-01-01,8.06989
trend:청량리·경동시장,2025-02-01,7.16139
trend:청량리·경동시장,2025-03-01,6.94219
trend:청량리·경동시장,2025-04-01,6.59853
trend:청량리·경동시장,2025-05-01,5.80796
trend:청량리·경동시장,2025-06-01,4.9437
trend:청량리·경동시장,2025-07-01,5.88685
trend:청량리·경동시장,2025-08-01,5.14204
trend:청량리·경동시장,2025-09-01,4.89267
trend:청량리·경동시장,2025-10-01,5.61778
trend:청량리·경동시장,2025-11-01,5.88434
trend:청량리·경동시장,2025-12-01,4.9617
trend:청량리·경동시장,2026-01-01,4.9129
trend:청량리·경동시장,2026-02-01,7.47049
trend:청량리·경동시장,2026-03-01,5.57874
trend:청량리·경동시장,2026-04-01,5.12055
trend:청량리·경동시장,2026-05-01,5.01838
trend:청량리·경동시장,2026-06-01,4.5987
trend:청량리·경동시장,2026-07-01,4.76623
