kind,key,value
blog_keyword,중구,277
blog_keyword,을지로,226
blog_keyword,충무로맛집,148
blog_keyword,충무로역,145
blog_keyword,퇴계로,69
blog_keyword,매일,52
blog_keyword,충무로카페,46
blog_keyword,도보,44
blog_keyword,충무로역맛집,39
blog_keyword,명동,35
blog_keyword,안녕하세요,35
blog_keyword,디저트,34
blog_keyword,가역,33
blog_keyword,충무로점,33
blog_keyword,루이,33
blog_keyword,분위기,31
blog_keyword,을지로맛집,29
blog_keyword,오늘은,29
blog_keyword,주차,28
blog_keyword,평양냉면,28
blog_keyword,수잔나의,28
blog_keyword,티하우스,28
blog_keyword,수표로,27
blog_keyword,감성,27
blog_keyword,필동면옥,26
blog_keyword,을지로점,25
blog_keyword,을지로카페,24
blog_keyword,호앙비엣,24
blog_keyword,바오서울,23
blog_keyword,평일,23
blog_keyword,카페를,22
blog_keyword,노모어피자,22
blog_keyword,데이트,22
blog_keyword,출구에서,21
blog_keyword,호선,20
blog_keyword,앞치마,20
blog_keyword,충무로에,19
blog_keyword,커피,19
blog_keyword,카페왈라,19
blog_keyword,루이티하우스,19
blog_keyword,충무로역카페,18
blog_keyword,근처,18
blog_keyword,서울특별시,17
blog_keyword,일요일,17
blog_keyword,쌀국수,17
blog_keyword,맛집을,17
blog_keyword,대만,16
blog_keyword,충무로에서,16
blog_keyword,출구,16
blog_keyword,남산도담,16
category,한식,74
category,카페,64
category,"호프,요리주점",46
category,호텔,20
category,중국요리,18
category,"육류,고기",17
category,커피전문점,17
category,치과,16
category,분식,14
category,"제과,베이커리",12
category,실내포장마차,12
category,CU,12
category,약국,12
category,게스트하우스,12
category,"해물,생선",11
category,양식,11
category,GS25,11
category,"돈까스,우동",10
category,술집,10
category,숙박,10
category,세븐일레븐,9
category,순대,8
category,갈비,8
category,"찌개,전골",8
category,닭요리,8
category,디저트카페,8
category,회,7
category,일식,7
category,중식,6
category,베트남음식,6
trend:충무로,2024-08-01,0.8288
trend:충무로,2024-09-01,0.79826
trend:충무로,2024-10-01,0.80023
trend:충무로,2024-11-01,0.8142
trend:충무로,2024-12-01,0.80283
trend:충무로,2025-01-01,0.71096
trend:충무로,2025-02-01,0.7551
trend:충무로,2025-03-01,0.92129
trend:충무로,2025-04-01,0.70353
trend:충무로,2025-05-01,0.72081
trend:충무로,2025-06-01,0.65079
trend:충무로,2025-07-01,0.70487
trend:충무로,2025-08-01,0.72976
trend:충무로,2025-09-01,0.65867
trend:충무로,2025-10-01,0.64676
trend:충무로,2025-11-01,0.65768
trend:충무로,2025-12-01,0.73505
trend:충무로,2026-01-01,0.57754
trend:충무로,2026-02-01,0.51701
trend:충무로,2026-03-01,0.62894
trend:충무로,2026-04-01,0.58838
trend:충무로,2026-05-01,0.56429
trend:충무로,2026-06-01,0.55337
trend:충무로,2026-07-01,0.51146
trend:충무로,2026-08-01,0.53581
demand,flpop_tmzon_00_06,12.49
demand,selng_tmzon_00_06,1.82
demand,flpop_tmzon_06_11,20.91
demand,selng_tmzon_06_11,9.28
demand,flpop_tmzon_11_14,19.27
demand,selng_tmzon_11_14,33.24
demand,flpop_tmzon_14_17,18.87
demand,selng_tmzon_14_17,22.33
demand,flpop_tmzon_17_21,19.56
demand,selng_tmzon_17_21,25.38
demand,flpop_tmzon_21_24,8.9
demand,selng_tmzon_21_24,7.95
demand,agrde_10,6.44
demand,agrde_20,20.42
demand,agrde_30,20.23
demand,agrde_40,19.28
demand,agrde_50,17.16
demand,agrde_60_above,16.46
demand,fml_share,47.5
demand,flpop_wkend,19.92
demand,selng_wkend,13.25
demand,frc_share,8.55
demand,opbiz_rt,1.99
demand,clsbiz_rt,1.74
demand,stor_co,1843.0
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
