kind,key,value
blog_keyword,영등포구,200
blog_keyword,당산역,141
blog_keyword,당산로,90
blog_keyword,당산역맛집,66
blog_keyword,당산맛집,54
blog_keyword,당산쭈꾸미,53
blog_keyword,영등포,51
blog_keyword,영등포맛집,38
blog_keyword,호점,38
blog_keyword,당산동,31
blog_keyword,매일,27
blog_keyword,호선,23
blog_keyword,양평동,23
blog_keyword,가성비,21
blog_keyword,건물,20
blog_keyword,서울특별시,20
blog_keyword,영등포구청역,20
blog_keyword,양평로,20
blog_keyword,근처,19
blog_keyword,영등포구청,19
blog_keyword,시간,19
blog_keyword,사무실,17
blog_keyword,주차,17
blog_keyword,분위기,17
blog_keyword,선유도역,16
blog_keyword,한강,16
blog_keyword,여의도,16
blog_keyword,위치한,16
blog_keyword,국회대로,16
blog_keyword,도보,15
blog_keyword,영등포구청점,15
blog_keyword,평일,15
blog_keyword,당산카페,15
blog_keyword,상가,14
blog_keyword,있어서,14
blog_keyword,당산비빔밥,14
blog_keyword,하나마토,14
blog_keyword,술집,13
blog_keyword,옥소반,13
blog_keyword,당산역점,12
blog_keyword,음식점,12
blog_keyword,같은,12
blog_keyword,문래동,12
blog_keyword,식당,12
blog_keyword,임대,12
blog_keyword,먹고,12
blog_keyword,카페를,11
blog_keyword,당산에서,11
blog_keyword,오늘은,11
blog_keyword,안녕하세요,11
category,"육류,고기",17
category,"호프,요리주점",15
category,카페,14
category,치과,14
category,약국,14
category,한식,11
category,일본식주점,9
category,GS25,9
category,피부과,7
category,삼겹살,6
category,회,6
category,분식,6
category,술집,6
category,"족발,보쌈",6
category,정신건강의학과,6
category,정형외과,6
category,내과,6
category,"곱창,막창",5
category,치킨,4
category,"제과,베이커리",4
category,산부인과,4
category,"여관,모텔",4
category,양꼬치,3
category,일식,3
category,순대,3
category,중국요리,3
category,"찌개,전골",3
category,"매운탕,해물탕",3
category,커피전문점,3
category,스타벅스,3
