kind,key,value
blog_keyword,금천구,416
blog_keyword,독산역,89
blog_keyword,독산동카페,78
blog_keyword,독산동맛집,75
blog_keyword,시흥대로,74
blog_keyword,메종크로키,67
blog_keyword,주차,54
blog_keyword,독산,54
blog_keyword,범안로,48
blog_keyword,매일,45
blog_keyword,오늘은,44
blog_keyword,독산로,42
blog_keyword,독산점,39
blog_keyword,금천,37
blog_keyword,가성비,34
blog_keyword,시간,33
blog_keyword,안녕하세요,33
blog_keyword,젤라또,33
blog_keyword,소고기,31
blog_keyword,디저트,31
blog_keyword,커피,31
blog_keyword,서울특별시,29
blog_keyword,금천구맛집,28
blog_keyword,독산동에,27
blog_keyword,가능,26
blog_keyword,우시장,26
blog_keyword,루트하우스,25
blog_keyword,포시즌준커피,24
blog_keyword,한우,23
blog_keyword,매장,23
blog_keyword,근처,22
blog_keyword,화우가,22
blog_keyword,분위기,22
blog_keyword,독산동에서,21
blog_keyword,금천구카페,21
blog_keyword,정보,20
blog_keyword,진영면옥,19
blog_keyword,독산역카페,19
blog_keyword,더카페,19
blog_keyword,평양냉면,18
blog_keyword,메뉴,18
blog_keyword,고기집,18
blog_keyword,포시즌,18
blog_keyword,번출구점,18
blog_keyword,삼겹살,17
blog_keyword,위치한,17
blog_keyword,도보,16
blog_keyword,매주,16
blog_keyword,휴무,16
blog_keyword,일요일,16
category,백반/한정식,73
category,카페,50
category,편의점,48
category,자동차 정비소,36
category,미용실,25
category,슈퍼마켓,23
category,돼지고기 구이/찜,22
category,기타 교육지원 서비스업,20
category,정육점,20
category,국/탕/찌개류,17
category,기타 기술/직업 훈련학원,16
category,김밥/만두/분식,16
category,요리 주점,16
category,컴퓨터/소프트웨어 소매업,15
category,세탁소,14
category,화장품 소매업,13
category,입시·교과학원,13
category,중국집,12
category,그 외 기타 교육기관,12
category,가전제품 수리업,12
category,기숙사/고시원,12
category,헬스장,11
category,건강보조식품 소매업,10
category,교육컨설팅업,10
category,핸드폰 소매업,10
category,음악학원,9
category,구내식당,9
category,의류/이불 수선업,9
category,기타 의류 소매업,9
category,빵/도넛,9
trend:독산,2024-08-01,0.28223
trend:독산,2024-09-01,0.25573
trend:독산,2024-10-01,0.25152
trend:독산,2024-11-01,0.24068
trend:독산,2024-12-01,0.345
trend:독산,2025-01-01,0.23997
trend:독산,2025-02-01,0.21445
trend:독산,2025-03-01,0.23227
trend:독산,2025-04-01,0.24042
trend:독산,2025-05-01,0.23701
trend:독산,2025-06-01,0.23075
trend:독산,2025-07-01,0.24883
trend:독산,2025-08-01,0.23263
trend:독산,2025-09-01,0.24418
trend:독산,2025-10-01,0.20415
trend:독산,2025-11-01,0.2029
trend:독산,2025-12-01,0.20164
trend:독산,2026-01-01,0.20272
trend:독산,2026-02-01,0.18759
trend:독산,2026-03-01,0.18615
trend:독산,2026-04-01,0.19824
trend:독산,2026-05-01,0.18794
trend:독산,2026-06-01,0.17792
trend:독산,2026-07-01,0.18123
trend:독산,2026-08-01,0.17639
demand,flpop_tmzon_00_06,26.26
demand,selng_tmzon_00_06,4.96
demand,flpop_tmzon_06_11,21.23
demand,selng_tmzon_06_11,15.03
demand,flpop_tmzon_11_14,11.95
demand,selng_tmzon_11_14,24.95
demand,flpop_tmzon_14_17,11.79
demand,selng_tmzon_14_17,21.57
demand,flpop_tmzon_17_21,16.03
demand,selng_tmzon_17_21,24.28
demand,flpop_tmzon_21_24,12.74
demand,selng_tmzon_21_24,9.21
demand,agrde_10,8.67
demand,agrde_20,20.34
demand,agrde_30,24.52
demand,agrde_40,15.89
demand,agrde_50,13.98
demand,agrde_60_above,16.6
demand,fml_share,48.06
demand,flpop_wkend,28.17
demand,selng_wkend,23.66
demand,frc_share,12.6
demand,opbiz_rt,1.75
demand,clsbiz_rt,2.07
demand,stor_co,1451.0
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
