kind,key,value
blog_keyword,중구,74
blog_keyword,동대문디자인플라자,63
blog_keyword,전시,56
blog_keyword,데이트,49
blog_keyword,실내,35
blog_keyword,동대문맛집,35
blog_keyword,을지로,34
blog_keyword,동대문역사문화공원역,33
blog_keyword,근처,32
blog_keyword,주차,27
blog_keyword,에서,27
blog_keyword,키크니,24
blog_keyword,디키디키,22
blog_keyword,시간,21
blog_keyword,바캉스,20
blog_keyword,관람,20
blog_keyword,호텔,19
blog_keyword,분위기,19
blog_keyword,전시회,19
blog_keyword,동대문데이트,18
blog_keyword,정보,18
blog_keyword,특별전,17
blog_keyword,호선,17
blog_keyword,디자인,16
blog_keyword,주말,16
blog_keyword,도심,15
blog_keyword,주변,15
blog_keyword,콘하스,14
blog_keyword,코스,14
blog_keyword,무료,14
blog_keyword,우동,14
blog_keyword,종로구,14
blog_keyword,장충단로,13
blog_keyword,가볼만한곳,13
blog_keyword,종로,13
blog_keyword,신당,13
blog_keyword,아이와,13
blog_keyword,놀거리,13
blog_keyword,매일,13
blog_keyword,뮤지엄,13
blog_keyword,노보텔,12
blog_keyword,다양한,12
blog_keyword,흥인지문,12
blog_keyword,장충동,12
blog_keyword,총정리,11
blog_keyword,있어,11
blog_keyword,앰배서더,11
blog_keyword,만한,11
blog_keyword,있어서,11
blog_keyword,동대문점,11
category,한식,99
category,카페,97
category,"육류,고기",44
category,"여관,모텔",38
category,분식,37
category,커피전문점,31
category,약국,31
category,"제과,베이커리",28
category,호텔,28
category,중국요리,27
category,치과,27
category,양식,26
category,"호프,요리주점",25
category,게스트하우스,24
category,CU,23
category,닭요리,22
category,GS25,22
category,"해물,생선",21
category,떡볶이,18
category,아시아음식,18
category,실내포장마차,17
category,숙박,17
category,갈비,16
category,세븐일레븐,14
category,치킨,13
category,"곱창,막창",13
category,디저트카페,13
category,일식,12
category,전시관,12
category,칼국수,11
demand,flpop_tmzon_00_06,15.83
demand,selng_tmzon_00_06,4.57
demand,flpop_tmzon_06_11,19.97
demand,selng_tmzon_06_11,7.66
demand,flpop_tmzon_11_14,16.44
demand,selng_tmzon_11_14,24.38
demand,flpop_tmzon_14_17,16.84
demand,selng_tmzon_14_17,26.3
demand,flpop_tmzon_17_21,19.79
demand,selng_tmzon_17_21,27.56
demand,flpop_tmzon_21_24,11.13
demand,selng_tmzon_21_24,9.53
demand,agrde_10,5.97
demand,agrde_20,20.74
demand,agrde_30,21.32
demand,agrde_40,19.11
demand,agrde_50,14.96
demand,agrde_60_above,17.91
demand,fml_share,52.68
demand,flpop_wkend,23.13
demand,selng_wkend,29.31
demand,frc_share,4.08
demand,opbiz_rt,0.55
demand,clsbiz_rt,2.13
demand,stor_co,14956.0
demand,trdar_n,3.0
demand,trdar_selng_n,3.0
trend:동대문·DDP,2024-07-01,9.77083
trend:동대문·DDP,2024-08-01,9.98045
trend:동대문·DDP,2024-09-01,8.20053
trend:동대문·DDP,2024-10-01,7.89313
trend:동대문·DDP,2024-11-01,7.366
trend:동대문·DDP,2024-12-01,8.44167
trend:동대문·DDP,2025-01-01,6.85794
trend:동대문·DDP,2025-02-01,6.80618
trend:동대문·DDP,2025-03-01,6.23499
trend:동대문·DDP,2025-04-01,6.87047
trend:동대문·DDP,2025-05-01,7.89797
trend:동대문·DDP,2025-06-01,9.61189
trend:동대문·DDP,2025-07-01,7.37692
trend:동대문·DDP,2025-08-01,8.43155
trend:동대문·DDP,2025-09-01,7.49431
trend:동대문·DDP,2025-10-01,8.45689
trend:동대문·DDP,2025-11-01,6.74449
trend:동대문·DDP,2025-12-01,7.07758
trend:동대문·DDP,2026-01-01,6.55152
trend:동대문·DDP,2026-02-01,6.92276
trend:동대문·DDP,2026-03-01,4.89795
trend:동대문·DDP,2026-04-01,4.31682
trend:동대문·DDP,2026-05-01,6.06235
trend:동대문·DDP,2026-06-01,4.73042
trend:동대문·DDP,2026-07-01,5.27026
