kind,key,value
blog_keyword,강남구,141
blog_keyword,압구정,120
blog_keyword,도산,56
blog_keyword,도산대로,48
blog_keyword,압구정로데오,46
blog_keyword,도산공원맛집,46
blog_keyword,언주로,40
blog_keyword,강남,35
blog_keyword,압구정맛집,33
blog_keyword,압구정로데오역,33
blog_keyword,도산점,27
blog_keyword,매장,26
blog_keyword,신사동,25
blog_keyword,정보,25
blog_keyword,압구정로데오맛집,25
blog_keyword,매일,24
blog_keyword,압구정데이트,23
blog_keyword,압구정점,23
blog_keyword,데이트,21
blog_keyword,분위기,20
blog_keyword,브런치,20
blog_keyword,도보,20
blog_keyword,청담동,18
blog_keyword,주차,17
blog_keyword,압구정카페,17
blog_keyword,위치한,17
blog_keyword,공원,16
blog_keyword,도산공원카페,16
blog_keyword,인근,16
blog_keyword,로데오,15
blog_keyword,출구에서,15
blog_keyword,근처,15
blog_keyword,디저트,14
blog_keyword,도산공원데이트,14
blog_keyword,서울특별시,14
blog_keyword,압구정로,14
blog_keyword,선릉로,14
blog_keyword,청담,14
blog_keyword,있어,13
blog_keyword,지하,13
blog_keyword,공원스크립트,13
blog_keyword,압구정역,13
blog_keyword,여행,13
blog_keyword,근처에,12
blog_keyword,가로수길,12
blog_keyword,있어서,12
blog_keyword,도산공원점,12
blog_keyword,을지다락,12
blog_keyword,쯔루하시,12
blog_keyword,포포인츠,11
category,성형외과,70
category,피부과,60
category,카페,49
category,양식,40
category,"육류,고기",35
category,한식,32
category,치과,22
category,일식,20
category,약국,19
category,일반의원,15
category,술집,14
category,"초밥,롤",13
category,와인바,13
category,"해물,생선",12
category,이탈리안,12
category,"제과,베이커리",12
category,칵테일바,11
category,중국요리,10
category,미술관,10
category,"공연장,연극극장",9
category,전시관,8
category,일식집,7
category,커피전문점,7
category,세븐일레븐,7
category,"호프,요리주점",6
category,디저트카페,6
category,정신건강의학과,6
category,실내포장마차,5
category,갈비,5
category,"돈까스,우동",5
