kind,key,value
blog_keyword,중구,241
blog_keyword,가역,115
blog_keyword,감성,96
blog_keyword,을지로맛집,68
blog_keyword,힙지로맛집,48
blog_keyword,을지로카페,48
blog_keyword,을지로점,47
blog_keyword,수표로,47
blog_keyword,분위기,46
blog_keyword,분카샤,46
blog_keyword,충무로,42
blog_keyword,매일,36
blog_keyword,술집,36
blog_keyword,디저트,36
blog_keyword,데이트,35
blog_keyword,골목,34
blog_keyword,오늘은,33
blog_keyword,레트로,29
blog_keyword,가맛집,27
blog_keyword,힙지로카페,27
blog_keyword,도보,26
blog_keyword,을지로술집,26
blog_keyword,서울특별시,26
blog_keyword,을지로데이트,25
blog_keyword,힙한,24
blog_keyword,핫플,24
blog_keyword,힙지로에서,24
blog_keyword,가득한,23
blog_keyword,주차,23
blog_keyword,정보,23
blog_keyword,을지로에서,22
blog_keyword,을지빈,22
blog_keyword,야장,21
blog_keyword,을지로본점,21
blog_keyword,주마등,21
blog_keyword,안녕하세요,21
blog_keyword,출구에서,19
blog_keyword,공간갑,19
blog_keyword,유명한,18
blog_keyword,서울맛집,17
blog_keyword,가역맛집,17
blog_keyword,웨이팅,16
blog_keyword,카페를,16
blog_keyword,위치한,16
blog_keyword,노포,16
blog_keyword,빈티지,16
blog_keyword,타코,15
blog_keyword,호선,15
blog_keyword,카페가,15
blog_keyword,올디스타코,15
category,백반/한정식,588
category,카페,370
category,시계/귀금속 소매업,326
category,요리 주점,242
category,편의점,121
category,돼지고기 구이/찜,114
category,경양식,107
category,일반 유흥 주점,107
category,꽃집,100
category,펜션,99
category,슈퍼마켓,96
category,여관/모텔,90
category,일식 회/초밥,90
category,김밥/만두/분식,88
category,국/탕/찌개류,83
category,미용실,81
category,기타 의류 소매업,80
category,생맥주 전문,75
category,시계/귀금속/악기 수리업,66
category,중국집,61
category,그 외 기타 상품 전문 소매업,61
category,화장품 소매업,56
category,전기용품/조명장치 소매업,52
category,기타 교육지원 서비스업,47
category,약국,47
category,국수/칼국수,46
category,치과의원,46
category,가전제품 소매업,42
category,가발 소매업,42
category,치킨,40
trend:을지로(힙지로),2024-08-01,2.98282
trend:을지로(힙지로),2024-09-01,2.97118
trend:을지로(힙지로),2024-10-01,3.28771
trend:을지로(힙지로),2024-11-01,2.75225
trend:을지로(힙지로),2024-12-01,2.72673
trend:을지로(힙지로),2025-01-01,2.60952
trend:을지로(힙지로),2025-02-01,2.52893
trend:을지로(힙지로),2025-03-01,2.79756
trend:을지로(힙지로),2025-04-01,2.72145
trend:을지로(힙지로),2025-05-01,5.14356
trend:을지로(힙지로),2025-06-01,2.52992
trend:을지로(힙지로),2025-07-01,2.42318
trend:을지로(힙지로),2025-08-01,2.45694
trend:을지로(힙지로),2025-09-01,2.31734
trend:을지로(힙지로),2025-10-01,2.42354
trend:을지로(힙지로),2025-11-01,2.25583
trend:을지로(힙지로),2025-12-01,2.31269
trend:을지로(힙지로),2026-01-01,1.87268
trend:을지로(힙지로),2026-02-01,1.72511
trend:을지로(힙지로),2026-03-01,1.99347
trend:을지로(힙지로),2026-04-01,2.05651
trend:을지로(힙지로),2026-05-01,2.10253
trend:을지로(힙지로),2026-06-01,1.90796
trend:을지로(힙지로),2026-07-01,1.81886
trend:을지로(힙지로),2026-08-01,1.79021
demand,flpop_tmzon_00_06,7.18
demand,selng_tmzon_00_06,1.36
demand,flpop_tmzon_06_11,22.31
demand,selng_tmzon_06_11,13.62
demand,flpop_tmzon_11_14,21.69
demand,selng_tmzon_11_14,32.03
demand,flpop_tmzon_14_17,21.89
demand,selng_tmzon_14_17,22.41
demand,flpop_tmzon_17_21,20.01
demand,selng_tmzon_17_21,21.65
demand,flpop_tmzon_21_24,6.91
demand,selng_tmzon_21_24,8.93
demand,agrde_10,3.68
demand,agrde_20,17.46
demand,agrde_30,23.37
demand,agrde_40,23.42
demand,agrde_50,17.53
demand,agrde_60_above,14.54
demand,fml_share,45.77
demand,flpop_wkend,16.9
demand,selng_wkend,13.35
demand,frc_share,9.34
demand,opbiz_rt,1.89
demand,clsbiz_rt,2.05
demand,stor_co,2321.0
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
