kind,key,value
blog_keyword,강남역맛집,134
blog_keyword,강남구,106
blog_keyword,강남,100
blog_keyword,강남대로,87
blog_keyword,서초구,82
blog_keyword,강남맛집,79
blog_keyword,강남점,58
blog_keyword,매일,46
blog_keyword,강남역점,40
blog_keyword,서초대로,34
blog_keyword,신논현역,32
blog_keyword,서초동맛집,31
blog_keyword,강남역에서,29
blog_keyword,봉스테이크,28
blog_keyword,강남데이트,25
blog_keyword,지하,24
blog_keyword,위치한,22
blog_keyword,테헤란로,22
blog_keyword,시간,21
blog_keyword,풍년참숯갈비,20
blog_keyword,럭키족발,20
blog_keyword,서초파라곤,19
blog_keyword,퀸즈가든,19
blog_keyword,강남갈비,18
blog_keyword,강남고깃집,18
blog_keyword,강남돼지갈비,18
blog_keyword,돼지갈비맛집,18
blog_keyword,갈비맛집,18
blog_keyword,강남삼겹살,18
blog_keyword,삼겹살맛집,18
blog_keyword,서초동삼겹살,18
blog_keyword,데이트,17
blog_keyword,출구에서,17
blog_keyword,서초동삼겹살맛집,17
blog_keyword,강남역데이트,17
blog_keyword,바바인디아,17
blog_keyword,층에,17
blog_keyword,꾸아,16
blog_keyword,강남역회식,16
blog_keyword,도보,16
blog_keyword,신논현,15
blog_keyword,오후,14
blog_keyword,출구,14
blog_keyword,서초,14
blog_keyword,진구곱창,14
blog_keyword,정보,14
blog_keyword,위치해,14
blog_keyword,파라곤,13
blog_keyword,서초맛집,13
blog_keyword,강남역쌀국수,13
category,성형외과,217
category,피부과,159
category,한식,85
category,치과,84
category,카페,78
category,약국,78
category,"육류,고기",71
category,"호프,요리주점",63
category,양식,43
category,일반의원,41
category,분식,32
category,술집,29
category,안과,29
category,중국요리,28
category,"제과,베이커리",27
category,테마카페,27
category,산부인과,26
category,일식,25
category,"돈까스,우동",20
category,세븐일레븐,20
category,정신건강의학과,20
category,커피전문점,19
category,GS25,19
category,CU,18
category,회,16
category,"초밥,롤",16
category,일본식주점,16
category,중식,15
category,스타벅스,15
category,"해물,생선",14
