kind,key,value
blog_keyword,송파구,270
blog_keyword,가락시장역,182
blog_keyword,송파,169
blog_keyword,가락동,114
blog_keyword,가락몰,92
blog_keyword,파란만잔,78
blog_keyword,송파대로,72
blog_keyword,어라운드더클락,70
blog_keyword,양재대로,64
blog_keyword,중대로,60
blog_keyword,시간,60
blog_keyword,가락시장역점,60
blog_keyword,매일,55
blog_keyword,가락시장맛집,52
blog_keyword,주차,51
blog_keyword,영재수산,46
blog_keyword,가락시장역맛집,36
blog_keyword,오늘은,35
blog_keyword,가락점,34
blog_keyword,경찰병원역,31
blog_keyword,커피,31
blog_keyword,횟집,29
blog_keyword,구룡각,29
blog_keyword,잠실,29
blog_keyword,가락시장카페,29
blog_keyword,가능,27
blog_keyword,가성비,27
blog_keyword,수산시장,27
blog_keyword,근처,26
blog_keyword,가락동맛집,26
blog_keyword,위치한,26
blog_keyword,판매동,25
blog_keyword,먹고,24
blog_keyword,서울특별시,24
blog_keyword,과일,24
blog_keyword,밀리아나,24
blog_keyword,가락시장에서,22
blog_keyword,가락시장역카페,22
blog_keyword,시카페,22
blog_keyword,도보,21
blog_keyword,출구에서,21
blog_keyword,가락동카페,21
blog_keyword,로스트앤베이크,20
blog_keyword,오피스,20
blog_keyword,빌딩,20
blog_keyword,가락본점,19
blog_keyword,만애옥,18
blog_keyword,가락,18
blog_keyword,안녕하세요,18
blog_keyword,호선,18
category,회,23
category,한식,9
category,치과,6
category,"육류,고기",4
category,"해물,생선",4
category,GS25,4
category,약국,3
category,베트남음식,2
category,중국요리,2
category,커피전문점,2
category,세븐일레븐,2
category,피부과,2
category,정형외과,2
category,이비인후과,2
category,구내식당,1
category,한정식,1
category,복어,1
category,한식뷔페,1
category,곤지암할매소머리국밥,1
category,음식점,1
category,아이스크림,1
category,갈비,1
category,BBQ,1
category,파리바게뜨,1
category,명가통닭,1
category,두부전문점,1
category,일식집,1
category,참치회,1
category,퓨전요리,1
category,애슐리,1
trend:가락시장,2024-08-01,7.51768
trend:가락시장,2024-09-01,7.96978
trend:가락시장,2024-10-01,8.05359
trend:가락시장,2024-11-01,7.90316
trend:가락시장,2024-12-01,8.39636
trend:가락시장,2025-01-01,7.89143
trend:가락시장,2025-02-01,6.90674
trend:가락시장,2025-03-01,7.19067
trend:가락시장,2025-04-01,6.80949
trend:가락시장,2025-05-01,7.48786
trend:가락시장,2025-06-01,7.7496
trend:가락시장,2025-07-01,7.3446
trend:가락시장,2025-08-01,7.04839
trend:가락시장,2025-09-01,7.51535
trend:가락시장,2025-10-01,7.62504
trend:가락시장,2025-11-01,7.2187
trend:가락시장,2025-12-01,7.48545
trend:가락시장,2026-01-01,6.41712
trend:가락시장,2026-02-01,5.89034
trend:가락시장,2026-03-01,5.96717
trend:가락시장,2026-04-01,5.93288
trend:가락시장,2026-05-01,6.19568
trend:가락시장,2026-06-01,6.35408
trend:가락시장,2026-07-01,6.96207
trend:가락시장,2026-08-01,6.7623
demand,flpop_tmzon_00_06,24.28
demand,selng_tmzon_00_06,30.85
demand,flpop_tmzon_06_11,20.82
demand,selng_tmzon_06_11,21.56
demand,flpop_tmzon_11_14,12.47
demand,selng_tmzon_11_14,14.43
demand,flpop_tmzon_14_17,12.46
demand,selng_tmzon_14_17,14.01
demand,flpop_tmzon_17_21,17.23
demand,selng_tmzon_17_21,7.65
demand,flpop_tmzon_21_24,12.74
demand,selng_tmzon_21_24,11.5
demand,agrde_10,15.11
demand,agrde_20,8.67
demand,agrde_30,17.77
demand,agrde_40,20.19
demand,agrde_50,15.65
demand,agrde_60_above,22.61
demand,fml_share,50.56
demand,flpop_wkend,27.16
demand,selng_wkend,21.08
demand,frc_share,0.57
demand,opbiz_rt,0.07
demand,clsbiz_rt,0.78
demand,stor_co,2906.5
demand,trdar_n,1.0
demand,trdar_selng_n,1.0
