kind,key,value
blog_keyword,강남구,252.0
blog_keyword,신사,232.0
blog_keyword,가로수길맛집,125.0
blog_keyword,신사역맛집,114.0
blog_keyword,강남대로,92.0
blog_keyword,강남,81.0
blog_keyword,영동소곱창,80.0
blog_keyword,매일,79.0
blog_keyword,신사맛집,64.0
blog_keyword,압구정로,60.0
blog_keyword,데이트,58.0
blog_keyword,압구정,58.0
blog_keyword,상권,47.0
blog_keyword,팝업스토어,46.0
blog_keyword,성수,45.0
blog_keyword,몬치치,44.0
blog_keyword,캐리마켓,41.0
blog_keyword,다음,40.0
blog_keyword,가로수길에서,39.0
blog_keyword,신사점,38.0
blog_keyword,브랜드,38.0
blog_keyword,압구정맛집,37.0
blog_keyword,디저트,37.0
blog_keyword,훈연실,36.0
blog_keyword,월화수목금,35.0
blog_keyword,성수동,34.0
blog_keyword,정보,34.0
blog_keyword,토일,33.0
blog_keyword,도산대로,33.0
blog_keyword,매장,32.0
blog_keyword,분위기,31.0
blog_keyword,신사동맛집,31.0
blog_keyword,주차,30.0
blog_keyword,가로수길카페,30.0
blog_keyword,가로수길점,30.0
blog_keyword,가로수길데이트,29.0
blog_keyword,식사,29.0
blog_keyword,가로수길에,28.0
blog_keyword,가로수길을,28.0
blog_keyword,서초구,27.0
blog_keyword,감성,27.0
blog_keyword,있습니다,27.0
blog_keyword,다양한,27.0
blog_keyword,시간,27.0
blog_keyword,있어서,27.0
blog_keyword,층에,26.0
blog_keyword,신사역바베큐,26.0
blog_keyword,서울의,26.0
blog_keyword,먹고,25.0
blog_keyword,지하,25.0
trend:가로수길,2024-08-01,49.01912
trend:가로수길,2024-09-01,48.49309
trend:가로수길,2024-10-01,53.59448
trend:가로수길,2024-11-01,48.17748
trend:가로수길,2024-12-01,48.24555
trend:가로수길,2025-01-01,41.20717
trend:가로수길,2025-02-01,39.28667
trend:가로수길,2025-03-01,46.27967
trend:가로수길,2025-04-01,35.5715
trend:가로수길,2025-05-01,40.15512
trend:가로수길,2025-06-01,35.38791
trend:가로수길,2025-07-01,33.35808
trend:가로수길,2025-08-01,42.24477
trend:가로수길,2025-09-01,33.55611
trend:가로수길,2025-10-01,33.76033
trend:가로수길,2025-11-01,33.7232
trend:가로수길,2025-12-01,33.28795
trend:가로수길,2026-01-01,27.61515
trend:가로수길,2026-02-01,25.53375
trend:가로수길,2026-03-01,28.07723
trend:가로수길,2026-04-01,25.37698
trend:가로수길,2026-05-01,25.98551
trend:가로수길,2026-06-01,19.08533
trend:가로수길,2026-07-01,19.19466
trend:신사동,2024-08-01,90.48414
trend:신사동,2024-09-01,86.28215
trend:신사동,2024-10-01,95.05332
trend:신사동,2024-11-01,94.87592
trend:신사동,2024-12-01,100.0
trend:신사동,2025-01-01,88.16345
trend:신사동,2025-02-01,88.09538
trend:신사동,2025-03-01,90.27992
trend:신사동,2025-04-01,81.9502
trend:신사동,2025-05-01,86.04699
trend:신사동,2025-06-01,80.45877
trend:신사동,2025-07-01,84.49986
trend:신사동,2025-08-01,79.9245
trend:신사동,2025-09-01,79.14887
trend:신사동,2025-10-01,73.31724
trend:신사동,2025-11-01,77.0716
trend:신사동,2025-12-01,83.09507
trend:신사동,2026-01-01,78.30723
trend:신사동,2026-02-01,62.78647
trend:신사동,2026-03-01,71.58858
trend:신사동,2026-04-01,67.80122
trend:신사동,2026-05-01,67.66714
trend:신사동,2026-06-01,63.35994
trend:신사동,2026-07-01,63.87771
category,카페,22.0
category,성형외과,18.0
category,전시관,14.0
category,피부과,13.0
category,약국,11.0
category,커피전문점,10.0
category,치과,9.0
category,양식,8.0
category,CU,8.0
category,디저트카페,7.0
category,세븐일레븐,7.0
category,미술관,7.0
category,GS25,6.0
category,한식,5.0
category,호텔,5.0
category,"공연장,연극극장",5.0
category,일식,4.0
category,"제과,베이커리",4.0
category,숙박,4.0
category,"호프,요리주점",3.0
category,술집,3.0
category,"여관,모텔",3.0
category,산부인과,2.0
category,게스트하우스,2.0
category,"스테이크,립",1.0
category,후라토식당,1.0
category,인도음식,1.0
category,피자,1.0
category,포케올데이,1.0
category,아비꼬,1.0
