kind,key,value
category,미용실,194
category,백반/한정식,183
category,카페,134
category,요리 주점,102
category,슈퍼마켓,63
category,일반 유흥 주점,63
category,피부 관리실,60
category,편의점,60
category,김밥/만두/분식,54
category,국/탕/찌개류,52
category,약국,50
category,돼지고기 구이/찜,48
category,기숙사/고시원,44
category,노래방,44
category,치킨,42
category,빵/도넛,42
category,기타 의류 소매업,41
category,네일숍,41
category,입시·교과학원,39
category,일식 회/초밥,38
category,치과의원,38
category,펜션,37
category,화장품 소매업,36
category,국수/칼국수,34
category,채소/과일 소매업,32
category,요가/필라테스 학원,31
category,헬스장,29
category,반찬/식료품 소매업,29
category,핸드폰 소매업,28
category,경양식,28
trend:길동역,2024-08-01,1.04674
trend:길동역,2024-09-01,0.9375
trend:길동역,2024-10-01,0.97215
trend:길동역,2024-11-01,0.91565
trend:길동역,2024-12-01,0.92452
trend:길동역,2025-01-01,1.03143
trend:길동역,2025-02-01,0.87903
trend:길동역,2025-03-01,1.11309
trend:길동역,2025-04-01,0.94646
trend:길동역,2025-05-01,0.88763
trend:길동역,2025-06-01,0.82396
trend:길동역,2025-07-01,0.89094
trend:길동역,2025-08-01,0.84411
trend:길동역,2025-09-01,0.85306
trend:길동역,2025-10-01,0.84285
trend:길동역,2025-11-01,0.84241
trend:길동역,2025-12-01,0.87607
trend:길동역,2026-01-01,0.87527
trend:길동역,2026-02-01,0.78295
trend:길동역,2026-03-01,0.8673
trend:길동역,2026-04-01,0.9101
trend:길동역,2026-05-01,0.82423
trend:길동역,2026-06-01,0.81169
trend:길동역,2026-07-01,0.79316
trend:길동역,2026-08-01,0.77838
demand,flpop_tmzon_00_06,26.71
demand,selng_tmzon_00_06,3.94
demand,flpop_tmzon_06_11,20.3
demand,selng_tmzon_06_11,10.94
demand,flpop_tmzon_11_14,11.54
demand,selng_tmzon_11_14,26.6
demand,flpop_tmzon_14_17,11.52
demand,selng_tmzon_14_17,22.35
demand,flpop_tmzon_17_21,16.54
demand,selng_tmzon_17_21,28.22
demand,flpop_tmzon_21_24,13.4
demand,selng_tmzon_21_24,7.96
demand,agrde_10,12.1
demand,agrde_20,13.65
demand,agrde_30,17.16
demand,agrde_40,16.78
demand,agrde_50,15.37
demand,agrde_60_above,24.94
demand,fml_share,53.99
demand,flpop_wkend,29.27
demand,selng_wkend,25.04
demand,frc_share,8.91
demand,opbiz_rt,2.15
demand,clsbiz_rt,2.41
demand,stor_co,2841.25
demand,trdar_n,10.0
demand,trdar_selng_n,10.0
