kind,key,value
blog_keyword,마포구,161
blog_keyword,공덕역,144
blog_keyword,마포,90
blog_keyword,공덕맛집,61
blog_keyword,공덕역맛집,45
blog_keyword,마포대로,41
blog_keyword,마포맛집,41
blog_keyword,대흥역,38
blog_keyword,마포역,31
blog_keyword,경의선숲길,31
blog_keyword,디저트,28
blog_keyword,도보,25
blog_keyword,백범로,23
blog_keyword,점심,23
blog_keyword,주차,23
blog_keyword,호선,21
blog_keyword,출구에서,21
blog_keyword,공덕점,20
blog_keyword,매일,20
blog_keyword,공덕데이트,19
blog_keyword,도화동맛집,19
blog_keyword,아파트,18
blog_keyword,우수,18
blog_keyword,감성,17
blog_keyword,공덕동,16
blog_keyword,서울맛집,16
blog_keyword,독막로,16
blog_keyword,커피,15
blog_keyword,마실면가,15
blog_keyword,효성해링턴스퀘어,15
blog_keyword,가능,14
blog_keyword,마포도화동맛집,14
blog_keyword,대흥역맛집,14
blog_keyword,안녕하세요,14
blog_keyword,서울가든호텔,14
blog_keyword,베이커리,13
blog_keyword,서울특별시,13
blog_keyword,서울에서,13
blog_keyword,공덕카페,13
blog_keyword,이자카야,13
blog_keyword,두껍삼,13
blog_keyword,특히,12
blog_keyword,분위기,12
blog_keyword,브런치,12
blog_keyword,공덕점심맛집,12
blog_keyword,정보,12
blog_keyword,마포직영점,12
blog_keyword,있어서,11
blog_keyword,평일,11
blog_keyword,상가,11
category,한식,40
category,카페,31
category,"육류,고기",30
category,"호프,요리주점",28
category,치과,28
category,약국,23
category,분식,20
category,피부과,17
category,중국요리,14
category,술집,13
category,일식,13
category,"제과,베이커리",13
category,"족발,보쌈",12
category,정신건강의학과,11
category,일본식주점,10
category,"돈까스,우동",9
category,양식,9
category,세븐일레븐,9
category,CU,9
category,"해물,생선",8
category,"초밥,롤",8
category,칵테일바,8
category,떡볶이,8
category,"찌개,전골",7
category,커피전문점,7
category,GS25,7
category,내과,7
category,이비인후과,7
category,치킨,6
category,삼겹살,5
demand,flpop_tmzon_00_06,12.09
demand,selng_tmzon_00_06,2.75
demand,flpop_tmzon_06_11,20.37
demand,selng_tmzon_06_11,6.38
demand,flpop_tmzon_11_14,17.07
demand,selng_tmzon_11_14,26.51
demand,flpop_tmzon_14_17,17.31
demand,selng_tmzon_14_17,18.57
demand,flpop_tmzon_17_21,22.61
demand,selng_tmzon_17_21,32.58
demand,flpop_tmzon_21_24,10.55
demand,selng_tmzon_21_24,13.21
demand,agrde_10,11.36
demand,agrde_20,15.4
demand,agrde_30,21.86
demand,agrde_40,19.02
demand,agrde_50,15.32
demand,agrde_60_above,17.05
demand,fml_share,53.52
demand,flpop_wkend,24.82
demand,selng_wkend,21.33
demand,frc_share,12.82
demand,opbiz_rt,1.96
demand,clsbiz_rt,2.41
demand,stor_co,1595.5
demand,trdar_n,5.0
demand,trdar_selng_n,4.0
