kind,key,value
blog_keyword,광진구,301
blog_keyword,군자,219
blog_keyword,능동로,96
blog_keyword,매일,73
blog_keyword,윤숲,72
blog_keyword,디저트,62
blog_keyword,도보,50
blog_keyword,군자맛집,49
blog_keyword,군자역맛집,46
blog_keyword,따우전드,45
blog_keyword,출구에서,44
blog_keyword,오늘은,43
blog_keyword,서울해장,41
blog_keyword,군자카페,40
blog_keyword,군자역점,39
blog_keyword,주차,37
blog_keyword,분위기,37
blog_keyword,군자역카페,35
blog_keyword,근처,34
blog_keyword,군자점,33
blog_keyword,면목로,32
blog_keyword,긴고랑로,31
blog_keyword,안녕하세요,30
blog_keyword,천호대로,29
blog_keyword,웨이팅,28
blog_keyword,정보,28
blog_keyword,중곡동,27
blog_keyword,후르츠산도점,26
blog_keyword,케이크,26
blog_keyword,젠지스,25
blog_keyword,서울특별시,21
blog_keyword,매주,21
blog_keyword,주말,21
blog_keyword,후르츠산도,21
blog_keyword,매장,20
blog_keyword,군자에서,20
blog_keyword,오무오무,20
blog_keyword,휴무,19
blog_keyword,위치한,19
blog_keyword,군자역에서,19
blog_keyword,군자로,19
blog_keyword,감성,19
blog_keyword,파이,19
blog_keyword,커피,19
blog_keyword,시간,18
blog_keyword,서울돼지구이,18
blog_keyword,정기휴무,18
blog_keyword,나리랑,18
blog_keyword,이자카야,17
blog_keyword,군자역데이트,17
category,백반/한정식,119
category,미용실,113
category,카페,76
category,요리 주점,65
category,피부 관리실,46
category,편의점,43
category,일식 회/초밥,43
category,입시·교과학원,42
category,노래방,39
category,네일숍,37
category,기타 의류 소매업,31
category,경양식,30
category,요가/필라테스 학원,27
category,슈퍼마켓,26
category,돼지고기 구이/찜,26
category,화장품 소매업,26
category,김밥/만두/분식,24
category,빵/도넛,24
category,가구 소매업,22
category,기타 기술/직업 훈련학원,22
category,약국,21
category,세탁소,20
category,음악학원,20
category,헬스장,20
category,그 외 기타 개인/가정용품 수리업,19
category,건강보조식품 소매업,18
category,치킨,17
category,당구장,15
category,생맥주 전문,15
category,중국집,14
trend:군자역,2024-08-01,2.5018
trend:군자역,2024-09-01,2.39865
trend:군자역,2024-10-01,2.61283
trend:군자역,2024-11-01,2.60218
trend:군자역,2024-12-01,2.7501
trend:군자역,2025-01-01,2.27445
trend:군자역,2025-02-01,2.32236
trend:군자역,2025-03-01,2.72781
trend:군자역,2025-04-01,2.54344
trend:군자역,2025-05-01,2.6756
trend:군자역,2025-06-01,2.4607
trend:군자역,2025-07-01,2.46679
trend:군자역,2025-08-01,2.3862
trend:군자역,2025-09-01,2.51156
trend:군자역,2025-10-01,2.42981
trend:군자역,2025-11-01,2.44154
trend:군자역,2025-12-01,2.57147
trend:군자역,2026-01-01,2.50467
trend:군자역,2026-02-01,2.10397
trend:군자역,2026-03-01,2.64973
trend:군자역,2026-04-01,2.46912
trend:군자역,2026-05-01,2.52804
trend:군자역,2026-06-01,2.37134
trend:군자역,2026-07-01,2.30857
trend:군자역,2026-08-01,2.34922
demand,flpop_tmzon_00_06,25.95
demand,selng_tmzon_00_06,3.93
demand,flpop_tmzon_06_11,20.15
demand,selng_tmzon_06_11,7.93
demand,flpop_tmzon_11_14,11.27
demand,selng_tmzon_11_14,21.53
demand,flpop_tmzon_14_17,11.48
demand,selng_tmzon_14_17,19.95
demand,flpop_tmzon_17_21,17.52
demand,selng_tmzon_17_21,34.35
demand,flpop_tmzon_21_24,13.63
demand,selng_tmzon_21_24,12.31
demand,agrde_10,10.51
demand,agrde_20,22.45
demand,agrde_30,21.04
demand,agrde_40,15.94
demand,agrde_50,12.67
demand,agrde_60_above,17.39
demand,fml_share,53.36
demand,flpop_wkend,28.86
demand,selng_wkend,26.83
demand,frc_share,9.26
demand,opbiz_rt,2.55
demand,clsbiz_rt,2.89
demand,stor_co,1439.25
demand,trdar_n,3.0
demand,trdar_selng_n,3.0
