kind,key,value
category,미용실,152
category,백반/한정식,141
category,카페,103
category,요리 주점,69
category,돼지고기 구이/찜,57
category,노래방,57
category,펜션,55
category,김밥/만두/분식,53
category,기타 의류 소매업,52
category,편의점,50
category,피부 관리실,43
category,일식 회/초밥,43
category,입시·교과학원,43
category,슈퍼마켓,42
category,네일숍,40
category,빵/도넛,37
category,여성 의류 소매업,34
category,중국집,34
category,치킨,33
category,약국,30
category,요가/필라테스 학원,30
category,국/탕/찌개류,28
category,화장품 소매업,28
category,꽃집,27
category,세탁소,26
category,치과의원,24
category,헬스장,22
category,경양식,21
category,한의원,20
category,정육점,19
trend:구의역,2024-08-01,1.50636
trend:구의역,2024-09-01,1.46652
trend:구의역,2024-10-01,1.4975
trend:구의역,2024-11-01,1.51173
trend:구의역,2024-12-01,1.48577
trend:구의역,2025-01-01,1.40375
trend:구의역,2025-02-01,1.40536
trend:구의역,2025-03-01,1.50574
trend:구의역,2025-04-01,1.44368
trend:구의역,2025-05-01,1.64802
trend:구의역,2025-06-01,1.67748
trend:구의역,2025-07-01,1.76836
trend:구의역,2025-08-01,1.73192
trend:구의역,2025-09-01,1.6987
trend:구의역,2025-10-01,1.52776
trend:구의역,2025-11-01,1.58731
trend:구의역,2025-12-01,1.62017
trend:구의역,2026-01-01,1.57826
trend:구의역,2026-02-01,1.38476
trend:구의역,2026-03-01,1.52006
trend:구의역,2026-04-01,1.47816
trend:구의역,2026-05-01,1.60083
trend:구의역,2026-06-01,1.42318
trend:구의역,2026-07-01,1.50932
trend:구의역,2026-08-01,1.46517
demand,flpop_tmzon_00_06,26.95
demand,selng_tmzon_00_06,5.16
demand,flpop_tmzon_06_11,20.43
demand,selng_tmzon_06_11,10.69
demand,flpop_tmzon_11_14,11.44
demand,selng_tmzon_11_14,21.82
demand,flpop_tmzon_14_17,11.4
demand,selng_tmzon_14_17,19.6
demand,flpop_tmzon_17_21,16.49
demand,selng_tmzon_17_21,30.8
demand,flpop_tmzon_21_24,13.3
demand,selng_tmzon_21_24,11.92
demand,agrde_10,12.44
demand,agrde_20,19.63
demand,agrde_30,19.3
demand,agrde_40,15.55
demand,agrde_50,13.99
demand,agrde_60_above,19.08
demand,fml_share,53.85
demand,flpop_wkend,28.82
demand,selng_wkend,25.65
demand,frc_share,8.14
demand,opbiz_rt,2.34
demand,clsbiz_rt,2.17
demand,stor_co,2362.0
demand,trdar_n,9.0
demand,trdar_selng_n,9.0
