kind,key,value
blog_keyword,종로,400
blog_keyword,종로구,124
blog_keyword,디저트,120
blog_keyword,쑥스초코파이,96
blog_keyword,시장,86
blog_keyword,베이커리,85
blog_keyword,아베베,69
blog_keyword,가역,62
blog_keyword,을지로,54
blog_keyword,스타벅스,53
blog_keyword,아베베베이커리,48
blog_keyword,크림빵,47
blog_keyword,청계천,46
blog_keyword,먹거리,45
blog_keyword,광장시장맛집,45
blog_keyword,광장시장에,38
blog_keyword,빈대떡,36
blog_keyword,어니언,34
blog_keyword,광장시장카페,34
blog_keyword,근처,31
blog_keyword,광장시장점,30
blog_keyword,육회,29
blog_keyword,매일,28
blog_keyword,유명한,26
blog_keyword,광장마켓점,26
blog_keyword,떡볶이,25
blog_keyword,광장시장먹거리,23
blog_keyword,데이트,22
blog_keyword,포장,22
blog_keyword,아마츄어작업실,22
blog_keyword,여행,21
blog_keyword,명란,21
blog_keyword,퍼블릭가든,21
blog_keyword,부촌육회,20
blog_keyword,빵지순례,20
blog_keyword,코스,19
blog_keyword,종로맛집,19
blog_keyword,방산시장,19
blog_keyword,광장시장과,17
blog_keyword,있어서,17
blog_keyword,선물,17
blog_keyword,오늘은,17
blog_keyword,청계천로,17
blog_keyword,가볼만한곳,17
blog_keyword,광장시장에서,16
blog_keyword,찹쌀꽈배기,15
blog_keyword,주차,15
blog_keyword,광장시장바베큐,15
blog_keyword,동호로,15
blog_keyword,있어요,15
category,시계/귀금속 소매업,375
category,백반/한정식,247
category,실/섬유제품 소매업,205
category,카페,198
category,기타 의류 소매업,146
category,시계/귀금속/악기 수리업,102
category,슈퍼마켓,91
category,한복 소매업,65
category,요리 주점,57
category,약국,55
category,건어물/젓갈 소매업,55
category,일반 유흥 주점,53
category,전기용품/조명장치 소매업,51
category,돼지고기 구이/찜,51
category,침구류/커튼 소매업,51
category,여성 의류 소매업,49
category,의류/이불 수선업,48
category,김밥/만두/분식,46
category,편의점,43
category,운동용품 소매업,42
category,그 외 기타 상품 전문 소매업,41
category,미용실,41
category,국/탕/찌개류,40
category,액세서리/잡화 소매업,38
category,가전제품 소매업,36
category,가전제품 수리업,35
category,여관/모텔,35
category,의료기기 소매업,34
category,치과의원,34
category,국수/칼국수,33
trend:광장시장·종로4가,2024-08-01,6.34486
trend:광장시장·종로4가,2024-09-01,7.85472
trend:광장시장·종로4가,2024-10-01,7.9679
trend:광장시장·종로4가,2024-11-01,6.83492
trend:광장시장·종로4가,2024-12-01,6.67214
trend:광장시장·종로4가,2025-01-01,8.41454
trend:광장시장·종로4가,2025-02-01,6.94488
trend:광장시장·종로4가,2025-03-01,7.18172
trend:광장시장·종로4가,2025-04-01,6.95115
trend:광장시장·종로4가,2025-05-01,7.90173
trend:광장시장·종로4가,2025-06-01,6.80269
trend:광장시장·종로4가,2025-07-01,4.97612
trend:광장시장·종로4가,2025-08-01,5.78925
trend:광장시장·종로4가,2025-09-01,5.43833
trend:광장시장·종로4가,2025-10-01,8.30359
trend:광장시장·종로4가,2025-11-01,13.19993
trend:광장시장·종로4가,2025-12-01,5.00701
trend:광장시장·종로4가,2026-01-01,4.52626
trend:광장시장·종로4가,2026-02-01,6.12638
trend:광장시장·종로4가,2026-03-01,4.73713
trend:광장시장·종로4가,2026-04-01,5.01194
trend:광장시장·종로4가,2026-05-01,5.62369
trend:광장시장·종로4가,2026-06-01,3.75503
trend:광장시장·종로4가,2026-07-01,3.76032
trend:광장시장·종로4가,2026-08-01,4.28817
demand,flpop_tmzon_00_06,12.44
demand,selng_tmzon_00_06,0.46
demand,flpop_tmzon_06_11,20.56
demand,selng_tmzon_06_11,9.5
demand,flpop_tmzon_11_14,20.35
demand,selng_tmzon_11_14,35.21
demand,flpop_tmzon_14_17,20.48
demand,selng_tmzon_14_17,32.5
demand,flpop_tmzon_17_21,18.22
demand,selng_tmzon_17_21,19.63
demand,flpop_tmzon_21_24,7.95
demand,selng_tmzon_21_24,2.7
demand,agrde_10,4.75
demand,agrde_20,15.09
demand,agrde_30,17.05
demand,agrde_40,18.06
demand,agrde_50,18.5
demand,agrde_60_above,26.55
demand,fml_share,48.23
demand,flpop_wkend,22.0
demand,selng_wkend,22.3
demand,frc_share,3.06
demand,opbiz_rt,2.21
demand,clsbiz_rt,1.89
demand,stor_co,1923.75
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
