kind,key,value
blog_keyword,용산,33
blog_keyword,용산구,33
blog_keyword,한강대로,20
blog_keyword,용산점,19
blog_keyword,위치한,14
blog_keyword,삼각지,14
blog_keyword,서울특별시,11
blog_keyword,디저트,9
blog_keyword,용리단길은,9
blog_keyword,파이인더샵,9
blog_keyword,삼각지역,8
blog_keyword,서울의,8
blog_keyword,용리단길맛집,8
blog_keyword,용산맛집,8
blog_keyword,한남동에,8
blog_keyword,신용산역,7
blog_keyword,핫플,7
blog_keyword,테디뵈르하우스,7
blog_keyword,이태원,6
blog_keyword,방울과꼬막,6
blog_keyword,한남동데이트,6
blog_keyword,바보섬,6
blog_keyword,분위기,5
blog_keyword,오늘은,5
blog_keyword,제가,5
blog_keyword,유명한,5
blog_keyword,아치서울,5
blog_keyword,브레디포스트,5
blog_keyword,용리단길에,4
blog_keyword,필승맛집,4
blog_keyword,용산데이트코스,4
blog_keyword,한남,4
blog_keyword,쌤쌤쌤,4
blog_keyword,커피,4
blog_keyword,골목으로,4
blog_keyword,모닝사이드,3
blog_keyword,매일,3
blog_keyword,한남동맛집,3
blog_keyword,있어,3
blog_keyword,더쿠라,3
blog_keyword,한식,3
blog_keyword,가길,3
blog_keyword,데이트,3
blog_keyword,맛집으로,3
blog_keyword,용산밥집,3
blog_keyword,신용산역맛집,3
blog_keyword,용리단길밥집,3
blog_keyword,삼각지맛집,3
blog_keyword,친구가,3
blog_keyword,웨이팅,3
category,카페,42
category,양식,37
category,칵테일바,18
category,한식,17
category,전시관,14
category,술집,12
category,"제과,베이커리",10
category,디저트카페,10
category,와인바,8
category,일식,7
category,"육류,고기",7
category,커피전문점,7
category,약국,7
category,미술관,7
category,분식,5
category,아이스크림,4
category,"초밥,롤",4
category,"호프,요리주점",4
category,이탈리안,4
category,"공연장,연극극장",4
category,"멕시칸,브라질",3
category,중국요리,3
category,피자,3
category,"해물,생선",3
category,CU,3
category,햄버거,2
category,패스트푸드,2
category,"찌개,전골",2
category,중식,2
category,음식점,2
trend:한남동·용리단길,2024-08-01,5.50531
trend:한남동·용리단길,2024-09-01,5.12789
trend:한남동·용리단길,2024-10-01,5.85086
trend:한남동·용리단길,2024-11-01,5.40798
trend:한남동·용리단길,2024-12-01,6.31889
trend:한남동·용리단길,2025-01-01,11.45843
trend:한남동·용리단길,2025-02-01,4.5054
trend:한남동·용리단길,2025-03-01,5.69263
trend:한남동·용리단길,2025-04-01,5.61787
trend:한남동·용리단길,2025-05-01,5.28208
trend:한남동·용리단길,2025-06-01,5.10434
trend:한남동·용리단길,2025-07-01,4.50943
trend:한남동·용리단길,2025-08-01,4.80411
trend:한남동·용리단길,2025-09-01,3.74653
trend:한남동·용리단길,2025-10-01,4.04488
trend:한남동·용리단길,2025-11-01,3.92463
trend:한남동·용리단길,2025-12-01,4.32703
trend:한남동·용리단길,2026-01-01,3.48811
trend:한남동·용리단길,2026-02-01,3.62609
trend:한남동·용리단길,2026-03-01,3.79076
trend:한남동·용리단길,2026-04-01,3.64149
trend:한남동·용리단길,2026-05-01,3.90054
trend:한남동·용리단길,2026-06-01,3.5747
trend:한남동·용리단길,2026-07-01,3.33302
trend:한남동·용리단길,2026-08-01,3.33141
demand,flpop_tmzon_00_06,20.75
demand,selng_tmzon_00_06,6.38
demand,flpop_tmzon_06_11,21.08
demand,selng_tmzon_06_11,5.12
demand,flpop_tmzon_11_14,14.14
demand,selng_tmzon_11_14,19.02
demand,flpop_tmzon_14_17,14.48
demand,selng_tmzon_14_17,22.15
demand,flpop_tmzon_17_21,18.03
demand,selng_tmzon_17_21,31.81
demand,flpop_tmzon_21_24,11.52
demand,selng_tmzon_21_24,15.53
demand,agrde_10,9.76
demand,agrde_20,15.37
demand,agrde_30,23.21
demand,agrde_40,22.0
demand,agrde_50,15.02
demand,agrde_60_above,14.65
demand,fml_share,53.28
demand,flpop_wkend,27.18
demand,selng_wkend,33.01
demand,frc_share,5.39
demand,opbiz_rt,2.24
demand,clsbiz_rt,1.98
demand,stor_co,890.0
demand,trdar_n,2.0
demand,trdar_selng_n,2.0
