kind,key,value
blog_keyword,마포구,310
blog_keyword,합정,242
blog_keyword,합정역,145
blog_keyword,위치한,52
blog_keyword,오늘은,47
blog_keyword,합정점,47
blog_keyword,합정동에,47
blog_keyword,매일,41
blog_keyword,분위기,40
blog_keyword,마포,37
blog_keyword,주차,35
blog_keyword,합정맛집,33
blog_keyword,해옫,33
blog_keyword,홍대,32
blog_keyword,디저트,31
blog_keyword,독막로,29
blog_keyword,데이트,28
blog_keyword,브런치,26
blog_keyword,안녕하세요,22
blog_keyword,합정카페,22
blog_keyword,출구에서,20
blog_keyword,합정동카페,20
blog_keyword,가능,19
blog_keyword,정보,19
blog_keyword,양화로,19
blog_keyword,해머플레이스,18
blog_keyword,합정동맛집,17
blog_keyword,합정역맛집,17
blog_keyword,이자카야,17
blog_keyword,상수역,17
blog_keyword,유명한,17
blog_keyword,서울특별시,17
blog_keyword,월드컵로,16
blog_keyword,예약,15
blog_keyword,합정동에서,15
blog_keyword,상수,15
blog_keyword,카페를,15
blog_keyword,오레노라멘,15
blog_keyword,감성,15
blog_keyword,매장,15
blog_keyword,커피,15
blog_keyword,입니다,14
blog_keyword,점심,14
blog_keyword,합정에,14
blog_keyword,근처,14
blog_keyword,망원동,14
blog_keyword,설치,14
blog_keyword,합정동은,14
blog_keyword,메뉴,13
blog_keyword,평일,13
category,카페,131
category,백반/한정식,128
category,미용실,100
category,요리 주점,80
category,일식 회/초밥,61
category,펜션,61
category,경양식,58
category,돼지고기 구이/찜,49
category,편의점,40
category,요가/필라테스 학원,34
category,빵/도넛,33
category,피부 관리실,32
category,입시·교과학원,28
category,김밥/만두/분식,27
category,네일숍,26
category,기타 의류 소매업,25
category,꽃집,22
category,기타 기술/직업 훈련학원,22
category,화장품 소매업,22
category,헬스장,20
category,중국집,18
category,그 외 기타 교육기관,17
category,음악학원,17
category,기타 교육지원 서비스업,16
category,피자,16
category,생맥주 전문,16
category,그 외 기타 상품 전문 소매업,15
category,약국,15
category,노래방,13
category,국/탕/찌개류,12
trend:합정,2024-08-01,1.30274
trend:합정,2024-09-01,1.23362
trend:합정,2024-10-01,1.25618
trend:합정,2024-11-01,1.22036
trend:합정,2024-12-01,1.36112
trend:합정,2025-01-01,1.19923
trend:합정,2025-02-01,1.15204
trend:합정,2025-03-01,1.1918
trend:합정,2025-04-01,1.08453
trend:합정,2025-05-01,1.11954
trend:합정,2025-06-01,1.07737
trend:합정,2025-07-01,1.13987
trend:합정,2025-08-01,1.0454
trend:합정,2025-09-01,1.39882
trend:합정,2025-10-01,0.98585
trend:합정,2025-11-01,0.97591
trend:합정,2025-12-01,1.07772
trend:합정,2026-01-01,0.9401
trend:합정,2026-02-01,0.8176
trend:합정,2026-03-01,0.91753
trend:합정,2026-04-01,1.08892
trend:합정,2026-05-01,0.87625
trend:합정,2026-06-01,0.77838
trend:합정,2026-07-01,0.81716
trend:합정,2026-08-01,0.81178
demand,flpop_tmzon_00_06,17.88
demand,selng_tmzon_00_06,2.87
demand,flpop_tmzon_06_11,18.36
demand,selng_tmzon_06_11,12.32
demand,flpop_tmzon_11_14,14.97
demand,selng_tmzon_11_14,31.86
demand,flpop_tmzon_14_17,15.25
demand,selng_tmzon_14_17,17.87
demand,flpop_tmzon_17_21,21.42
demand,selng_tmzon_17_21,25.17
demand,flpop_tmzon_21_24,12.11
demand,selng_tmzon_21_24,9.91
demand,agrde_10,9.08
demand,agrde_20,23.09
demand,agrde_30,24.92
demand,agrde_40,17.79
demand,agrde_50,11.85
demand,agrde_60_above,13.26
demand,fml_share,55.55
demand,flpop_wkend,28.71
demand,selng_wkend,20.68
demand,frc_share,9.29
demand,opbiz_rt,2.15
demand,clsbiz_rt,2.25
demand,stor_co,1540.25
demand,trdar_n,3.0
demand,trdar_selng_n,2.0
