kind,key,value
blog_keyword,강서구,348
blog_keyword,화곡로,133
blog_keyword,화곡동,126
blog_keyword,부엌모락,93
blog_keyword,화곡,83
blog_keyword,디저트,82
blog_keyword,매일,81
blog_keyword,강서로,81
blog_keyword,출구에서,55
blog_keyword,주차,54
blog_keyword,화곡역맛집,51
blog_keyword,화곡점,49
blog_keyword,크로플로,48
blog_keyword,화곡역점,40
blog_keyword,도보,38
blog_keyword,강서,37
blog_keyword,화곡역카페,35
blog_keyword,화곡동맛집,35
blog_keyword,일도커피,35
blog_keyword,어촌계,32
blog_keyword,오늘은,32
blog_keyword,가능,31
blog_keyword,위치한,31
blog_keyword,혼밥,30
blog_keyword,안녕하세요,30
blog_keyword,출구,29
blog_keyword,번지,28
blog_keyword,근처,27
blog_keyword,횟집,27
blog_keyword,분위기,27
blog_keyword,에멘탈커피,27
blog_keyword,시간,26
blog_keyword,매장,25
blog_keyword,가성비,24
blog_keyword,커피,24
blog_keyword,정보,22
blog_keyword,본점,22
blog_keyword,막국수,21
blog_keyword,카페를,21
blog_keyword,근처에,20
blog_keyword,서울특별시,20
blog_keyword,다양한,19
blog_keyword,화곡카페,19
blog_keyword,삼겹살,18
blog_keyword,피그백,18
blog_keyword,우장산역,18
blog_keyword,감성,17
blog_keyword,보눔하우스화곡,17
blog_keyword,화곡역에서,16
blog_keyword,번출구에서,16
category,미용실,154
category,백반/한정식,151
category,카페,91
category,요리 주점,79
category,입시·교과학원,63
category,피부 관리실,53
category,돼지고기 구이/찜,51
category,편의점,50
category,노래방,49
category,치킨,43
category,김밥/만두/분식,42
category,슈퍼마켓,37
category,약국,33
category,빵/도넛,32
category,네일숍,32
category,일식 회/초밥,30
category,국/탕/찌개류,27
category,핸드폰 소매업,27
category,요가/필라테스 학원,26
category,치과의원,26
category,기타 의류 소매업,25
category,피자,25
category,중국집,24
category,한의원,24
category,화장품 소매업,23
category,헬스장,23
category,가전제품 수리업,22
category,여성 의류 소매업,21
category,음악학원,21
category,애완동물/애완용품 소매업,20
trend:화곡,2024-08-01,0.35279
trend:화곡,2024-09-01,0.32557
trend:화곡,2024-10-01,0.34321
trend:화곡,2024-11-01,0.37052
trend:화곡,2024-12-01,0.34652
trend:화곡,2025-01-01,0.34169
trend:화곡,2025-02-01,0.30023
trend:화곡,2025-03-01,0.33703
trend:화곡,2025-04-01,0.32575
trend:화곡,2025-05-01,0.33023
trend:화곡,2025-06-01,0.31044
trend:화곡,2025-07-01,0.32342
trend:화곡,2025-08-01,0.32226
trend:화곡,2025-09-01,0.29056
trend:화곡,2025-10-01,0.29647
trend:화곡,2025-11-01,0.29468
trend:화곡,2025-12-01,0.30489
trend:화곡,2026-01-01,0.29539
trend:화곡,2026-02-01,0.25931
trend:화곡,2026-03-01,0.27059
trend:화곡,2026-04-01,0.24051
trend:화곡,2026-05-01,0.24803
trend:화곡,2026-06-01,0.2371
trend:화곡,2026-07-01,0.31518
trend:화곡,2026-08-01,0.23477
demand,flpop_tmzon_00_06,23.94
demand,selng_tmzon_00_06,5.31
demand,flpop_tmzon_06_11,20.0
demand,selng_tmzon_06_11,11.23
demand,flpop_tmzon_11_14,11.83
demand,selng_tmzon_11_14,20.67
demand,flpop_tmzon_14_17,12.11
demand,selng_tmzon_14_17,22.01
demand,flpop_tmzon_17_21,18.49
demand,selng_tmzon_17_21,29.84
demand,flpop_tmzon_21_24,13.64
demand,selng_tmzon_21_24,10.96
demand,agrde_10,13.13
demand,agrde_20,15.9
demand,agrde_30,18.28
demand,agrde_40,16.46
demand,agrde_50,14.19
demand,agrde_60_above,22.03
demand,fml_share,53.93
demand,flpop_wkend,29.45
demand,selng_wkend,26.57
demand,frc_share,11.15
demand,opbiz_rt,3.39
demand,clsbiz_rt,2.77
demand,stor_co,1237.5
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
