kind,key,value
blog_keyword,종로,236
blog_keyword,종로구,103
blog_keyword,돈화문로,38
blog_keyword,익선동맛집,38
blog_keyword,가역,34
blog_keyword,한옥,32
blog_keyword,서순라길,31
blog_keyword,분위기,28
blog_keyword,안국역,28
blog_keyword,가맛집,24
blog_keyword,익선동에서,22
blog_keyword,인사동,22
blog_keyword,종로맛집,21
blog_keyword,감성,21
blog_keyword,데이트,21
blog_keyword,매일,21
blog_keyword,주차,21
blog_keyword,삼일대로,19
blog_keyword,익선동데이트,17
blog_keyword,익선동카페,17
blog_keyword,서순라길점,16
blog_keyword,정보,16
blog_keyword,청수당,16
blog_keyword,고즈넉한,16
blog_keyword,식껍,16
blog_keyword,하녹,15
blog_keyword,수표로,15
blog_keyword,문화제빵,14
blog_keyword,고기집,14
blog_keyword,푸노야,14
blog_keyword,골목,14
blog_keyword,매장,13
blog_keyword,온정옥,13
blog_keyword,서울의,13
blog_keyword,종로익선점,13
blog_keyword,서순라점,12
blog_keyword,있어,12
blog_keyword,종로데이트,12
blog_keyword,디저트,12
blog_keyword,먹고,12
blog_keyword,서순라길맛집,11
blog_keyword,찾아가는,11
blog_keyword,익선본점,11
blog_keyword,익선갈매기,10
blog_keyword,여행,10
blog_keyword,커피,10
blog_keyword,찾는,10
blog_keyword,삼겹살,10
blog_keyword,호텔,10
blog_keyword,가득한,9
category,한식,60
category,카페,60
category,"호프,요리주점",50
category,"육류,고기",42
category,양식,30
category,술집,27
category,"여관,모텔",21
category,호텔,18
category,게스트하우스,15
category,분식,13
category,일식,12
category,실내포장마차,12
category,"제과,베이커리",11
category,아구,11
category,디저트카페,11
category,와인바,10
category,칵테일바,9
category,국밥,8
category,회,8
category,"해물,생선",8
category,숙박,8
category,한옥숙소,8
category,치킨,7
category,"곱창,막창",7
category,갈비,6
category,일본식주점,6
category,삼겹살,6
category,세븐일레븐,6
category,CU,6
category,국수,5
