kind,key,value
blog_keyword,용산구,64
blog_keyword,이태원맛집,30
blog_keyword,이태원역,30
blog_keyword,이태원점,23
blog_keyword,이태원로,23
blog_keyword,한남동,20
blog_keyword,근데,18
blog_keyword,분위기,18
blog_keyword,해방촌,16
blog_keyword,이태원에,15
blog_keyword,브런치,14
blog_keyword,이태원에서,14
blog_keyword,서울특별시,14
blog_keyword,이태원술집,13
blog_keyword,용산,13
blog_keyword,이태원데이트,12
blog_keyword,서울에서,11
blog_keyword,시간,11
blog_keyword,용산맛집,11
blog_keyword,맛집을,11
blog_keyword,데이트,11
blog_keyword,녹사평대로,11
blog_keyword,호텔,10
blog_keyword,매장,10
blog_keyword,성수오뎅,10
blog_keyword,정보,10
blog_keyword,카페도,9
blog_keyword,먹고,9
blog_keyword,이태원카페,9
blog_keyword,여행,9
blog_keyword,와인바,9
blog_keyword,술집,9
blog_keyword,카페를,9
blog_keyword,이렇게,8
blog_keyword,카페에서,8
blog_keyword,출구에서,8
blog_keyword,경리단길,8
blog_keyword,외국인,8
blog_keyword,필수,7
blog_keyword,가고,7
blog_keyword,가서,7
blog_keyword,하고,7
blog_keyword,싶은,7
blog_keyword,서울맛집,7
blog_keyword,이태원동,7
blog_keyword,루프탑,7
blog_keyword,보광로,7
blog_keyword,골목,7
blog_keyword,이태원은,7
blog_keyword,녹사평,7
category,술집,59
category,양식,56
category,"호프,요리주점",54
category,칵테일바,40
category,카페,36
category,한식,28
category,게스트하우스,22
category,"육류,고기",17
category,일본식주점,14
category,"제과,베이커리",13
category,와인바,13
category,튀르키예음식,10
category,인도음식,10
category,실내포장마차,9
category,커피전문점,8
category,"멕시칸,브라질",7
category,피자,7
category,디저트카페,7
category,중국요리,5
category,분식,5
category,치과,5
category,약국,5
category,미술관,5
category,전시관,5
category,치킨,4
category,음식점,4
category,아시아음식,4
category,GS25,4
category,피부과,4
category,호텔,4
demand,flpop_tmzon_00_06,23.56
demand,selng_tmzon_00_06,17.07
demand,flpop_tmzon_06_11,17.21
demand,selng_tmzon_06_11,4.81
demand,flpop_tmzon_11_14,13.08
demand,selng_tmzon_11_14,15.94
demand,flpop_tmzon_14_17,13.95
demand,selng_tmzon_14_17,19.68
demand,flpop_tmzon_17_21,18.76
demand,selng_tmzon_17_21,26.89
demand,flpop_tmzon_21_24,13.44
demand,selng_tmzon_21_24,15.62
demand,agrde_10,6.63
demand,agrde_20,24.57
demand,agrde_30,24.65
demand,agrde_40,18.48
demand,agrde_50,12.0
demand,agrde_60_above,13.67
demand,fml_share,47.61
demand,flpop_wkend,33.38
demand,selng_wkend,43.87
demand,frc_share,5.51
demand,opbiz_rt,2.26
demand,clsbiz_rt,2.8
demand,stor_co,3377.5
demand,trdar_n,5.0
demand,trdar_selng_n,4.0
trend:이태원,2024-07-01,3.79291
trend:이태원,2024-08-01,3.29461
trend:이태원,2024-09-01,3.34395
trend:이태원,2024-10-01,7.705
trend:이태원,2024-11-01,3.82192
trend:이태원,2024-12-01,4.2571
trend:이태원,2025-01-01,3.02786
trend:이태원,2025-02-01,2.98766
trend:이태원,2025-03-01,2.7441
trend:이태원,2025-04-01,2.6457
trend:이태원,2025-05-01,2.91629
trend:이태원,2025-06-01,3.88353
trend:이태원,2025-07-01,2.9376
trend:이태원,2025-08-01,4.45418
trend:이태원,2025-09-01,2.84403
trend:이태원,2025-10-01,7.12871
trend:이태원,2025-11-01,3.79237
trend:이태원,2025-12-01,2.56018
trend:이태원,2026-01-01,2.28108
trend:이태원,2026-02-01,2.07907
trend:이태원,2026-03-01,2.29156
trend:이태원,2026-04-01,2.38558
trend:이태원,2026-05-01,2.32451
trend:이태원,2026-06-01,1.93903
trend:이태원,2026-07-01,2.00171
