kind,key,value
blog_keyword,롯데월드몰,162
blog_keyword,송파구,155
blog_keyword,올림픽로,108
blog_keyword,서울스카이,88
blog_keyword,잠실역,68
blog_keyword,석촌호수,67
blog_keyword,롯데월드,67
blog_keyword,롯데타워,66
blog_keyword,전망대,56
blog_keyword,시그니엘,49
blog_keyword,층에,49
blog_keyword,롯데월드몰점,48
blog_keyword,라운지,47
blog_keyword,데이트,41
blog_keyword,매일,40
blog_keyword,잠실맛집,39
blog_keyword,지하,36
blog_keyword,잠실카페,33
blog_keyword,주차,32
blog_keyword,롯데월드타워몰,31
blog_keyword,위치한,31
blog_keyword,롯데월드타워맛집,30
blog_keyword,롯데,29
blog_keyword,오늘은,26
blog_keyword,커피,24
blog_keyword,타워,23
blog_keyword,보이는,23
blog_keyword,야경,23
blog_keyword,미포집,23
blog_keyword,에비뉴엘,22
blog_keyword,블랙,22
blog_keyword,송파,21
blog_keyword,안녕하세요,20
blog_keyword,롯데월드타워점,20
blog_keyword,코스,20
blog_keyword,송리단길,20
blog_keyword,마키노차야,20
blog_keyword,디저트,20
blog_keyword,예약,20
blog_keyword,롯데백화점,20
blog_keyword,시간,19
blog_keyword,블루보틀,19
blog_keyword,미루꾸커피,18
blog_keyword,루프탑,17
blog_keyword,팝업,17
blog_keyword,있어요,17
blog_keyword,호선,15
blog_keyword,스테이,15
blog_keyword,분위기,15
blog_keyword,비채나,15
category,카페,77
category,한식,75
category,"육류,고기",49
category,"호프,요리주점",43
category,"제과,베이커리",42
category,치과,38
category,약국,38
category,분식,32
category,양식,31
category,피부과,26
category,"돈까스,우동",21
category,"해물,생선",19
category,중국요리,19
category,일식,19
category,"초밥,롤",19
category,세븐일레븐,18
category,디저트카페,17
category,"여관,모텔",17
category,회,15
category,중식,14
category,술집,14
category,일본식주점,14
category,아이스크림,13
category,CU,13
category,칵테일바,12
category,커피전문점,12
category,일반의원,11
category,국수,10
category,양꼬치,10
category,"곱창,막창",10
trend:잠실·롯데월드타워,2024-08-01,9.46952
trend:잠실·롯데월드타워,2024-09-01,7.65916
trend:잠실·롯데월드타워,2024-10-01,7.28487
trend:잠실·롯데월드타워,2024-11-01,7.7085
trend:잠실·롯데월드타워,2024-12-01,9.08368
trend:잠실·롯데월드타워,2025-01-01,6.72729
trend:잠실·롯데월드타워,2025-02-01,6.56119
trend:잠실·롯데월드타워,2025-03-01,6.70088
trend:잠실·롯데월드타워,2025-04-01,7.17017
trend:잠실·롯데월드타워,2025-05-01,7.37665
trend:잠실·롯데월드타워,2025-06-01,6.19407
trend:잠실·롯데월드타워,2025-07-01,7.30788
trend:잠실·롯데월드타워,2025-08-01,7.41328
trend:잠실·롯데월드타워,2025-09-01,5.99153
trend:잠실·롯데월드타워,2025-10-01,6.43646
trend:잠실·롯데월드타워,2025-11-01,5.86545
trend:잠실·롯데월드타워,2025-12-01,7.25685
trend:잠실·롯데월드타워,2026-01-01,5.53791
trend:잠실·롯데월드타워,2026-02-01,5.03584
trend:잠실·롯데월드타워,2026-03-01,4.93923
trend:잠실·롯데월드타워,2026-04-01,5.24931
trend:잠실·롯데월드타워,2026-05-01,5.24743
trend:잠실·롯데월드타워,2026-06-01,26.62167
trend:잠실·롯데월드타워,2026-07-01,6.05241
trend:잠실·롯데월드타워,2026-08-01,5.78245
demand,flpop_tmzon_00_06,12.26
demand,selng_tmzon_00_06,0.08
demand,flpop_tmzon_06_11,20.79
demand,selng_tmzon_06_11,3.91
demand,flpop_tmzon_11_14,18.58
demand,selng_tmzon_11_14,25.22
demand,flpop_tmzon_14_17,19.78
demand,selng_tmzon_14_17,31.22
demand,flpop_tmzon_17_21,19.97
demand,selng_tmzon_17_21,34.91
demand,flpop_tmzon_21_24,8.63
demand,selng_tmzon_21_24,4.65
demand,agrde_10,13.18
demand,agrde_20,14.75
demand,agrde_30,20.05
demand,agrde_40,21.95
demand,agrde_50,14.42
demand,agrde_60_above,15.65
demand,fml_share,53.23
demand,flpop_wkend,23.47
demand,selng_wkend,35.94
demand,frc_share,12.83
demand,opbiz_rt,1.06
demand,clsbiz_rt,1.86
demand,stor_co,2359.0
demand,trdar_n,2.0
demand,trdar_selng_n,2.0
