kind,key,value
blog_keyword,송파구,322
blog_keyword,잠실새내역,205
blog_keyword,백제고분로,193
blog_keyword,잠실,140
blog_keyword,잠실새내점,91
blog_keyword,잠실새내맛집,88
blog_keyword,디저트,87
blog_keyword,매일,73
blog_keyword,주차,49
blog_keyword,올림픽로,41
blog_keyword,영커피,41
blog_keyword,잠실점,38
blog_keyword,트레스드,38
blog_keyword,종합운동장역,35
blog_keyword,하우스서울,33
blog_keyword,오늘은,32
blog_keyword,도보,32
blog_keyword,출구에서,31
blog_keyword,멜티도나,30
blog_keyword,잠실새내역맛집,28
blog_keyword,근처,27
blog_keyword,잠실새내카페,27
blog_keyword,잠실맛집,26
blog_keyword,송파,26
blog_keyword,보쌈,26
blog_keyword,가능,26
blog_keyword,시간,26
blog_keyword,가성비,25
blog_keyword,안녕하세요,23
blog_keyword,호선,23
blog_keyword,서울특별시,23
blog_keyword,분위기,22
blog_keyword,출구,21
blog_keyword,석촌호수로,21
blog_keyword,스터디카페,21
blog_keyword,박만배아리랑보쌈,20
blog_keyword,먹고,20
blog_keyword,술집,19
blog_keyword,남도보쌈짚,19
blog_keyword,데이트,19
blog_keyword,감성,19
blog_keyword,잠실트리지움점,19
blog_keyword,정보,18
blog_keyword,정기휴무,18
blog_keyword,일본,18
blog_keyword,잠실새내술집,17
blog_keyword,카툰플러스,17
blog_keyword,천하제빵,17
blog_keyword,휘낭시에,17
blog_keyword,매주,16
category,백반/한정식,127
category,미용실,118
category,카페,83
category,입시·교과학원,82
category,요리 주점,74
category,피부 관리실,71
category,돼지고기 구이/찜,50
category,요가/필라테스 학원,49
category,기타 의류 소매업,48
category,헬스장,43
category,화장품 소매업,42
category,김밥/만두/분식,41
category,노래방,40
category,네일숍,37
category,치킨,37
category,한의원,36
category,편의점,35
category,음악학원,34
category,치과의원,33
category,일식 회/초밥,32
category,빵/도넛,31
category,경양식,31
category,약국,31
category,슈퍼마켓,27
category,미술학원,27
category,여관/모텔,25
category,독서실/스터디 카페,23
category,여성 의류 소매업,23
category,핸드폰 소매업,22
category,내과/소아과 의원,22
trend:잠실새내,2024-08-01,0.74642
trend:잠실새내,2024-09-01,0.64909
trend:잠실새내,2024-10-01,0.63825
trend:잠실새내,2024-11-01,0.59366
trend:잠실새내,2024-12-01,0.65894
trend:잠실새내,2025-01-01,0.57951
trend:잠실새내,2025-02-01,0.55256
trend:잠실새내,2025-03-01,0.63189
trend:잠실새내,2025-04-01,0.62563
trend:잠실새내,2025-05-01,0.64318
trend:잠실새내,2025-06-01,0.59796
trend:잠실새내,2025-07-01,0.62339
trend:잠실새내,2025-08-01,0.6096
trend:잠실새내,2025-09-01,0.54271
trend:잠실새내,2025-10-01,0.53653
trend:잠실새내,2025-11-01,0.48612
trend:잠실새내,2025-12-01,0.54531
trend:잠실새내,2026-01-01,0.51459
trend:잠실새내,2026-02-01,0.4041
trend:잠실새내,2026-03-01,0.44341
trend:잠실새내,2026-04-01,0.51415
trend:잠실새내,2026-05-01,0.48263
trend:잠실새내,2026-06-01,0.45693
trend:잠실새내,2026-07-01,0.46024
trend:잠실새내,2026-08-01,0.44009
demand,flpop_tmzon_00_06,21.76
demand,selng_tmzon_00_06,3.24
demand,flpop_tmzon_06_11,18.21
demand,selng_tmzon_06_11,8.58
demand,flpop_tmzon_11_14,12.56
demand,selng_tmzon_11_14,23.61
demand,flpop_tmzon_14_17,13.68
demand,selng_tmzon_14_17,23.67
demand,flpop_tmzon_17_21,20.43
demand,selng_tmzon_17_21,31.15
demand,flpop_tmzon_21_24,13.35
demand,selng_tmzon_21_24,9.75
demand,agrde_10,16.97
demand,agrde_20,17.17
demand,agrde_30,18.0
demand,agrde_40,18.83
demand,agrde_50,13.71
demand,agrde_60_above,15.33
demand,fml_share,52.66
demand,flpop_wkend,29.82
demand,selng_wkend,27.24
demand,frc_share,12.64
demand,opbiz_rt,2.38
demand,clsbiz_rt,2.82
demand,stor_co,2321.75
demand,trdar_n,2.0
demand,trdar_selng_n,2.0
