kind,key,value
blog_keyword,동대문구,174
blog_keyword,장안동맛집,70
blog_keyword,장한로,58
blog_keyword,장한평역,43
blog_keyword,장한평,29
blog_keyword,열쇠,27
blog_keyword,장안점,27
blog_keyword,정보,24
blog_keyword,한천로,23
blog_keyword,갈비,23
blog_keyword,주차,22
blog_keyword,일요일,21
blog_keyword,휴무,19
blog_keyword,장한평역맛집,19
blog_keyword,간장게장,18
blog_keyword,연락처,18
blog_keyword,화로구이,17
blog_keyword,안녕하세요,17
blog_keyword,동대문,17
blog_keyword,동대문구맛집,16
blog_keyword,먹깨비,16
blog_keyword,가성비,16
blog_keyword,매일,16
blog_keyword,소통요리주점,15
blog_keyword,태영빌딩,15
blog_keyword,해물아구찜,15
blog_keyword,업체,15
blog_keyword,오늘은,14
blog_keyword,천호대로,14
blog_keyword,각식당,14
blog_keyword,장한평맛집,13
blog_keyword,맛집을,13
blog_keyword,닭도리탕,13
blog_keyword,샤브샤브,12
blog_keyword,시간영업,12
blog_keyword,장안동에서,12
blog_keyword,장안본점,12
blog_keyword,장안,11
blog_keyword,솔직후기,11
blog_keyword,행궁동,11
blog_keyword,장안동에,11
blog_keyword,샤브토랑,11
blog_keyword,시간,11
blog_keyword,고기집,11
blog_keyword,장안동카페,11
blog_keyword,답십리,10
blog_keyword,삼겹살,10
blog_keyword,직접,10
blog_keyword,매장,10
blog_keyword,메뉴,10
category,치과,22
category,한식,19
category,약국,18
category,"육류,고기",15
category,"호프,요리주점",12
category,"여관,모텔",9
category,분식,8
category,중국요리,6
category,"돈까스,우동",6
category,GS25,6
category,갈비,5
category,치킨,5
category,"곱창,막창",5
category,카페,5
category,세븐일레븐,5
category,술집,4
category,피부과,4
category,내과,4
category,정형외과,4
category,이비인후과,4
category,순대,3
category,샌드위치,3
category,"제과,베이커리",3
category,냉면,3
category,"해물,생선",3
category,"찌개,전골",3
category,샐러드,3
category,빽다방,3
category,CU,3
category,안과,3
