kind,key,value
blog_keyword,마포구,123
blog_keyword,망원동맛집,69
blog_keyword,월드컵로,62
blog_keyword,마포장어맛집,54
blog_keyword,돌쇠풍천민물장어,45
blog_keyword,망원맛집,45
blog_keyword,망원,42
blog_keyword,마포구맛집,42
blog_keyword,망원역맛집,41
blog_keyword,마포맛집,34
blog_keyword,망원역,32
blog_keyword,망원역장어맛집,32
blog_keyword,망원동장어맛집,30
blog_keyword,망원장어맛집,28
blog_keyword,마포구몸보신,28
blog_keyword,망원역몸보신,26
blog_keyword,분위기,15
blog_keyword,망원동에,14
blog_keyword,디저트,14
blog_keyword,메뉴,14
blog_keyword,웨이팅,14
blog_keyword,건물,14
blog_keyword,정보,13
blog_keyword,층에,12
blog_keyword,망원시장,12
blog_keyword,망원동에서,11
blog_keyword,장어,11
blog_keyword,평일,11
blog_keyword,망원데이트,11
blog_keyword,감성,10
blog_keyword,시간,10
blog_keyword,먹고,10
blog_keyword,데이트,10
blog_keyword,도보,10
blog_keyword,출구에서,10
blog_keyword,카페가,9
blog_keyword,가득한,9
blog_keyword,서울에,9
blog_keyword,베이커리,9
blog_keyword,망원동카페,9
blog_keyword,투어,9
blog_keyword,마포,9
blog_keyword,브런치,9
blog_keyword,희우정로,9
blog_keyword,헤키,9
blog_keyword,주차,9
blog_keyword,망원시장맛집,9
blog_keyword,모두,8
blog_keyword,연남동,8
blog_keyword,내가,8
category,카페,107
category,"제과,베이커리",53
category,한식,41
category,디저트카페,33
category,"호프,요리주점",31
category,일식,29
category,"육류,고기",23
category,분식,23
category,약국,23
category,양식,22
category,치과,20
category,술집,17
category,커피전문점,17
category,칵테일바,16
category,일본식주점,14
category,국밥,13
category,"족발,보쌈",12
category,중국요리,12
category,이탈리안,10
category,회,10
category,GS25,10
category,내과,9
category,"돈까스,우동",8
category,"해물,생선",8
category,치킨,8
category,국수,7
category,간식,7
category,CU,7
category,세븐일레븐,7
category,동물병원,7
demand,flpop_tmzon_00_06,20.68
demand,selng_tmzon_00_06,4.5
demand,flpop_tmzon_06_11,19.72
demand,selng_tmzon_06_11,9.08
demand,flpop_tmzon_11_14,13.73
demand,selng_tmzon_11_14,25.31
demand,flpop_tmzon_14_17,14.47
demand,selng_tmzon_14_17,20.81
demand,flpop_tmzon_17_21,19.22
demand,selng_tmzon_17_21,29.99
demand,flpop_tmzon_21_24,12.18
demand,selng_tmzon_21_24,10.3
demand,agrde_10,9.73
demand,agrde_20,20.14
demand,agrde_30,21.48
demand,agrde_40,17.94
demand,agrde_50,13.65
demand,agrde_60_above,17.06
demand,fml_share,56.32
demand,flpop_wkend,27.93
demand,selng_wkend,27.09
demand,frc_share,7.48
demand,opbiz_rt,2.38
demand,clsbiz_rt,2.86
demand,stor_co,1138.75
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
trend:망원동·망리단길,2024-07-01,2.471
trend:망원동·망리단길,2024-08-01,4.10881
trend:망원동·망리단길,2024-09-01,2.20775
trend:망원동·망리단길,2024-10-01,2.42247
trend:망원동·망리단길,2024-11-01,2.26451
trend:망원동·망리단길,2024-12-01,2.2835
trend:망원동·망리단길,2025-01-01,2.26577
trend:망원동·망리단길,2025-02-01,2.2081
trend:망원동·망리단길,2025-03-01,2.19673
trend:망원동·망리단길,2025-04-01,2.07469
trend:망원동·망리단길,2025-05-01,2.49947
trend:망원동·망리단길,2025-06-01,2.14175
trend:망원동·망리단길,2025-07-01,2.1525
trend:망원동·망리단길,2025-08-01,2.66745
trend:망원동·망리단길,2025-09-01,1.98873
trend:망원동·망리단길,2025-10-01,1.96374
trend:망원동·망리단길,2025-11-01,1.9341
trend:망원동·망리단길,2025-12-01,2.33033
trend:망원동·망리단길,2026-01-01,2.02884
trend:망원동·망리단길,2026-02-01,1.9675
trend:망원동·망리단길,2026-03-01,1.88575
trend:망원동·망리단길,2026-04-01,1.74204
trend:망원동·망리단길,2026-05-01,1.88119
trend:망원동·망리단길,2026-06-01,1.6036
trend:망원동·망리단길,2026-07-01,1.6756
