kind,key,value
blog_keyword,강북구,268
blog_keyword,미아사거리역,204
blog_keyword,매일,90
blog_keyword,브라운헤이븐,83
blog_keyword,당가라과자점,74
blog_keyword,디저트,67
blog_keyword,도봉로,66
blog_keyword,미아,61
blog_keyword,미아사거리카페,61
blog_keyword,미아사거리맛집,60
blog_keyword,오현로,58
blog_keyword,성북구,54
blog_keyword,코스모,49
blog_keyword,월계로,48
blog_keyword,주차,48
blog_keyword,분위기,47
blog_keyword,미아점,46
blog_keyword,미아동,45
blog_keyword,오늘은,44
blog_keyword,출구에서,43
blog_keyword,안녕하세요,38
blog_keyword,미아사거리역맛집,37
blog_keyword,폴드커피,31
blog_keyword,나길,30
blog_keyword,도보,28
blog_keyword,근처,28
blog_keyword,강북,27
blog_keyword,라길,27
blog_keyword,무설탕,27
blog_keyword,서울특별시,26
blog_keyword,시간,22
blog_keyword,매장,21
blog_keyword,포장,21
blog_keyword,감성,21
blog_keyword,가능,20
blog_keyword,일요일,20
blog_keyword,위치한,20
blog_keyword,감성카페,20
blog_keyword,종암로,19
blog_keyword,미아본점,18
blog_keyword,정보,18
blog_keyword,매주,18
blog_keyword,먹고,17
blog_keyword,이용,17
blog_keyword,짚신매운갈비찜,17
blog_keyword,케이크,17
blog_keyword,깃든,16
blog_keyword,미아동맛집,16
blog_keyword,미아사거리점,16
blog_keyword,가길,16
category,기타 의류 소매업,155
category,백반/한정식,123
category,미용실,117
category,여성 의류 소매업,102
category,카페,89
category,요리 주점,74
category,입시·교과학원,63
category,돼지고기 구이/찜,53
category,남성 의류 소매업,44
category,김밥/만두/분식,41
category,신발 소매업,41
category,피부 관리실,39
category,슈퍼마켓,35
category,편의점,34
category,노래방,33
category,빵/도넛,32
category,약국,31
category,치킨,31
category,치과의원,31
category,네일숍,29
category,화장품 소매업,29
category,생맥주 전문,27
category,국/탕/찌개류,25
category,한의원,25
category,핸드폰 소매업,24
category,자동차 정비소,22
category,세탁소,21
category,여관/모텔,21
category,시계/귀금속 소매업,20
category,가전제품 수리업,19
trend:미아사거리,2024-08-01,0.7423
trend:미아사거리,2024-09-01,0.98684
trend:미아사거리,2024-10-01,0.62536
trend:미아사거리,2024-11-01,0.67004
trend:미아사거리,2024-12-01,0.63404
trend:미아사거리,2025-01-01,0.61246
trend:미아사거리,2025-02-01,0.55077
trend:미아사거리,2025-03-01,0.59858
trend:미아사거리,2025-04-01,0.62294
trend:미아사거리,2025-05-01,0.57029
trend:미아사거리,2025-06-01,0.54244
trend:미아사거리,2025-07-01,0.58005
trend:미아사거리,2025-08-01,0.56886
trend:미아사거리,2025-09-01,0.52068
trend:미아사거리,2025-10-01,0.54817
trend:미아사거리,2025-11-01,0.50385
trend:미아사거리,2025-12-01,0.55623
trend:미아사거리,2026-01-01,0.49821
trend:미아사거리,2026-02-01,0.45102
trend:미아사거리,2026-03-01,0.4683
trend:미아사거리,2026-04-01,0.47323
trend:미아사거리,2026-05-01,0.46293
trend:미아사거리,2026-06-01,0.42774
trend:미아사거리,2026-07-01,0.42425
trend:미아사거리,2026-08-01,0.43589
demand,flpop_tmzon_00_06,16.93
demand,selng_tmzon_00_06,5.86
demand,flpop_tmzon_06_11,18.92
demand,selng_tmzon_06_11,8.06
demand,flpop_tmzon_11_14,15.58
demand,selng_tmzon_11_14,17.52
demand,flpop_tmzon_14_17,16.34
demand,selng_tmzon_14_17,19.94
demand,flpop_tmzon_17_21,20.85
demand,selng_tmzon_17_21,32.42
demand,flpop_tmzon_21_24,11.38
demand,selng_tmzon_21_24,16.2
demand,agrde_10,14.33
demand,agrde_20,15.39
demand,agrde_30,13.73
demand,agrde_40,15.13
demand,agrde_50,17.14
demand,agrde_60_above,24.28
demand,fml_share,55.18
demand,flpop_wkend,28.82
demand,selng_wkend,29.18
demand,frc_share,13.29
demand,opbiz_rt,1.57
demand,clsbiz_rt,2.34
demand,stor_co,782.0
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
