kind,key,value
blog_keyword,양천구,274
blog_keyword,목동,183
blog_keyword,목동역맛집,146
blog_keyword,목동로,86
blog_keyword,목동점,69
blog_keyword,에피소드,62
blog_keyword,목동맛집,60
blog_keyword,강서구,55
blog_keyword,분위기,50
blog_keyword,신정중앙로,47
blog_keyword,주차,47
blog_keyword,매일,45
blog_keyword,시간,42
blog_keyword,디저트,42
blog_keyword,논오프,41
blog_keyword,근처,39
blog_keyword,도보,38
blog_keyword,출구에서,37
blog_keyword,신정동,36
blog_keyword,안주공방,34
blog_keyword,오늘은,32
blog_keyword,가능,32
blog_keyword,목동카페,31
blog_keyword,정보,30
blog_keyword,목동역에서,30
blog_keyword,케이크,30
blog_keyword,곰달래로,29
blog_keyword,위치한,29
blog_keyword,목동역카페,29
blog_keyword,라샤린파츠,29
blog_keyword,국내산,28
blog_keyword,목동본점,27
blog_keyword,호선,27
blog_keyword,조연탄,26
blog_keyword,목동역점,26
blog_keyword,안녕하세요,24
blog_keyword,조용한,24
blog_keyword,오목교역,23
blog_keyword,매장,23
blog_keyword,감성,23
blog_keyword,밀림,23
blog_keyword,고기집,21
blog_keyword,이자카야,21
blog_keyword,가성비,21
blog_keyword,토종,21
blog_keyword,입니다,21
blog_keyword,데이트,20
blog_keyword,흑염소,19
blog_keyword,오목로,19
blog_keyword,커피별녹색잔,19
category,카페,24
category,"육류,고기",23
category,한식,22
category,치과,18
category,약국,17
category,중국요리,12
category,"제과,베이커리",10
category,분식,9
category,"호프,요리주점",9
category,일식,8
category,회,7
category,"해물,생선",7
category,"돈까스,우동",7
category,커피전문점,7
category,세븐일레븐,7
category,피부과,7
category,양식,6
category,디저트카페,6
category,"초밥,롤",5
category,일본식주점,5
category,CU,5
category,GS25,5
category,정신건강의학과,5
category,피자,4
category,술집,4
category,"떡,한과",4
category,내과,4
category,국밥,3
category,국수,3
category,칼국수,3
trend:목동,2024-08-01,2.67677
trend:목동,2024-09-01,2.52078
trend:목동,2024-10-01,2.49795
trend:목동,2024-11-01,2.29442
trend:목동,2024-12-01,3.39194
trend:목동,2025-01-01,2.63522
trend:목동,2025-02-01,2.40232
trend:목동,2025-03-01,2.55911
trend:목동,2025-04-01,2.46348
trend:목동,2025-05-01,2.26066
trend:목동,2025-06-01,2.51228
trend:목동,2025-07-01,2.4213
trend:목동,2025-08-01,2.4119
trend:목동,2025-09-01,2.23631
trend:목동,2025-10-01,2.05033
trend:목동,2025-11-01,1.89139
trend:목동,2025-12-01,2.00368
trend:목동,2026-01-01,2.16996
trend:목동,2026-02-01,1.792
trend:목동,2026-03-01,1.84868
trend:목동,2026-04-01,2.00081
trend:목동,2026-05-01,1.87107
trend:목동,2026-06-01,2.06027
trend:목동,2026-07-01,1.78743
trend:목동,2026-08-01,1.88495
demand,flpop_tmzon_00_06,22.48
demand,selng_tmzon_00_06,4.04
demand,flpop_tmzon_06_11,18.91
demand,selng_tmzon_06_11,10.93
demand,flpop_tmzon_11_14,12.73
demand,selng_tmzon_11_14,22.29
demand,flpop_tmzon_14_17,13.92
demand,selng_tmzon_14_17,22.85
demand,flpop_tmzon_17_21,19.28
demand,selng_tmzon_17_21,29.86
demand,flpop_tmzon_21_24,12.68
demand,selng_tmzon_21_24,10.04
demand,agrde_10,20.34
demand,agrde_20,13.33
demand,agrde_30,14.03
demand,agrde_40,17.06
demand,agrde_50,15.25
demand,agrde_60_above,19.99
demand,fml_share,52.88
demand,flpop_wkend,28.68
demand,selng_wkend,24.14
demand,frc_share,10.04
demand,opbiz_rt,2.55
demand,clsbiz_rt,2.69
demand,stor_co,847.0
demand,trdar_n,3.0
demand,trdar_selng_n,3.0
