kind,key,value
blog_keyword,문래,298
blog_keyword,문래창작촌,257
blog_keyword,영등포구,221
blog_keyword,도림로,109
blog_keyword,문래역,72
blog_keyword,분위기,66
blog_keyword,감성,64
blog_keyword,영등포,63
blog_keyword,문래동맛집,58
blog_keyword,데이트,58
blog_keyword,문래창작촌맛집,56
blog_keyword,오늘은,46
blog_keyword,문래점,43
blog_keyword,문래맛집,42
blog_keyword,문래동에,41
blog_keyword,문래동카페,40
blog_keyword,술집,39
blog_keyword,경인로,37
blog_keyword,매일,36
blog_keyword,안녕하세요,34
blog_keyword,위치한,34
blog_keyword,출구에서,27
blog_keyword,힙한,27
blog_keyword,골목,27
blog_keyword,베이커리,26
blog_keyword,주차,26
blog_keyword,가길,24
blog_keyword,문래창작촌카페,23
blog_keyword,디저트,22
blog_keyword,문래카페,22
blog_keyword,커피,21
blog_keyword,수제버거,19
blog_keyword,카페를,19
blog_keyword,카페가,19
blog_keyword,행운다방,19
blog_keyword,핫플,18
blog_keyword,문래양가,18
blog_keyword,호선,18
blog_keyword,신도림역,18
blog_keyword,창작촌에,18
blog_keyword,정보,17
blog_keyword,일본,17
blog_keyword,러스트,17
blog_keyword,문래역카페,17
blog_keyword,주말,16
blog_keyword,도보,16
blog_keyword,양키스그릴,16
blog_keyword,감성카페,16
blog_keyword,베르데,16
blog_keyword,놀거리,16
category,백반/한정식,279
category,카페,202
category,요리 주점,98
category,기타 의류 소매업,96
category,미용실,90
category,돼지고기 구이/찜,76
category,편의점,70
category,일식 회/초밥,66
category,입시·교과학원,63
category,김밥/만두/분식,55
category,슈퍼마켓,54
category,경양식,47
category,국/탕/찌개류,46
category,빵/도넛,43
category,헬스장,42
category,화장품 소매업,41
category,약국,40
category,중국집,40
category,기타 기술/직업 훈련학원,39
category,자동차 정비소,38
category,피자,33
category,치킨,32
category,피부 관리실,31
category,채소/과일 소매업,31
category,기타 교육지원 서비스업,27
category,핸드폰 소매업,27
category,치과의원,27
category,꽃집,27
category,음악학원,26
category,운동용품 소매업,26
trend:문래동 창작촌,2024-08-01,1.95318
trend:문래동 창작촌,2024-09-01,1.84868
trend:문래동 창작촌,2024-10-01,2.2749
trend:문래동 창작촌,2024-11-01,2.01505
trend:문래동 창작촌,2024-12-01,2.13316
trend:문래동 창작촌,2025-01-01,1.89121
trend:문래동 창작촌,2025-02-01,1.72753
trend:문래동 창작촌,2025-03-01,1.75063
trend:문래동 창작촌,2025-04-01,1.69252
trend:문래동 창작촌,2025-05-01,2.17318
trend:문래동 창작촌,2025-06-01,2.24177
trend:문래동 창작촌,2025-07-01,1.76818
trend:문래동 창작촌,2025-08-01,1.7526
trend:문래동 창작촌,2025-09-01,1.87859
trend:문래동 창작촌,2025-10-01,1.78135
trend:문래동 창작촌,2025-11-01,1.5514
trend:문래동 창작촌,2025-12-01,1.64605
trend:문래동 창작촌,2026-01-01,1.48666
trend:문래동 창작촌,2026-02-01,1.41673
trend:문래동 창작촌,2026-03-01,1.63271
trend:문래동 창작촌,2026-04-01,1.71374
trend:문래동 창작촌,2026-05-01,1.62751
trend:문래동 창작촌,2026-06-01,1.49275
trend:문래동 창작촌,2026-07-01,1.38073
trend:문래동 창작촌,2026-08-01,1.42918
demand,flpop_tmzon_00_06,14.89
demand,selng_tmzon_00_06,3.18
demand,flpop_tmzon_06_11,19.75
demand,selng_tmzon_06_11,18.68
demand,flpop_tmzon_11_14,15.87
demand,selng_tmzon_11_14,13.2
demand,flpop_tmzon_14_17,16.82
demand,selng_tmzon_14_17,32.11
demand,flpop_tmzon_17_21,21.59
demand,selng_tmzon_17_21,21.68
demand,flpop_tmzon_21_24,11.08
demand,selng_tmzon_21_24,11.16
demand,agrde_10,13.2
demand,agrde_20,14.9
demand,agrde_30,19.36
demand,agrde_40,18.89
demand,agrde_50,15.19
demand,agrde_60_above,18.46
demand,fml_share,51.51
demand,flpop_wkend,27.74
demand,selng_wkend,17.8
demand,frc_share,4.52
demand,opbiz_rt,3.01
demand,clsbiz_rt,3.03
demand,stor_co,1389.75
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
