kind,key,value
blog_keyword,호텔,79
blog_keyword,중구,68
blog_keyword,명동교자,40
blog_keyword,명동맛집,40
blog_keyword,명동역,35
blog_keyword,명동에,33
blog_keyword,미쓰족발,31
blog_keyword,명동에서,27
blog_keyword,명동점,25
blog_keyword,여행,24
blog_keyword,메리어트,24
blog_keyword,매일,23
blog_keyword,코트야드,23
blog_keyword,본점,22
blog_keyword,바이,22
blog_keyword,남대문,22
blog_keyword,칼국수,21
blog_keyword,위치한,21
blog_keyword,주차,21
blog_keyword,서울의,21
blog_keyword,외국인,20
blog_keyword,명동의,20
blog_keyword,명동성당,20
blog_keyword,르메르디앙,19
blog_keyword,있어서,19
blog_keyword,디저트,18
blog_keyword,서울명동점,18
blog_keyword,웨이팅,18
blog_keyword,숙소,17
blog_keyword,족발,17
blog_keyword,데이트,17
blog_keyword,근처,16
blog_keyword,을지로입구역,15
blog_keyword,도보,15
blog_keyword,분위기,15
blog_keyword,오늘은,15
blog_keyword,할인,15
blog_keyword,유명한,15
blog_keyword,명동을,15
blog_keyword,같은,15
blog_keyword,주말,14
blog_keyword,카페를,14
blog_keyword,명동카페,13
blog_keyword,쇼핑과,13
blog_keyword,조식,13
blog_keyword,조선,13
blog_keyword,부산,12
blog_keyword,명동가볼만한곳,12
blog_keyword,예약,12
blog_keyword,메뉴,12
category,카페,70
category,"육류,고기",52
category,한식,51
category,피부과,47
category,호텔,40
category,약국,37
category,게스트하우스,27
category,치과,24
category,커피전문점,22
category,분식,21
category,"제과,베이커리",20
category,중국요리,18
category,일반의원,14
category,세븐일레븐,13
category,"여관,모텔",13
category,"호프,요리주점",12
category,양식,11
category,갈비,10
category,닭요리,10
category,중식,9
category,디저트카페,9
category,CU,9
category,숙박,9
category,뷔페,8
category,술집,8
category,일식,8
category,음식점,7
category,"게,대게",7
category,"돈까스,우동",7
category,이탈리안,7
demand,flpop_tmzon_00_06,6.01
demand,selng_tmzon_00_06,1.35
demand,flpop_tmzon_06_11,20.84
demand,selng_tmzon_06_11,8.59
demand,flpop_tmzon_11_14,24.06
demand,selng_tmzon_11_14,30.89
demand,flpop_tmzon_14_17,23.99
demand,selng_tmzon_14_17,26.38
demand,flpop_tmzon_17_21,19.61
demand,selng_tmzon_17_21,26.77
demand,flpop_tmzon_21_24,5.49
demand,selng_tmzon_21_24,6.02
demand,agrde_10,5.41
demand,agrde_20,18.56
demand,agrde_30,22.97
demand,agrde_40,22.53
demand,agrde_50,15.97
demand,agrde_60_above,14.58
demand,fml_share,52.78
demand,flpop_wkend,20.11
demand,selng_wkend,22.25
demand,frc_share,7.99
demand,opbiz_rt,1.8
demand,clsbiz_rt,1.81
demand,stor_co,10968.0
demand,trdar_n,3.0
demand,trdar_selng_n,3.0
trend:명동,2024-07-01,3.45032
trend:명동,2024-08-01,3.44755
trend:명동,2024-09-01,3.31762
trend:명동,2024-10-01,3.71008
trend:명동,2024-11-01,4.21716
trend:명동,2024-12-01,7.07257
trend:명동,2025-01-01,3.85416
trend:명동,2025-02-01,3.48336
trend:명동,2025-03-01,3.09744
trend:명동,2025-04-01,2.53001
trend:명동,2025-05-01,3.04935
trend:명동,2025-06-01,2.63934
trend:명동,2025-07-01,3.06592
trend:명동,2025-08-01,3.71886
trend:명동,2025-09-01,2.83436
trend:명동,2025-10-01,3.61365
trend:명동,2025-11-01,3.35487
trend:명동,2025-12-01,4.97137
trend:명동,2026-01-01,2.86633
trend:명동,2026-02-01,3.15304
trend:명동,2026-03-01,2.6037
trend:명동,2026-04-01,2.19458
trend:명동,2026-05-01,2.79478
trend:명동,2026-06-01,2.16163
trend:명동,2026-07-01,2.48577
