kind,key,value
blog_keyword,시간,85
blog_keyword,서울남부터미널,64
blog_keyword,남부터미널역,46
blog_keyword,여행,35
blog_keyword,이용,31
blog_keyword,버스,29
blog_keyword,남부터미널에서,27
blog_keyword,터미널,27
blog_keyword,서울에서,23
blog_keyword,서초,23
blog_keyword,시간표,21
blog_keyword,대중교통,21
blog_keyword,버스를,21
blog_keyword,가는,21
blog_keyword,출발,20
blog_keyword,시외버스,20
blog_keyword,근처,20
blog_keyword,기준,19
blog_keyword,서울남부터미널에서,19
blog_keyword,주차,19
blog_keyword,코스,19
blog_keyword,서초구,18
blog_keyword,시간이,18
blog_keyword,도착,17
blog_keyword,태안,17
blog_keyword,교통,16
blog_keyword,예술의전당,16
blog_keyword,방법,16
blog_keyword,부산,16
blog_keyword,총정리,15
blog_keyword,예매,15
blog_keyword,고속버스,15
blog_keyword,타고,15
blog_keyword,서초동,15
blog_keyword,하동,15
blog_keyword,카페에서,14
blog_keyword,카페가,13
blog_keyword,있습니다,12
blog_keyword,하루,12
blog_keyword,가이드,12
blog_keyword,당진,11
blog_keyword,일차,11
blog_keyword,도보,11
blog_keyword,완벽,11
blog_keyword,남해,11
blog_keyword,거제,11
blog_keyword,있어서,11
blog_keyword,뚜벅이,11
blog_keyword,남부터미널점,10
blog_keyword,당일치기,10
category,카페,37
category,한식,29
category,"제과,베이커리",15
category,"육류,고기",13
category,커피전문점,11
category,치과,11
category,약국,10
category,양식,9
category,분식,9
category,중국요리,8
category,GS25,8
category,CU,7
category,치킨,6
category,회,6
category,"호프,요리주점",6
category,세븐일레븐,6
category,내과,6
category,동물병원,6
category,"찌개,전골",5
category,"해물,생선",5
category,삼겹살,5
category,"돈까스,우동",5
category,국밥,5
category,국수,4
category,디저트카페,4
category,미술관,4
category,일식,3
category,"초밥,롤",3
category,칼국수,3
category,이탈리안,3
