kind,key,value
blog_keyword,남대문,203
blog_keyword,중구,89
blog_keyword,시장,74
blog_keyword,회현역,50
blog_keyword,명동,35
blog_keyword,서울역,33
blog_keyword,남대문맛집,32
blog_keyword,남대문로,30
blog_keyword,남대문시장맛집,27
blog_keyword,있어,25
blog_keyword,쇼핑,23
blog_keyword,북창동맛집,23
blog_keyword,근처,21
blog_keyword,일요일,21
blog_keyword,연락처,21
blog_keyword,가메골손왕만두,20
blog_keyword,갈치조림,20
blog_keyword,북창닭구이,20
blog_keyword,도보,18
blog_keyword,코스,16
blog_keyword,남대문시장에,15
blog_keyword,호텔,15
blog_keyword,도보로,15
blog_keyword,일상,14
blog_keyword,덕수궁,14
blog_keyword,서울로,13
blog_keyword,먹거리,13
blog_keyword,데이트,13
blog_keyword,시간,13
blog_keyword,주차,13
blog_keyword,나들이,13
blog_keyword,카페를,12
blog_keyword,회현,12
blog_keyword,남대문본점,12
blog_keyword,남대문시장에서,12
blog_keyword,서울의,11
blog_keyword,다양한,11
blog_keyword,유명한,11
blog_keyword,회현역맛집,11
blog_keyword,신세계백화점,11
blog_keyword,점심,11
blog_keyword,피롤츠커피하우스,11
blog_keyword,회현점,11
blog_keyword,부원면옥,11
blog_keyword,평양냉면,11
blog_keyword,명동맛집,11
blog_keyword,아동복,11
blog_keyword,먼저,10
blog_keyword,그릇,10
blog_keyword,특히,10
category,한식,48
category,카페,45
category,"해물,생선",24
category,분식,22
category,약국,14
category,중국요리,13
category,치과,11
category,"육류,고기",9
category,일식,9
category,커피전문점,9
category,칼국수,7
category,순대,7
category,호텔,7
category,게스트하우스,7
category,간식,6
category,양식,6
category,"제과,베이커리",6
category,세븐일레븐,6
category,"여관,모텔",6
category,치킨,5
category,"호프,요리주점",5
category,"돈까스,우동",5
category,GS25,5
category,갈비,4
category,냉면,4
category,회,4
category,국수,4
category,닭요리,4
category,디저트카페,4
category,CU,4
demand,flpop_tmzon_00_06,7.26
demand,selng_tmzon_00_06,1.93
demand,flpop_tmzon_06_11,20.58
demand,selng_tmzon_06_11,17.33
demand,flpop_tmzon_11_14,26.03
demand,selng_tmzon_11_14,35.22
demand,flpop_tmzon_14_17,24.73
demand,selng_tmzon_14_17,29.91
demand,flpop_tmzon_17_21,16.45
demand,selng_tmzon_17_21,12.21
demand,flpop_tmzon_21_24,4.96
demand,selng_tmzon_21_24,3.41
demand,agrde_10,3.83
demand,agrde_20,11.77
demand,agrde_30,20.59
demand,agrde_40,21.98
demand,agrde_50,18.39
demand,agrde_60_above,23.44
demand,fml_share,54.98
demand,flpop_wkend,20.41
demand,selng_wkend,18.63
demand,frc_share,3.06
demand,opbiz_rt,1.5
demand,clsbiz_rt,1.37
demand,stor_co,3424.5
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
trend:남대문시장,2024-07-01,3.75011
trend:남대문시장,2024-08-01,3.70381
trend:남대문시장,2024-09-01,3.92042
trend:남대문시장,2024-10-01,4.50969
trend:남대문시장,2024-11-01,3.77796
trend:남대문시장,2024-12-01,4.04506
trend:남대문시장,2025-01-01,5.08849
trend:남대문시장,2025-02-01,4.27285
trend:남대문시장,2025-03-01,4.56611
trend:남대문시장,2025-04-01,4.12538
trend:남대문시장,2025-05-01,5.01516
trend:남대문시장,2025-06-01,3.92839
trend:남대문시장,2025-07-01,3.12018
trend:남대문시장,2025-08-01,3.72817
trend:남대문시장,2025-09-01,3.21787
trend:남대문시장,2025-10-01,5.39204
trend:남대문시장,2025-11-01,3.88308
trend:남대문시장,2025-12-01,3.84771
trend:남대문시장,2026-01-01,3.44674
trend:남대문시장,2026-02-01,4.73095
trend:남대문시장,2026-03-01,4.89822
trend:남대문시장,2026-04-01,4.63935
trend:남대문시장,2026-05-01,5.66022
trend:남대문시장,2026-06-01,4.30375
trend:남대문시장,2026-07-01,5.02411
