kind,key,value
blog_keyword,서울대맛집,166
blog_keyword,대학동,136
blog_keyword,관악구,133
blog_keyword,신림,133
blog_keyword,오삼숙이,129
blog_keyword,대학동맛집,118
blog_keyword,녹두거리맛집,115
blog_keyword,고시촌,90
blog_keyword,신림맛집,82
blog_keyword,서울대입구역,70
blog_keyword,신림동맛집,64
blog_keyword,가성비,49
blog_keyword,대학길,48
blog_keyword,근처,46
blog_keyword,신림동,43
blog_keyword,신림서울대맛집,43
blog_keyword,고시촌맛집,41
blog_keyword,출구에서,39
blog_keyword,서울대벤처타운역,37
blog_keyword,매일,34
blog_keyword,가까운,33
blog_keyword,신림대학동맛집,33
blog_keyword,가네샤,33
blog_keyword,서울대벤처타운역맛집,32
blog_keyword,창업,32
blog_keyword,도보,31
blog_keyword,샤로수길,30
blog_keyword,관악구맛집,29
blog_keyword,친절한,26
blog_keyword,거리에,25
blog_keyword,주차,21
blog_keyword,서울대입구,20
blog_keyword,서울대입구맛집,20
blog_keyword,거리,19
blog_keyword,위치한,19
blog_keyword,관악로,17
blog_keyword,월요일,17
blog_keyword,서울대학교,16
blog_keyword,유명한,15
blog_keyword,오늘은,15
blog_keyword,삼겹살맛집,15
blog_keyword,서울특별시,14
blog_keyword,있습니다,14
blog_keyword,있어,14
blog_keyword,도보로,14
blog_keyword,서울맛집,14
blog_keyword,매주,13
blog_keyword,위치해,12
blog_keyword,정보,12
blog_keyword,관악산맛집,12
category,한식,19
category,카페,12
category,"호프,요리주점",9
category,술집,7
category,분식,7
category,"육류,고기",6
category,약국,5
category,실내포장마차,4
category,"찌개,전골",4
category,"곱창,막창",4
category,CU,4
category,치과,4
category,국밥,3
category,순대,3
category,"돈까스,우동",3
category,중국요리,3
category,"제과,베이커리",3
category,삼겹살,3
category,커피에반하다,3
category,한식뷔페,2
category,"해물,생선",2
category,떡볶이,2
category,"초밥,롤",2
category,일식,2
category,일본식라면,2
category,샤브샤브,2
category,치킨,2
category,"멕시칸,브라질",2
category,한솥도시락,2
category,일본식주점,2
