kind,key,value
blog_keyword,강남구,269
blog_keyword,강남,166
blog_keyword,학동역,76
blog_keyword,논현동맛집,57
blog_keyword,논현동에,50
blog_keyword,논현역,50
blog_keyword,논현동카페,46
blog_keyword,논현,44
blog_keyword,위치한,43
blog_keyword,주차,42
blog_keyword,논현로,36
blog_keyword,강남카페,36
blog_keyword,마르케,35
blog_keyword,오늘은,34
blog_keyword,베이커리,34
blog_keyword,분위기,32
blog_keyword,논현점,29
blog_keyword,디저트,29
blog_keyword,매장,29
blog_keyword,서울특별시,28
blog_keyword,학동로,28
blog_keyword,매일,26
blog_keyword,논현동에서,26
blog_keyword,출구에서,24
blog_keyword,강남구청역,24
blog_keyword,강남대로,23
blog_keyword,안녕하세요,23
blog_keyword,언주역,23
blog_keyword,시간,21
blog_keyword,언주로,21
blog_keyword,쁠로,19
blog_keyword,카페를,19
blog_keyword,예약,18
blog_keyword,특별한,18
blog_keyword,술집,18
blog_keyword,가능,18
blog_keyword,수목금토,18
blog_keyword,강남맛집,17
blog_keyword,커피,17
blog_keyword,위치해,16
blog_keyword,점심,16
blog_keyword,다양한,16
blog_keyword,도보,15
blog_keyword,신논현,15
blog_keyword,원카츠,15
blog_keyword,신논현역,14
blog_keyword,서초구,14
blog_keyword,한우,14
blog_keyword,있어서,14
blog_keyword,맛집으로,13
category,백반/한정식,257
category,카페,194
category,미용실,176
category,성형외과 의원,131
category,피부 관리실,114
category,요리 주점,96
category,돼지고기 구이/찜,78
category,화장품 소매업,77
category,편의점,70
category,기타 의류 소매업,70
category,경양식,67
category,피부/비뇨기과 의원,64
category,일식 회/초밥,60
category,네일숍,54
category,입시·교과학원,50
category,약국,48
category,내과/소아과 의원,47
category,기타 교육지원 서비스업,44
category,헬스장,43
category,노래방,43
category,요가/필라테스 학원,42
category,치킨,40
category,김밥/만두/분식,40
category,치과의원,40
category,기타 기술/직업 훈련학원,39
category,가구 소매업,38
category,그 외 기타 상품 전문 소매업,37
category,슈퍼마켓,35
category,꽃집,35
category,여성 의류 소매업,34
trend:논현동,2024-08-01,2.88182
trend:논현동,2024-09-01,2.7287
trend:논현동,2024-10-01,2.91952
trend:논현동,2024-11-01,2.9984
trend:논현동,2024-12-01,2.98551
trend:논현동,2025-01-01,2.66566
trend:논현동,2025-02-01,2.77311
trend:논현동,2025-03-01,2.88827
trend:논현동,2025-04-01,2.67596
trend:논현동,2025-05-01,2.72252
trend:논현동,2025-06-01,2.64614
trend:논현동,2025-07-01,2.77535
trend:논현동,2025-08-01,2.58248
trend:논현동,2025-09-01,2.6594
trend:논현동,2025-10-01,2.42694
trend:논현동,2025-11-01,2.57576
trend:논현동,2025-12-01,2.76873
trend:논현동,2026-01-01,2.6277
trend:논현동,2026-02-01,2.20649
trend:논현동,2026-03-01,2.49276
trend:논현동,2026-04-01,2.40626
trend:논현동,2026-05-01,2.28421
trend:논현동,2026-06-01,2.32057
trend:논현동,2026-07-01,2.63925
trend:논현동,2026-08-01,2.24455
demand,flpop_tmzon_00_06,22.71
demand,selng_tmzon_00_06,8.91
demand,flpop_tmzon_06_11,20.48
demand,selng_tmzon_06_11,9.46
demand,flpop_tmzon_11_14,13.82
demand,selng_tmzon_11_14,22.72
demand,flpop_tmzon_14_17,13.96
demand,selng_tmzon_14_17,20.85
demand,flpop_tmzon_17_21,17.25
demand,selng_tmzon_17_21,24.83
demand,flpop_tmzon_21_24,11.78
demand,selng_tmzon_21_24,13.23
demand,agrde_10,7.63
demand,agrde_20,19.0
demand,agrde_30,24.32
demand,agrde_40,21.48
demand,agrde_50,13.48
demand,agrde_60_above,14.09
demand,fml_share,51.41
demand,flpop_wkend,25.14
demand,selng_wkend,22.49
demand,frc_share,5.87
demand,opbiz_rt,1.94
demand,clsbiz_rt,2.23
demand,stor_co,2077.5
demand,trdar_n,5.0
demand,trdar_selng_n,4.0
