kind,key,value
blog_keyword,노원구,301
blog_keyword,노원,197
blog_keyword,노원역맛집,148
blog_keyword,상계로,134
blog_keyword,노원점,126
blog_keyword,매일,74
blog_keyword,노원맛집,73
blog_keyword,노해로,71
blog_keyword,노원역점,60
blog_keyword,디저트,53
blog_keyword,롯데백화점,46
blog_keyword,노원본점,44
blog_keyword,페페,44
blog_keyword,호선,43
blog_keyword,출구에서,42
blog_keyword,주차,40
blog_keyword,동일로,37
blog_keyword,오늘은,35
blog_keyword,상계동,35
blog_keyword,가성비,34
blog_keyword,근처,33
blog_keyword,시드누아,32
blog_keyword,노원역에서,31
blog_keyword,분위기,30
blog_keyword,노원카페,30
blog_keyword,데이트,29
blog_keyword,도보,28
blog_keyword,번출구,27
blog_keyword,서울특별시,25
blog_keyword,노원역카페,25
blog_keyword,출구,24
blog_keyword,다함닭갈비,24
blog_keyword,땀땀,24
blog_keyword,커피베스코,24
blog_keyword,커피,23
blog_keyword,안녕하세요,23
blog_keyword,와와쪽갈비,22
blog_keyword,감성,22
blog_keyword,시간,22
blog_keyword,서울갈비,21
blog_keyword,회장님댁,20
blog_keyword,위치한,19
blog_keyword,가능,18
blog_keyword,봄이보리밥,18
blog_keyword,룸카페,18
blog_keyword,베이커리,18
blog_keyword,정보,17
blog_keyword,노원역에,17
blog_keyword,점심,17
blog_keyword,영업,17
category,백반/한정식,137
category,카페,124
category,미용실,121
category,입시·교과학원,99
category,기타 의류 소매업,91
category,피부 관리실,88
category,여성 의류 소매업,86
category,요리 주점,67
category,노래방,59
category,약국,59
category,돼지고기 구이/찜,56
category,화장품 소매업,52
category,치과의원,49
category,일식 회/초밥,48
category,한의원,48
category,김밥/만두/분식,47
category,편의점,45
category,네일숍,45
category,빵/도넛,43
category,남성 의류 소매업,43
category,일반 유흥 주점,34
category,치킨,34
category,피부/비뇨기과 의원,32
category,국/탕/찌개류,31
category,중국집,31
category,생맥주 전문,30
category,기숙사/고시원,29
category,슈퍼마켓,28
category,헬스장,28
category,미술학원,27
trend:노원역,2024-08-01,2.87089
trend:노원역,2024-09-01,3.13728
trend:노원역,2024-10-01,2.93554
trend:노원역,2024-11-01,2.9
trend:노원역,2024-12-01,3.07433
trend:노원역,2025-01-01,2.68509
trend:노원역,2025-02-01,2.6517
trend:노원역,2025-03-01,3.01076
trend:노원역,2025-04-01,2.8888
trend:노원역,2025-05-01,2.99178
trend:노원역,2025-06-01,2.77867
trend:노원역,2025-07-01,2.95023
trend:노원역,2025-08-01,2.85173
trend:노원역,2025-09-01,2.81045
trend:노원역,2025-10-01,2.74795
trend:노원역,2025-11-01,2.76837
trend:노원역,2025-12-01,2.99957
trend:노원역,2026-01-01,2.79666
trend:노원역,2026-02-01,2.40832
trend:노원역,2026-03-01,2.80132
trend:노원역,2026-04-01,2.70184
trend:노원역,2026-05-01,2.78663
trend:노원역,2026-06-01,2.51416
trend:노원역,2026-07-01,2.78028
trend:노원역,2026-08-01,2.5951
demand,flpop_tmzon_00_06,20.45
demand,selng_tmzon_00_06,3.65
demand,flpop_tmzon_06_11,18.85
demand,selng_tmzon_06_11,13.71
demand,flpop_tmzon_11_14,13.76
demand,selng_tmzon_11_14,25.58
demand,flpop_tmzon_14_17,14.61
demand,selng_tmzon_14_17,22.93
demand,flpop_tmzon_17_21,20.07
demand,selng_tmzon_17_21,26.9
demand,flpop_tmzon_21_24,12.26
demand,selng_tmzon_21_24,7.23
demand,agrde_10,15.74
demand,agrde_20,15.65
demand,agrde_30,13.64
demand,agrde_40,14.53
demand,agrde_50,16.38
demand,agrde_60_above,24.06
demand,fml_share,54.21
demand,flpop_wkend,29.63
demand,selng_wkend,24.6
demand,frc_share,11.79
demand,opbiz_rt,2.53
demand,clsbiz_rt,2.69
demand,stor_co,2825.75
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
