kind,key,value
blog_keyword,구로구,294
blog_keyword,오류동역,202
blog_keyword,구로,123
blog_keyword,경인로,100
blog_keyword,오류동카페,82
blog_keyword,카페에일린,73
blog_keyword,오류동맛집,59
blog_keyword,주차,45
blog_keyword,가길,44
blog_keyword,매일,42
blog_keyword,고척로,37
blog_keyword,디저트,35
blog_keyword,출구에서,32
blog_keyword,상상빵집,32
blog_keyword,오류동역카페,32
blog_keyword,위치한,31
blog_keyword,상가동,31
blog_keyword,오류,30
blog_keyword,김사부,29
blog_keyword,오류동본점,27
blog_keyword,서해안로,27
blog_keyword,오류동에,26
blog_keyword,분위기,26
blog_keyword,서울단팥빵,26
blog_keyword,근처,26
blog_keyword,오류동역맛집,25
blog_keyword,에일린,25
blog_keyword,베이커리,24
blog_keyword,구로카페,24
blog_keyword,오늘은,23
blog_keyword,오류역,22
blog_keyword,도보,22
blog_keyword,예커피,22
blog_keyword,동네,21
blog_keyword,평양면옥,20
blog_keyword,빵집,20
blog_keyword,구로맛집,19
blog_keyword,닭강정,19
blog_keyword,주차장,19
blog_keyword,매장,18
blog_keyword,평양냉면,18
blog_keyword,오류본점,18
blog_keyword,브런치,18
blog_keyword,오류로,17
blog_keyword,시간,17
blog_keyword,짬뽕,17
blog_keyword,커피,17
blog_keyword,출구,17
blog_keyword,정보,17
blog_keyword,서울특별시,16
category,미용실,76
category,요리 주점,42
category,백반/한정식,40
category,카페,38
category,슈퍼마켓,37
category,편의점,30
category,돼지고기 구이/찜,26
category,치킨,26
category,입시·교과학원,22
category,국/탕/찌개류,21
category,김밥/만두/분식,21
category,여성 의류 소매업,20
category,펜션,18
category,빵/도넛,16
category,약국,16
category,기타 의류 소매업,15
category,세탁소,15
category,네일숍,15
category,노래방,14
category,일반 유흥 주점,14
category,여관/모텔,14
category,요가/필라테스 학원,13
category,국수/칼국수,13
category,한의원,13
category,중국집,12
category,일식 회/초밥,12
category,치과의원,12
category,화장품 소매업,11
category,채소/과일 소매업,11
category,횟집,10
trend:오류동,2024-08-01,1.02803
trend:오류동,2024-09-01,0.95971
trend:오류동,2024-10-01,0.94019
trend:오류동,2024-11-01,0.81125
trend:오류동,2024-12-01,0.79531
trend:오류동,2025-01-01,0.79701
trend:오류동,2025-02-01,0.75304
trend:오류동,2025-03-01,0.84277
trend:오류동,2025-04-01,0.70836
trend:오류동,2025-05-01,0.92425
trend:오류동,2025-06-01,0.87778
trend:오류동,2025-07-01,0.79244
trend:오류동,2025-08-01,0.79379
trend:오류동,2025-09-01,0.78922
trend:오류동,2025-10-01,0.82128
trend:오류동,2025-11-01,0.68983
trend:오류동,2025-12-01,0.74642
trend:오류동,2026-01-01,0.76576
trend:오류동,2026-02-01,0.64801
trend:오류동,2026-03-01,0.74704
trend:오류동,2026-04-01,0.6678
trend:오류동,2026-05-01,0.81304
trend:오류동,2026-06-01,0.64524
trend:오류동,2026-07-01,0.64156
trend:오류동,2026-08-01,0.60825
demand,flpop_tmzon_00_06,27.25
demand,selng_tmzon_00_06,1.9
demand,flpop_tmzon_06_11,19.67
demand,selng_tmzon_06_11,12.76
demand,flpop_tmzon_11_14,10.79
demand,selng_tmzon_11_14,22.97
demand,flpop_tmzon_14_17,11.15
demand,selng_tmzon_14_17,24.18
demand,flpop_tmzon_17_21,17.21
demand,selng_tmzon_17_21,30.26
demand,flpop_tmzon_21_24,13.94
demand,selng_tmzon_21_24,7.93
demand,agrde_10,11.86
demand,agrde_20,17.33
demand,agrde_30,18.7
demand,agrde_40,15.07
demand,agrde_50,14.06
demand,agrde_60_above,22.98
demand,fml_share,53.86
demand,flpop_wkend,30.07
demand,selng_wkend,24.23
demand,frc_share,7.32
demand,opbiz_rt,1.97
demand,clsbiz_rt,1.96
demand,stor_co,1027.0
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
