kind,key,value
blog_keyword,동작구,149
blog_keyword,사당,147
blog_keyword,서초구,135
blog_keyword,방배천로,121
blog_keyword,동작대로,105
blog_keyword,사당역맛집,80
blog_keyword,사당역카페,56
blog_keyword,함평육회,55
blog_keyword,위치한,54
blog_keyword,촌닭닭한마리칼국수,51
blog_keyword,층에,49
blog_keyword,매일,44
blog_keyword,관악구,42
blog_keyword,디저트,41
blog_keyword,이수역,37
blog_keyword,자리한,36
blog_keyword,사당카페,36
blog_keyword,사당맛집,35
blog_keyword,시간,35
blog_keyword,사당점,34
blog_keyword,분위기,34
blog_keyword,공간,33
blog_keyword,근처,31
blog_keyword,출구에서,30
blog_keyword,문을,29
blog_keyword,한울갈비에서,27
blog_keyword,오쎄,27
blog_keyword,열고,26
blog_keyword,느껴지는,26
blog_keyword,도보,26
blog_keyword,카페를,26
blog_keyword,오늘은,25
blog_keyword,사당역본점의,24
blog_keyword,지하,24
blog_keyword,아늑한,24
blog_keyword,마주한,24
blog_keyword,사당로,24
blog_keyword,안길,24
blog_keyword,사당역점은,23
blog_keyword,맛집을,23
blog_keyword,주차,22
blog_keyword,을지로골뱅이,22
blog_keyword,포차,22
blog_keyword,매장,21
blog_keyword,사당역점에서,20
blog_keyword,출구,20
blog_keyword,미식의,19
blog_keyword,평일,19
blog_keyword,오우아,19
blog_keyword,한울갈비는,18
category,백반/한정식,160
category,요리 주점,105
category,카페,98
category,미용실,73
category,돼지고기 구이/찜,65
category,일식 회/초밥,56
category,입시·교과학원,44
category,편의점,43
category,피부 관리실,42
category,노래방,42
category,경양식,32
category,네일숍,30
category,빵/도넛,29
category,김밥/만두/분식,28
category,치킨,27
category,생맥주 전문,27
category,횟집,26
category,일반 유흥 주점,26
category,중국집,25
category,국/탕/찌개류,23
category,치과의원,20
category,요가/필라테스 학원,20
category,꽃집,20
category,기타 기술/직업 훈련학원,19
category,한의원,18
category,약국,18
category,음악학원,18
category,그 외 기타 교육기관,18
category,슈퍼마켓,17
category,여성 의류 소매업,16
trend:사당역,2024-08-01,5.82023
trend:사당역,2024-09-01,5.48203
trend:사당역,2024-10-01,6.03325
trend:사당역,2024-11-01,6.1459
trend:사당역,2024-12-01,7.50926
trend:사당역,2025-01-01,5.41067
trend:사당역,2025-02-01,5.40601
trend:사당역,2025-03-01,6.25782
trend:사당역,2025-04-01,5.61384
trend:사당역,2025-05-01,5.66765
trend:사당역,2025-06-01,5.31709
trend:사당역,2025-07-01,5.85291
trend:사당역,2025-08-01,5.43413
trend:사당역,2025-09-01,5.36375
trend:사당역,2025-10-01,5.21851
trend:사당역,2025-11-01,5.51624
trend:사당역,2025-12-01,6.22469
trend:사당역,2026-01-01,5.42517
trend:사당역,2026-02-01,4.73427
trend:사당역,2026-03-01,5.53352
trend:사당역,2026-04-01,5.35363
trend:사당역,2026-05-01,5.47156
trend:사당역,2026-06-01,4.9951
trend:사당역,2026-07-01,4.94594
trend:사당역,2026-08-01,4.89204
demand,flpop_tmzon_00_06,22.23
demand,selng_tmzon_00_06,3.54
demand,flpop_tmzon_06_11,18.73
demand,selng_tmzon_06_11,6.59
demand,flpop_tmzon_11_14,12.4
demand,selng_tmzon_11_14,20.38
demand,flpop_tmzon_14_17,12.88
demand,selng_tmzon_14_17,19.8
demand,flpop_tmzon_17_21,20.54
demand,selng_tmzon_17_21,34.02
demand,flpop_tmzon_21_24,13.23
demand,selng_tmzon_21_24,15.66
demand,agrde_10,12.22
demand,agrde_20,18.16
demand,agrde_30,18.28
demand,agrde_40,15.18
demand,agrde_50,13.86
demand,agrde_60_above,22.31
demand,fml_share,53.34
demand,flpop_wkend,28.48
demand,selng_wkend,32.1
demand,frc_share,11.94
demand,opbiz_rt,1.8
demand,clsbiz_rt,2.36
demand,stor_co,1215.25
demand,trdar_n,2.0
demand,trdar_selng_n,2.0
