kind,key,value
blog_keyword,종로구,197
blog_keyword,북촌,119
blog_keyword,삼청로,116
blog_keyword,삼청동카페,98
blog_keyword,안국역,83
blog_keyword,삼청점,81
blog_keyword,포스톤즈,65
blog_keyword,종로,59
blog_keyword,매일,55
blog_keyword,수제비,51
blog_keyword,삼청동맛집,49
blog_keyword,국립현대미술관,47
blog_keyword,주차,46
blog_keyword,안국,38
blog_keyword,삼청동수제비,37
blog_keyword,근처,37
blog_keyword,데이트,33
blog_keyword,삼청동데이트,32
blog_keyword,삼청동에,31
blog_keyword,분위기,31
blog_keyword,스낵서울,30
blog_keyword,경복궁,30
blog_keyword,허스밴즈,27
blog_keyword,삼청,26
blog_keyword,북촌카페,26
blog_keyword,디저트,24
blog_keyword,한식,23
blog_keyword,북촌로,22
blog_keyword,예쁜,21
blog_keyword,한옥,20
blog_keyword,미쉐린,20
blog_keyword,도트블랭킷,20
blog_keyword,안녕하세요,20
blog_keyword,골목,20
blog_keyword,지유가오카핫초메,20
blog_keyword,삼청동샤브,19
blog_keyword,도보,19
blog_keyword,고즈넉한,19
blog_keyword,카페를,19
blog_keyword,안국역카페,19
blog_keyword,위치한,18
blog_keyword,삼청동에서,18
blog_keyword,정보,18
blog_keyword,포비,18
blog_keyword,나들이,17
blog_keyword,유명한,17
blog_keyword,메뉴,17
blog_keyword,삼청동카페추천,17
blog_keyword,북촌한옥마을,16
blog_keyword,한옥카페,16
category,카페,125
category,백반/한정식,109
category,예술품 소매업,98
category,펜션,78
category,경양식,45
category,기타 의류 소매업,33
category,여성 의류 소매업,26
category,액세서리/잡화 소매업,26
category,화장품 소매업,25
category,빵/도넛,25
category,기념품점,24
category,김밥/만두/분식,21
category,슈퍼마켓,20
category,요리 주점,18
category,기타 기술/직업 훈련학원,18
category,꽃집,14
category,주방/가정용품 소매업,14
category,시계/귀금속 소매업,13
category,그 외 기타 상품 전문 소매업,13
category,국수/칼국수,12
category,여관/모텔,10
category,편의점,10
category,기타 오락관련 서비스업,9
category,가방 소매업,9
category,일식 회/초밥,9
category,피자,9
category,그 외 기타 간이 음식점,9
category,미용실,9
category,가구 소매업,8
category,그 외 기타 교육기관,8
trend:삼청동·북촌,2024-08-01,2.24947
trend:삼청동·북촌,2024-09-01,2.67372
trend:삼청동·북촌,2024-10-01,3.4685
trend:삼청동·북촌,2024-11-01,3.27634
trend:삼청동·북촌,2024-12-01,2.49983
trend:삼청동·북촌,2025-01-01,2.17453
trend:삼청동·북촌,2025-02-01,1.9907
trend:삼청동·북촌,2025-03-01,2.38128
trend:삼청동·북촌,2025-04-01,2.37161
trend:삼청동·북촌,2025-05-01,2.86606
trend:삼청동·북촌,2025-06-01,2.46267
trend:삼청동·북촌,2025-07-01,1.97458
trend:삼청동·북촌,2025-08-01,2.05526
trend:삼청동·북촌,2025-09-01,2.23112
trend:삼청동·북촌,2025-10-01,2.91755
trend:삼청동·북촌,2025-11-01,2.56009
trend:삼청동·북촌,2025-12-01,1.73084
trend:삼청동·북촌,2026-01-01,1.61005
trend:삼청동·북촌,2026-02-01,1.83247
trend:삼청동·북촌,2026-03-01,2.04675
trend:삼청동·북촌,2026-04-01,2.05346
trend:삼청동·북촌,2026-05-01,2.17256
trend:삼청동·북촌,2026-06-01,1.5745
trend:삼청동·북촌,2026-07-01,1.42497
trend:삼청동·북촌,2026-08-01,1.4881
demand,flpop_tmzon_00_06,13.21
demand,selng_tmzon_00_06,0.16
demand,flpop_tmzon_06_11,20.96
demand,selng_tmzon_06_11,5.25
demand,flpop_tmzon_11_14,20.45
demand,selng_tmzon_11_14,33.99
demand,flpop_tmzon_14_17,20.85
demand,selng_tmzon_14_17,26.72
demand,flpop_tmzon_17_21,17.09
demand,selng_tmzon_17_21,29.38
demand,flpop_tmzon_21_24,7.44
demand,selng_tmzon_21_24,4.5
demand,agrde_10,11.77
demand,agrde_20,15.98
demand,agrde_30,18.35
demand,agrde_40,19.95
demand,agrde_50,15.79
demand,agrde_60_above,18.14
demand,fml_share,53.06
demand,flpop_wkend,26.47
demand,selng_wkend,34.84
demand,frc_share,7.1
demand,opbiz_rt,2.23
demand,clsbiz_rt,2.44
demand,stor_co,987.5
demand,trdar_n,2.0
demand,trdar_selng_n,2.0
