kind,key,value
blog_keyword,중랑구,363
blog_keyword,상봉,213
blog_keyword,상봉점,126
blog_keyword,시즌모먼트,119
blog_keyword,망우로,92
blog_keyword,면목로,74
blog_keyword,매일,70
blog_keyword,주차,69
blog_keyword,봉우재로,59
blog_keyword,상봉역맛집,52
blog_keyword,출구에서,51
blog_keyword,상봉역점,45
blog_keyword,상봉동,43
blog_keyword,보드게임카페,43
blog_keyword,슈퍼냉삼,39
blog_keyword,도보,37
blog_keyword,상봉맛집,37
blog_keyword,분위기,36
blog_keyword,삼겹살,35
blog_keyword,오늘은,34
blog_keyword,레드버튼,34
blog_keyword,오봉집,33
blog_keyword,근처,31
blog_keyword,가성비,30
blog_keyword,가능,29
blog_keyword,디저트,29
blog_keyword,피슈마라홍탕,28
blog_keyword,상봉역카페,28
blog_keyword,정보,27
blog_keyword,서울특별시,27
blog_keyword,매장,27
blog_keyword,위치한,24
blog_keyword,안녕하세요,24
blog_keyword,감성,24
blog_keyword,가능한,23
blog_keyword,망우역,22
blog_keyword,상봉본점,21
blog_keyword,카페를,21
blog_keyword,대형카페,21
blog_keyword,시간,20
blog_keyword,중랑,20
blog_keyword,마라탕,19
blog_keyword,상봉카페,19
blog_keyword,중랑구맛집,18
blog_keyword,쭈꾸미,18
blog_keyword,카페가,18
blog_keyword,베이커리,18
blog_keyword,출구,17
blog_keyword,먹자골목,17
blog_keyword,근처에,17
category,한식,38
category,"호프,요리주점",35
category,카페,22
category,"육류,고기",21
category,치과,20
category,"여관,모텔",19
category,GS25,15
category,"제과,베이커리",11
category,"해물,생선",11
category,약국,11
category,치킨,10
category,"곱창,막창",10
category,닭요리,9
category,일식,9
category,술집,8
category,회,8
category,분식,8
category,일본식주점,8
category,실내포장마차,7
category,양식,7
category,삼겹살,7
category,CU,7
category,갈비,6
category,음식점,6
category,세븐일레븐,6
category,순대,5
category,피자,4
category,칼국수,4
category,냉면,4
category,참치회,4
trend:상봉,2024-08-01,1.22744
trend:상봉,2024-09-01,1.05525
trend:상봉,2024-10-01,1.02937
trend:상봉,2024-11-01,1.06277
trend:상봉,2024-12-01,1.18222
trend:상봉,2025-01-01,1.22233
trend:상봉,2025-02-01,1.11184
trend:상봉,2025-03-01,1.07871
trend:상봉,2025-04-01,0.99758
trend:상봉,2025-05-01,0.97914
trend:상봉,2025-06-01,0.8801
trend:상봉,2025-07-01,1.00206
trend:상봉,2025-08-01,1.179
trend:상봉,2025-09-01,1.03662
trend:상봉,2025-10-01,1.00376
trend:상봉,2025-11-01,0.86623
trend:상봉,2025-12-01,0.96392
trend:상봉,2026-01-01,0.90518
trend:상봉,2026-02-01,0.78528
trend:상봉,2026-03-01,0.82978
trend:상봉,2026-04-01,0.81169
trend:상봉,2026-05-01,0.84088
trend:상봉,2026-06-01,0.75716
trend:상봉,2026-07-01,0.83327
trend:상봉,2026-08-01,0.81689
demand,flpop_tmzon_00_06,26.99
demand,selng_tmzon_00_06,7.73
demand,flpop_tmzon_06_11,19.86
demand,selng_tmzon_06_11,6.72
demand,flpop_tmzon_11_14,11.12
demand,selng_tmzon_11_14,17.58
demand,flpop_tmzon_14_17,11.29
demand,selng_tmzon_14_17,16.55
demand,flpop_tmzon_17_21,17.07
demand,selng_tmzon_17_21,33.36
demand,flpop_tmzon_21_24,13.67
demand,selng_tmzon_21_24,18.06
demand,agrde_10,8.59
demand,agrde_20,18.47
demand,agrde_30,22.31
demand,agrde_40,14.55
demand,agrde_50,14.54
demand,agrde_60_above,21.54
demand,fml_share,54.14
demand,flpop_wkend,30.22
demand,selng_wkend,30.44
demand,frc_share,9.24
demand,opbiz_rt,2.98
demand,clsbiz_rt,3.53
demand,stor_co,1549.75
demand,trdar_n,4.0
demand,trdar_selng_n,4.0
