kind,key,value
blog_keyword,노원구,312
blog_keyword,노원,168
blog_keyword,밀리움,125
blog_keyword,베이커리,111
blog_keyword,한글비석로,96
blog_keyword,덕릉로,95
blog_keyword,상계동,93
blog_keyword,베이커리카페,78
blog_keyword,매일,73
blog_keyword,상계역맛집,60
blog_keyword,당케,54
blog_keyword,상계,54
blog_keyword,출구에서,47
blog_keyword,불암산,41
blog_keyword,상계역카페,41
blog_keyword,대형카페,35
blog_keyword,팔각도,32
blog_keyword,주차,30
blog_keyword,상계역점,30
blog_keyword,가능,28
blog_keyword,돈까스,28
blog_keyword,대형,28
blog_keyword,도보,27
blog_keyword,중계동,25
blog_keyword,오늘은,25
blog_keyword,서울특별시,23
blog_keyword,감자탕,22
blog_keyword,디저트,22
blog_keyword,닭갈비,21
blog_keyword,밀리움베이커리카페,21
blog_keyword,매주,21
blog_keyword,밀리움베이커리,21
blog_keyword,사이공본가,20
blog_keyword,호선,20
blog_keyword,정보,20
blog_keyword,상계동베이커리카페,20
blog_keyword,상계점,19
blog_keyword,안녕하세요,19
blog_keyword,가성비,18
blog_keyword,위치한,18
blog_keyword,근처,18
blog_keyword,정기휴무,18
blog_keyword,출구,18
blog_keyword,분위기,18
blog_keyword,유일한,18
blog_keyword,노원맛집,17
blog_keyword,가게,17
blog_keyword,상계동맛집,17
blog_keyword,휴무,17
blog_keyword,노원구베이커리카페,17
category,미용실,145
category,백반/한정식,124
category,카페,82
category,슈퍼마켓,64
category,입시·교과학원,60
category,요리 주점,60
category,돼지고기 구이/찜,57
category,김밥/만두/분식,42
category,노래방,40
category,치킨,39
category,여성 의류 소매업,36
category,기타 의류 소매업,35
category,화장품 소매업,33
category,빵/도넛,32
category,편의점,32
category,생맥주 전문,32
category,요가/필라테스 학원,31
category,국/탕/찌개류,29
category,약국,28
category,가전제품 수리업,27
category,네일숍,25
category,음악학원,23
category,일반 유흥 주점,23
category,피자,23
category,피부 관리실,22
category,자동차 정비소,22
category,그 외 기타 개인/가정용품 수리업,22
category,중국집,21
category,헬스장,20
category,반찬/식료품 소매업,18
trend:상계,2024-08-01,1.62026
trend:상계,2024-09-01,1.43724
trend:상계,2024-10-01,1.84976
trend:상계,2024-11-01,1.43929
trend:상계,2024-12-01,1.47377
trend:상계,2025-01-01,1.31931
trend:상계,2025-02-01,1.40348
trend:상계,2025-03-01,1.61954
trend:상계,2025-04-01,1.50081
trend:상계,2025-05-01,1.0959
trend:상계,2025-06-01,1.12876
trend:상계,2025-07-01,1.1207
trend:상계,2025-08-01,1.04406
trend:상계,2025-09-01,1.13315
trend:상계,2025-10-01,0.97565
trend:상계,2025-11-01,0.90321
trend:상계,2025-12-01,0.97206
trend:상계,2026-01-01,0.97574
trend:상계,2026-02-01,0.756
trend:상계,2026-03-01,0.92837
trend:상계,2026-04-01,0.83274
trend:상계,2026-05-01,0.67049
trend:상계,2026-06-01,0.70102
trend:상계,2026-07-01,0.65016
trend:상계,2026-08-01,0.60879
demand,flpop_tmzon_00_06,22.41
demand,selng_tmzon_00_06,2.59
demand,flpop_tmzon_06_11,19.51
demand,selng_tmzon_06_11,11.96
demand,flpop_tmzon_11_14,12.82
demand,selng_tmzon_11_14,25.59
demand,flpop_tmzon_14_17,13.42
demand,selng_tmzon_14_17,23.51
demand,flpop_tmzon_17_21,19.36
demand,selng_tmzon_17_21,28.79
demand,flpop_tmzon_21_24,12.48
demand,selng_tmzon_21_24,7.56
demand,agrde_10,14.65
demand,agrde_20,11.83
demand,agrde_30,10.93
demand,agrde_40,14.8
demand,agrde_50,17.68
demand,agrde_60_above,30.11
demand,fml_share,53.3
demand,flpop_wkend,30.68
demand,selng_wkend,25.84
demand,frc_share,7.19
demand,opbiz_rt,2.96
demand,clsbiz_rt,3.17
demand,stor_co,574.75
demand,trdar_n,3.0
demand,trdar_selng_n,2.0
