kind,key,value
blog_keyword,서초구,292
blog_keyword,반포대로,137
blog_keyword,서초역맛집,135
blog_keyword,서초,129
blog_keyword,이로,111
blog_keyword,교대역,108
blog_keyword,서초동,108
blog_keyword,호앙비엣,51
blog_keyword,서초대로,51
blog_keyword,디저트,49
blog_keyword,서초역카페,45
blog_keyword,분위기,43
blog_keyword,지하,42
blog_keyword,도보,41
blog_keyword,근처,40
blog_keyword,매일,39
blog_keyword,포카치아쿠치나,38
blog_keyword,서초점,37
blog_keyword,카페이로,37
blog_keyword,오늘은,36
blog_keyword,교대,35
blog_keyword,출구에서,34
blog_keyword,호룡각,33
blog_keyword,이색,32
blog_keyword,위치한,31
blog_keyword,카페드리옹,31
blog_keyword,교대사거리점,30
blog_keyword,서초정계,30
blog_keyword,서초동맛집,29
blog_keyword,서초맛집,29
blog_keyword,안녕하세요,29
blog_keyword,주차,29
blog_keyword,서초카페,27
blog_keyword,평일,27
blog_keyword,정보,26
blog_keyword,한식,26
blog_keyword,스티머스,26
blog_keyword,시간,25
blog_keyword,샌드위치,25
blog_keyword,서초역에서,24
blog_keyword,주말,24
blog_keyword,선부진갈비,24
blog_keyword,솔라뷰,24
blog_keyword,커피,23
blog_keyword,오구피제리아,23
blog_keyword,근처에,22
blog_keyword,서초교대점,21
blog_keyword,베트남,20
blog_keyword,사랑의교회점,20
blog_keyword,점심,20
category,백반/한정식,206
category,카페,159
category,펜션,87
category,일식 회/초밥,56
category,요리 주점,55
category,편의점,51
category,기타 교육지원 서비스업,45
category,미용실,44
category,돼지고기 구이/찜,43
category,김밥/만두/분식,41
category,교육컨설팅업,41
category,노래방,39
category,입시·교과학원,38
category,헬스장,34
category,한의원,33
category,중국집,33
category,경양식,32
category,그 외 기타 교육기관,32
category,치과의원,32
category,국/탕/찌개류,31
category,약국,28
category,빵/도넛,26
category,요가/필라테스 학원,24
category,피자,24
category,화장품 소매업,24
category,피부 관리실,23
category,기타 기술/직업 훈련학원,23
category,슈퍼마켓,23
category,꽃집,21
category,기숙사/고시원,20
trend:서초역,2024-08-01,1.04764
trend:서초역,2024-09-01,1.16986
trend:서초역,2024-10-01,1.15249
trend:서초역,2024-11-01,1.19986
trend:서초역,2024-12-01,1.14488
trend:서초역,2025-01-01,0.92326
trend:서초역,2025-02-01,1.09348
trend:서초역,2025-03-01,1.13369
trend:서초역,2025-04-01,1.08856
trend:서초역,2025-05-01,1.32871
trend:서초역,2025-06-01,1.21813
trend:서초역,2025-07-01,1.14398
trend:서초역,2025-08-01,0.9949
trend:서초역,2025-09-01,1.1524
trend:서초역,2025-10-01,0.98532
trend:서초역,2025-11-01,1.0659
trend:서초역,2025-12-01,1.07289
trend:서초역,2026-01-01,0.99418
trend:서초역,2026-02-01,0.88369
trend:서초역,2026-03-01,0.98872
trend:서초역,2026-04-01,0.95532
trend:서초역,2026-05-01,0.92702
trend:서초역,2026-06-01,0.90974
trend:서초역,2026-07-01,0.91306
trend:서초역,2026-08-01,0.89542
demand,flpop_tmzon_00_06,16.58
demand,selng_tmzon_00_06,2.63
demand,flpop_tmzon_06_11,21.27
demand,selng_tmzon_06_11,10.19
demand,flpop_tmzon_11_14,17.22
demand,selng_tmzon_11_14,36.59
demand,flpop_tmzon_14_17,16.66
demand,selng_tmzon_14_17,16.33
demand,flpop_tmzon_17_21,18.44
demand,selng_tmzon_17_21,25.49
demand,flpop_tmzon_21_24,9.83
demand,selng_tmzon_21_24,8.77
demand,agrde_10,10.04
demand,agrde_20,16.49
demand,agrde_30,21.02
demand,agrde_40,20.12
demand,agrde_50,16.56
demand,agrde_60_above,15.78
demand,fml_share,49.62
demand,flpop_wkend,22.62
demand,selng_wkend,14.5
demand,frc_share,5.22
demand,opbiz_rt,1.57
demand,clsbiz_rt,2.07
demand,stor_co,7710.0
demand,trdar_n,5.0
demand,trdar_selng_n,4.0
