kind,key,value
blog_keyword,서울숲,26
blog_keyword,성수,22
blog_keyword,도보,22
blog_keyword,서울에서,22
blog_keyword,성동구,21
blog_keyword,거리,21
blog_keyword,여행,20
blog_keyword,동네한바퀴,20
blog_keyword,시간,19
blog_keyword,뚝도시장,18
blog_keyword,디저트,17
blog_keyword,있어,16
blog_keyword,거리에,13
blog_keyword,주차,12
blog_keyword,이용,12
blog_keyword,다양한,12
blog_keyword,있습니다,11
blog_keyword,근처,11
blog_keyword,거리가,10
blog_keyword,매일,10
blog_keyword,서울맛집,10
blog_keyword,정보,10
blog_keyword,일상,10
blog_keyword,빙수,10
blog_keyword,감성,9
blog_keyword,가능,9
blog_keyword,내가,9
blog_keyword,서초구,9
blog_keyword,분거리,8
blog_keyword,카페가,8
blog_keyword,커피,8
blog_keyword,없이,8
blog_keyword,베이커리,8
blog_keyword,타고,8
blog_keyword,인근,8
blog_keyword,카페를,8
blog_keyword,있다,8
blog_keyword,성수점,8
blog_keyword,가는,8
blog_keyword,이색,8
blog_keyword,이렇게,8
blog_keyword,실내,8
blog_keyword,와서,7
blog_keyword,분위기,7
blog_keyword,당일치기,7
blog_keyword,동네,7
blog_keyword,성수동에서,7
blog_keyword,총정리,7
blog_keyword,예약,7
blog_keyword,부천,7
category,카페,84
category,한식,42
category,"제과,베이커리",28
category,"육류,고기",26
category,양식,24
category,일식,21
category,커피전문점,20
category,디저트카페,19
category,"호프,요리주점",14
category,GS25,14
category,분식,13
category,칵테일바,13
category,약국,13
category,치과,12
category,중국요리,11
category,일본식주점,10
category,"해물,생선",9
category,국밥,9
category,"찌개,전골",9
category,와인바,8
category,아이스크림,8
category,"돈까스,우동",7
category,이탈리안,7
category,음식점,7
category,"초밥,롤",7
category,한식뷔페,7
category,일반의원,7
category,칼국수,6
category,피자,6
category,중식,6
demand,flpop_tmzon_00_06,10.58
demand,selng_tmzon_00_06,2.08
demand,flpop_tmzon_06_11,18.52
demand,selng_tmzon_06_11,6.82
demand,flpop_tmzon_11_14,19.74
demand,selng_tmzon_11_14,30.02
demand,flpop_tmzon_14_17,21.96
demand,selng_tmzon_14_17,24.52
demand,flpop_tmzon_17_21,21.47
demand,selng_tmzon_17_21,29.93
demand,flpop_tmzon_21_24,7.73
demand,selng_tmzon_21_24,6.63
demand,agrde_10,9.91
demand,agrde_20,27.52
demand,agrde_30,24.53
demand,agrde_40,16.22
demand,agrde_50,11.55
demand,agrde_60_above,10.27
demand,fml_share,52.73
demand,flpop_wkend,23.56
demand,selng_wkend,27.44
demand,frc_share,7.11
demand,opbiz_rt,2.9
demand,clsbiz_rt,2.5
demand,stor_co,2147.0
demand,trdar_n,3.0
demand,trdar_selng_n,3.0
