kind,key,value
blog_keyword,성동구,107
blog_keyword,성수,99
blog_keyword,성수동,62
blog_keyword,동네한바퀴,37
blog_keyword,기댈빙,28
blog_keyword,빙수,25
blog_keyword,카페거리,24
blog_keyword,데이트,21
blog_keyword,매일,21
blog_keyword,서울숲맛집,20
blog_keyword,이색,20
blog_keyword,디저트,19
blog_keyword,뚝섬역,18
blog_keyword,성수역,17
blog_keyword,이색빙수,17
blog_keyword,서울특별시,17
blog_keyword,주차,16
blog_keyword,메뉴,15
blog_keyword,정보,15
blog_keyword,서울숲역,15
blog_keyword,도보,14
blog_keyword,성수점,14
blog_keyword,성수동맛집,13
blog_keyword,하몽멜론빙수,13
blog_keyword,성수맛집,13
blog_keyword,먹고,12
blog_keyword,매장,12
blog_keyword,지하,12
blog_keyword,말차푸딩빙수,11
blog_keyword,성수핫플,10
blog_keyword,동네,10
blog_keyword,성동,10
blog_keyword,성수이로,10
blog_keyword,분위기,10
blog_keyword,출구에서,9
blog_keyword,서울맛집,9
blog_keyword,뚝도시장,9
blog_keyword,뚝섬,9
blog_keyword,코스로,8
blog_keyword,주말,8
blog_keyword,아틀리에,8
blog_keyword,이용,8
blog_keyword,광진구,8
blog_keyword,해피베네핏,8
blog_keyword,훠궈,8
blog_keyword,오늘은,8
blog_keyword,서울숲에서,8
blog_keyword,팝업,8
blog_keyword,호선,7
blog_keyword,뚝섬역맛집,7
category,카페,76
category,한식,32
category,양식,29
category,"제과,베이커리",22
category,일식,22
category,디저트카페,19
category,"호프,요리주점",15
category,커피전문점,12
category,분식,11
category,"육류,고기",11
category,와인바,11
category,전시관,10
category,술집,9
category,중국요리,9
category,치킨,8
category,칵테일바,8
category,일본식주점,8
category,GS25,8
category,햄버거,7
category,"돈까스,우동",7
category,이탈리안,7
category,"멕시칸,브라질",7
category,피자,5
category,아이스크림,5
category,약국,5
category,"초밥,롤",4
category,샌드위치,4
category,일식집,4
category,음식점,4
category,샤브샤브,4
