kind,key,value
blog_keyword,서울대입구,112
blog_keyword,서울대입구역,109
blog_keyword,샤로수길맛집,96
blog_keyword,관악구,91
blog_keyword,서울대입구역맛집,60
blog_keyword,서울대입구맛집,57
blog_keyword,샤로수길카페,44
blog_keyword,남부순환로,37
blog_keyword,샤로수길데이트,37
blog_keyword,샤로수길점,33
blog_keyword,서울대부추삼겹살,32
blog_keyword,디저트,29
blog_keyword,봉천동,26
blog_keyword,관악로,24
blog_keyword,서울대입구점,24
blog_keyword,오늘은,22
blog_keyword,샤로수길에,21
blog_keyword,도보,21
blog_keyword,분위기,21
blog_keyword,서울대입구카페,21
blog_keyword,샤로수길에서,20
blog_keyword,데이트,20
blog_keyword,서울대입구고기집,19
blog_keyword,샤로수길고기집,19
blog_keyword,관악구맛집,18
blog_keyword,서울대입구역고기집,18
blog_keyword,서울대입구역삼겹살,18
blog_keyword,샤로수길삼겹살,17
blog_keyword,매일,17
blog_keyword,먹고,16
blog_keyword,위치한,16
blog_keyword,고기,15
blog_keyword,서울대입구삼겹살,15
blog_keyword,샤로수길술집,15
blog_keyword,감성,15
blog_keyword,서울대입구역카페,15
blog_keyword,휴대폰성지,15
blog_keyword,관악산,14
blog_keyword,샤로수길디저트,14
blog_keyword,저녁,13
blog_keyword,낙성대,13
blog_keyword,가성비,13
blog_keyword,낙성대역,13
blog_keyword,서울대입구데이트,13
blog_keyword,있어서,13
blog_keyword,매장,12
blog_keyword,봉천동맛집,12
blog_keyword,다양한,12
blog_keyword,있어요,12
blog_keyword,카페가,12
category,카페,46
category,한식,37
category,"육류,고기",36
category,"호프,요리주점",35
category,일식,32
category,치과,22
category,약국,20
category,디저트카페,19
category,"제과,베이커리",18
category,일본식주점,17
category,양식,16
category,커피전문점,15
category,실내포장마차,13
category,분식,13
category,칵테일바,13
category,이탈리안,11
category,닭요리,11
category,술집,11
category,중국요리,10
category,"돈까스,우동",10
category,회,10
category,피부과,10
category,피자,9
category,중식,9
category,"여관,모텔",9
category,"해물,생선",8
category,와인바,8
category,"곱창,막창",8
category,세븐일레븐,8
category,GS25,8
