kind,key,value
blog_keyword,송파구,169
blog_keyword,잠실,154
blog_keyword,백제고분로,95
blog_keyword,송리단길맛집,49
blog_keyword,석촌호수,45
blog_keyword,바앤복하우스,34
blog_keyword,분위기,33
blog_keyword,데이트,32
blog_keyword,송파,31
blog_keyword,송파나루역,31
blog_keyword,디저트,30
blog_keyword,매일,28
blog_keyword,잠실맛집,28
blog_keyword,주차,27
blog_keyword,송리단길점,27
blog_keyword,석촌역,26
blog_keyword,잠실점,26
blog_keyword,정보,23
blog_keyword,매장,23
blog_keyword,송리단길카페,21
blog_keyword,세세커피,21
blog_keyword,송리단길데이트,20
blog_keyword,오금로,19
blog_keyword,도보,19
blog_keyword,송리단길에서,19
blog_keyword,송리단길에,18
blog_keyword,잠실데이트,17
blog_keyword,레이어드펌,17
blog_keyword,송파맛집,16
blog_keyword,석촌호수맛집,16
blog_keyword,먹고,15
blog_keyword,밀빛,15
blog_keyword,출구에서,15
blog_keyword,서울맛집,15
blog_keyword,방이동,14
blog_keyword,시간,14
blog_keyword,옥소반,14
blog_keyword,카페를,13
blog_keyword,석촌호수데이트,12
blog_keyword,점심,12
blog_keyword,근처,11
blog_keyword,감성,11
blog_keyword,송파점,10
blog_keyword,지하,10
blog_keyword,가능,10
blog_keyword,있어,10
blog_keyword,본점,10
blog_keyword,잠실카페,10
blog_keyword,석촌호수카페,10
blog_keyword,있어서,10
category,카페,54
category,양식,22
category,디저트카페,21
category,"육류,고기",19
category,"제과,베이커리",16
category,한식,16
category,일식,13
category,"호프,요리주점",13
category,약국,11
category,"해물,생선",10
category,일본식주점,8
category,커피전문점,8
category,칵테일바,7
category,GS25,7
category,치과,7
category,삼겹살,6
category,중국요리,6
category,피자,5
category,술집,5
category,사주카페,5
category,CU,5
category,이탈리안,4
category,음식점,4
category,"곱창,막창",4
category,분식,4
category,"돈까스,우동",4
category,닭요리,4
category,회,4
category,와인바,4
category,메가MGC커피,4
demand,flpop_tmzon_00_06,24.71
demand,selng_tmzon_00_06,3.01
demand,flpop_tmzon_06_11,19.36
demand,selng_tmzon_06_11,7.48
demand,flpop_tmzon_11_14,12.21
demand,selng_tmzon_11_14,23.14
demand,flpop_tmzon_14_17,12.42
demand,selng_tmzon_14_17,20.88
demand,flpop_tmzon_17_21,18.34
demand,selng_tmzon_17_21,33.17
demand,flpop_tmzon_21_24,12.96
demand,selng_tmzon_21_24,12.33
demand,agrde_10,11.55
demand,agrde_20,18.22
demand,agrde_30,23.25
demand,agrde_40,16.79
demand,agrde_50,12.71
demand,agrde_60_above,17.48
demand,fml_share,54.36
demand,flpop_wkend,29.67
demand,selng_wkend,26.2
demand,frc_share,7.65
demand,opbiz_rt,2.37
demand,clsbiz_rt,2.74
demand,stor_co,2211.0
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
