kind,key,value
blog_keyword,숙대입구역,168
blog_keyword,용산구,165
blog_keyword,용산,106
blog_keyword,한강대로,79
blog_keyword,남영동,52
blog_keyword,삼봉포차,51
blog_keyword,숙대입구맛집,45
blog_keyword,남영역,40
blog_keyword,숙대,37
blog_keyword,분위기,36
blog_keyword,감성,33
blog_keyword,청파로,33
blog_keyword,일요일,30
blog_keyword,숙대입구역맛집,30
blog_keyword,후암동,29
blog_keyword,매일,28
blog_keyword,도보,28
blog_keyword,서울역,28
blog_keyword,근처,27
blog_keyword,해방촌,27
blog_keyword,남영역맛집,27
blog_keyword,출구에서,25
blog_keyword,호선,25
blog_keyword,남영동맛집,25
blog_keyword,숙대입구술집,24
blog_keyword,데이트,23
blog_keyword,남영돈,23
blog_keyword,정기휴무,22
blog_keyword,오늘은,21
blog_keyword,위치한,21
blog_keyword,용산맛집,21
blog_keyword,남영동술집,20
blog_keyword,숙대입구카페,19
blog_keyword,가득한,18
blog_keyword,남영,18
blog_keyword,카페를,18
blog_keyword,용산카페,16
blog_keyword,시간,16
blog_keyword,주차,16
blog_keyword,매장,16
blog_keyword,샹츠마라,16
blog_keyword,숙명여대,16
blog_keyword,안녕하세요,16
blog_keyword,숙대카페,15
blog_keyword,출구,15
blog_keyword,숙대입구역에서,15
blog_keyword,점심,14
blog_keyword,솔직후기,14
blog_keyword,정보,14
blog_keyword,숙대입구역카페,14
category,카페,51
category,한식,37
category,"육류,고기",28
category,"호프,요리주점",19
category,분식,17
category,디저트카페,15
category,일식,13
category,치과,12
category,약국,12
category,양식,11
category,"제과,베이커리",10
category,게스트하우스,10
category,술집,9
category,"해물,생선",9
category,중국요리,9
category,커피전문점,9
category,GS25,9
category,갈비,8
category,이탈리안,7
category,피자,7
category,국밥,6
category,회,6
category,"찌개,전골",6
category,"여관,모텔",6
category,"돈까스,우동",5
category,닭요리,5
category,칵테일바,5
category,피부과,5
category,순대,4
category,실내포장마차,4
