kind,key,value
blog_keyword,성북구,313
blog_keyword,동소문로,171
blog_keyword,성신여대입구역,101
blog_keyword,멘야하나비,75
blog_keyword,층에,69
blog_keyword,성신여대점,59
blog_keyword,매일,57
blog_keyword,데이트,54
blog_keyword,디저트,54
blog_keyword,성신여대카페,53
blog_keyword,성신여대맛집,49
blog_keyword,보문로,48
blog_keyword,마제소바의,45
blog_keyword,위치한,40
blog_keyword,성신여대점은,38
blog_keyword,시간,37
blog_keyword,주차,33
blog_keyword,분위기,32
blog_keyword,맛집을,31
blog_keyword,안녕하세요,30
blog_keyword,무등도원,29
blog_keyword,스스쿠,28
blog_keyword,출구에서,27
blog_keyword,보문역,27
blog_keyword,성신여대역,26
blog_keyword,근처,26
blog_keyword,감성,25
blog_keyword,오늘은,25
blog_keyword,자리한,23
blog_keyword,이곳은,23
blog_keyword,시와,23
blog_keyword,성북,22
blog_keyword,한옥,22
blog_keyword,가능,22
blog_keyword,러키티,22
blog_keyword,찾는,21
blog_keyword,미식의,21
blog_keyword,꽁빠뉴,21
blog_keyword,도보,20
blog_keyword,먹고,20
blog_keyword,동선동,18
blog_keyword,가성비,18
blog_keyword,마주한,18
blog_keyword,밀크티,18
blog_keyword,브런치,17
blog_keyword,아뜰리에,17
blog_keyword,있어서,17
blog_keyword,마주하는,16
blog_keyword,맛집으로,16
blog_keyword,성신여대데이트,16
category,카페,142
category,백반/한정식,124
category,미용실,114
category,입시·교과학원,86
category,요리 주점,73
category,피부 관리실,69
category,돼지고기 구이/찜,49
category,기타 의류 소매업,48
category,김밥/만두/분식,44
category,네일숍,40
category,편의점,38
category,빵/도넛,32
category,슈퍼마켓,31
category,일식 회/초밥,31
category,치킨,28
category,여성 의류 소매업,28
category,요가/필라테스 학원,27
category,노래방,25
category,헬스장,24
category,기숙사/고시원,23
category,화장품 소매업,22
category,경양식,22
category,생맥주 전문,22
category,약국,21
category,중국집,20
category,꽃집,20
category,치과의원,19
category,음악학원,17
category,독서실/스터디 카페,17
category,피자,16
trend:성신여대·돈암,2024-08-01,8.54061
trend:성신여대·돈암,2024-09-01,15.62097
trend:성신여대·돈암,2024-10-01,7.42545
trend:성신여대·돈암,2024-11-01,18.75522
trend:성신여대·돈암,2024-12-01,17.68376
trend:성신여대·돈암,2025-01-01,8.3207
trend:성신여대·돈암,2025-02-01,13.16349
trend:성신여대·돈암,2025-03-01,6.80323
trend:성신여대·돈암,2025-04-01,4.77698
trend:성신여대·돈암,2025-05-01,5.18207
trend:성신여대·돈암,2025-06-01,4.9557
trend:성신여대·돈암,2025-07-01,6.33689
trend:성신여대·돈암,2025-08-01,7.16283
trend:성신여대·돈암,2025-09-01,13.43042
trend:성신여대·돈암,2025-10-01,6.01123
trend:성신여대·돈암,2025-11-01,9.62711
trend:성신여대·돈암,2025-12-01,13.89048
trend:성신여대·돈암,2026-01-01,7.89761
trend:성신여대·돈암,2026-02-01,8.89412
trend:성신여대·돈암,2026-03-01,5.76678
trend:성신여대·돈암,2026-04-01,4.88058
trend:성신여대·돈암,2026-05-01,4.39087
trend:성신여대·돈암,2026-06-01,4.34422
trend:성신여대·돈암,2026-07-01,5.03181
trend:성신여대·돈암,2026-08-01,6.67223
demand,flpop_tmzon_00_06,22.0
demand,selng_tmzon_00_06,6.25
demand,flpop_tmzon_06_11,19.41
demand,selng_tmzon_06_11,6.83
demand,flpop_tmzon_11_14,12.79
demand,selng_tmzon_11_14,20.35
demand,flpop_tmzon_14_17,13.53
demand,selng_tmzon_14_17,19.05
demand,flpop_tmzon_17_21,19.62
demand,selng_tmzon_17_21,32.77
demand,flpop_tmzon_21_24,12.66
demand,selng_tmzon_21_24,14.75
demand,agrde_10,15.91
demand,agrde_20,29.46
demand,agrde_30,14.55
demand,agrde_40,12.6
demand,agrde_50,12.29
demand,agrde_60_above,15.18
demand,fml_share,59.48
demand,flpop_wkend,28.89
demand,selng_wkend,27.51
demand,frc_share,11.35
demand,opbiz_rt,2.52
demand,clsbiz_rt,2.97
demand,stor_co,1757.0
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
