kind,key,value
blog_keyword,강북구,306
blog_keyword,서울깍쟁이순대국,249
blog_keyword,수유역맛집,224
blog_keyword,한천로,151
blog_keyword,층에,119
blog_keyword,수유,106
blog_keyword,수유점에서,87
blog_keyword,위치한,71
blog_keyword,자리한,67
blog_keyword,수유점,62
blog_keyword,수유점은,55
blog_keyword,진한,54
blog_keyword,찾은,53
blog_keyword,깊은,52
blog_keyword,문을,50
blog_keyword,열고,47
blog_keyword,국물의,44
blog_keyword,매장,40
blog_keyword,찾고,39
blog_keyword,수유역맛집을,37
blog_keyword,수유점을,37
blog_keyword,도봉로,35
blog_keyword,든든한,33
blog_keyword,분위기,33
blog_keyword,뚝배기,32
blog_keyword,정성카츠,32
blog_keyword,수유역카페,32
blog_keyword,육수,31
blog_keyword,수유맛집,31
blog_keyword,노해로,31
blog_keyword,마주한,30
blog_keyword,근처,30
blog_keyword,구수한,29
blog_keyword,시간,28
blog_keyword,주차,27
blog_keyword,수유점에,26
blog_keyword,향이,25
blog_keyword,출구에서,25
blog_keyword,수유역에서,24
blog_keyword,감성,24
blog_keyword,수유카페,23
blog_keyword,국물,22
blog_keyword,계신다면,22
blog_keyword,그런,22
blog_keyword,정갈한,21
blog_keyword,따뜻한,21
blog_keyword,뜨끈한,21
blog_keyword,강북,21
blog_keyword,매일,20
blog_keyword,같아요,20
category,"호프,요리주점",54
category,한식,47
category,"육류,고기",42
category,카페,40
category,"여관,모텔",32
category,약국,30
category,치과,29
category,"곱창,막창",25
category,술집,21
category,"해물,생선",20
category,일본식주점,19
category,갈비,18
category,실내포장마차,18
category,분식,17
category,닭요리,17
category,GS25,15
category,국밥,14
category,치킨,14
category,세븐일레븐,14
category,삼겹살,13
category,"제과,베이커리",12
category,CU,12
category,중국요리,11
category,"족발,보쌈",11
category,칵테일바,10
category,"찌개,전골",10
category,양식,10
category,칼국수,9
category,참치회,9
category,피부과,9
trend:수유,2024-08-01,0.93007
trend:수유,2024-09-01,0.99463
trend:수유,2024-10-01,0.86667
trend:수유,2024-11-01,0.82808
trend:수유,2024-12-01,0.82387
trend:수유,2025-01-01,0.80578
trend:수유,2025-02-01,0.75412
trend:수유,2025-03-01,0.81447
trend:수유,2025-04-01,0.74964
trend:수유,2025-05-01,0.74606
trend:수유,2025-06-01,0.76889
trend:수유,2025-07-01,0.90956
trend:수유,2025-08-01,0.76173
trend:수유,2025-09-01,0.75376
trend:수유,2025-10-01,0.82781
trend:수유,2025-11-01,0.64694
trend:수유,2025-12-01,0.69968
trend:수유,2026-01-01,0.76057
trend:수유,2026-02-01,0.97171
trend:수유,2026-03-01,0.66753
trend:수유,2026-04-01,0.62258
trend:수유,2026-05-01,0.63628
trend:수유,2026-06-01,0.58166
trend:수유,2026-07-01,0.69323
trend:수유,2026-08-01,0.63512
demand,flpop_tmzon_00_06,24.03
demand,selng_tmzon_00_06,7.19
demand,flpop_tmzon_06_11,19.51
demand,selng_tmzon_06_11,7.81
demand,flpop_tmzon_11_14,12.07
demand,selng_tmzon_11_14,21.35
demand,flpop_tmzon_14_17,12.57
demand,selng_tmzon_14_17,17.94
demand,flpop_tmzon_17_21,18.41
demand,selng_tmzon_17_21,32.29
demand,flpop_tmzon_21_24,13.42
demand,selng_tmzon_21_24,13.42
demand,agrde_10,8.8
demand,agrde_20,23.35
demand,agrde_30,15.47
demand,agrde_40,15.11
demand,agrde_50,15.61
demand,agrde_60_above,21.67
demand,fml_share,54.07
demand,flpop_wkend,29.28
demand,selng_wkend,27.28
demand,frc_share,11.37
demand,opbiz_rt,2.64
demand,clsbiz_rt,2.84
demand,stor_co,2269.75
demand,trdar_n,5.0
demand,trdar_selng_n,5.0
