kind,key,value
blog_keyword,강남구,318
blog_keyword,강남,119
blog_keyword,강남역,95
blog_keyword,역삼역,91
blog_keyword,역삼,90
blog_keyword,역삼동카페,80
blog_keyword,다슬음,57
blog_keyword,강남대로,56
blog_keyword,역삼동맛집,54
blog_keyword,역삼점,53
blog_keyword,셀렉티드닉스,47
blog_keyword,테헤란로,46
blog_keyword,역삼빌딩,46
blog_keyword,시간,41
blog_keyword,우아한과일,38
blog_keyword,주차,36
blog_keyword,역삼동에,36
blog_keyword,강남역대형카페,32
blog_keyword,디저트,31
blog_keyword,위치한,30
blog_keyword,이곳은,29
blog_keyword,진대감,29
blog_keyword,민성옥,29
blog_keyword,정갈한,27
blog_keyword,커피,27
blog_keyword,강남역삼점,26
blog_keyword,강남역예쁜카페,24
blog_keyword,서울평양냉면,24
blog_keyword,강남역카페,24
blog_keyword,오늘은,23
blog_keyword,역삼디저트,22
blog_keyword,역삼로,22
blog_keyword,과일,22
blog_keyword,마주한,22
blog_keyword,언주로,22
blog_keyword,안녕하세요,22
blog_keyword,강남역루프탑,21
blog_keyword,특히,21
blog_keyword,서울특별시,21
blog_keyword,매일,21
blog_keyword,가능,21
blog_keyword,빠나띠에,21
blog_keyword,출구에서,20
blog_keyword,도보,20
blog_keyword,베이커리,20
blog_keyword,도심,19
blog_keyword,평일,19
blog_keyword,차분한,19
blog_keyword,매장,18
blog_keyword,맛집에서,18
category,한식,67
category,카페,65
category,"육류,고기",38
category,치과,23
category,약국,22
category,GS25,21
category,양식,20
category,커피전문점,19
category,호텔,17
category,"여관,모텔",17
category,술집,15
category,"호프,요리주점",14
category,샐러드,13
category,"찌개,전골",13
category,"해물,생선",13
category,중국요리,13
category,세븐일레븐,12
category,분식,11
category,"제과,베이커리",11
category,회,10
category,중식,9
category,일본식주점,9
category,샌드위치,9
category,일식,8
category,CU,8
category,음식점,7
category,칵테일바,7
category,와인바,7
category,성형외과,7
category,순대,6
trend:역삼·테헤란로,2024-08-01,1.03134
trend:역삼·테헤란로,2024-09-01,0.92228
trend:역삼·테헤란로,2024-10-01,0.93723
trend:역삼·테헤란로,2024-11-01,2.15536
trend:역삼·테헤란로,2024-12-01,0.94234
trend:역삼·테헤란로,2025-01-01,0.89255
trend:역삼·테헤란로,2025-02-01,0.87294
trend:역삼·테헤란로,2025-03-01,1.01146
trend:역삼·테헤란로,2025-04-01,0.89371
trend:역삼·테헤란로,2025-05-01,0.91717
trend:역삼·테헤란로,2025-06-01,1.54952
trend:역삼·테헤란로,2025-07-01,0.77489
trend:역삼·테헤란로,2025-08-01,0.75475
trend:역삼·테헤란로,2025-09-01,0.68445
trend:역삼·테헤란로,2025-10-01,0.61613
trend:역삼·테헤란로,2025-11-01,0.63897
trend:역삼·테헤란로,2025-12-01,0.73218
trend:역삼·테헤란로,2026-01-01,0.81331
trend:역삼·테헤란로,2026-02-01,0.70245
trend:역삼·테헤란로,2026-03-01,2.21939
trend:역삼·테헤란로,2026-04-01,0.84491
trend:역삼·테헤란로,2026-05-01,0.62948
trend:역삼·테헤란로,2026-06-01,0.63485
trend:역삼·테헤란로,2026-07-01,0.58041
trend:역삼·테헤란로,2026-08-01,0.60423
demand,flpop_tmzon_00_06,13.04
demand,selng_tmzon_00_06,3.58
demand,flpop_tmzon_06_11,21.62
demand,selng_tmzon_06_11,8.61
demand,flpop_tmzon_11_14,19.67
demand,selng_tmzon_11_14,35.17
demand,flpop_tmzon_14_17,19.2
demand,selng_tmzon_14_17,15.9
demand,flpop_tmzon_17_21,18.15
demand,selng_tmzon_17_21,26.23
demand,flpop_tmzon_21_24,8.32
demand,selng_tmzon_21_24,10.51
demand,agrde_10,3.69
demand,agrde_20,21.54
demand,agrde_30,29.86
demand,agrde_40,22.58
demand,agrde_50,12.72
demand,agrde_60_above,9.62
demand,fml_share,46.46
demand,flpop_wkend,17.76
demand,selng_wkend,13.56
demand,frc_share,8.52
demand,opbiz_rt,1.78
demand,clsbiz_rt,2.09
demand,stor_co,3731.75
demand,trdar_n,3.0
demand,trdar_selng_n,3.0
