kind,key,value
blog_keyword,영등포구,331
blog_keyword,당산로,171
blog_keyword,영등포,119
blog_keyword,영등포구청,96
blog_keyword,영등포점,64
blog_keyword,베이커스,56
blog_keyword,바이웨이,54
blog_keyword,당산동,49
blog_keyword,영등포구청점,48
blog_keyword,주차,47
blog_keyword,영등포구청역맛집,42
blog_keyword,출구에서,41
blog_keyword,근처,40
blog_keyword,매일,40
blog_keyword,양산로,38
blog_keyword,당산,36
blog_keyword,영등포구청역카페,35
blog_keyword,서울특별시,34
blog_keyword,버킷리스트,34
blog_keyword,국회대로,32
blog_keyword,도보,31
blog_keyword,평일,30
blog_keyword,베이커리,30
blog_keyword,흘러,29
blog_keyword,영등포카페,28
blog_keyword,위치한,28
blog_keyword,카페버킷리스트,27
blog_keyword,우뚝,25
blog_keyword,일요일,24
blog_keyword,출구,23
blog_keyword,영등포로,23
blog_keyword,커피,23
blog_keyword,감성,22
blog_keyword,지하,22
blog_keyword,시간,21
blog_keyword,오늘은,21
blog_keyword,영등포구청카페,21
blog_keyword,주말,20
blog_keyword,분위기,20
blog_keyword,정보,20
blog_keyword,디저트,20
blog_keyword,영등포구청맛집,20
blog_keyword,가능,19
blog_keyword,당산역,19
blog_keyword,안녕하세요,19
blog_keyword,노버든,18
blog_keyword,코토모커피,18
blog_keyword,고기집,18
blog_keyword,호선,18
blog_keyword,매주,17
category,백반/한정식,186
category,카페,185
category,미용실,109
category,요리 주점,83
category,편의점,59
category,김밥/만두/분식,57
category,돼지고기 구이/찜,56
category,자동차 정비소,45
category,입시·교과학원,45
category,국/탕/찌개류,44
category,일식 회/초밥,43
category,슈퍼마켓,42
category,피부 관리실,42
category,빵/도넛,40
category,기타 교육지원 서비스업,36
category,치킨,33
category,요가/필라테스 학원,32
category,노래방,31
category,헬스장,30
category,화장품 소매업,30
category,네일숍,30
category,음악학원,29
category,펜션,29
category,피자,28
category,국수/칼국수,28
category,치과의원,27
category,컴퓨터/노트북/프린터 수리업,27
category,중국집,27
category,교육컨설팅업,26
category,약국,25
trend:영등포구청역,2024-08-01,1.48183
trend:영등포구청역,2024-09-01,1.37411
trend:영등포구청역,2024-10-01,1.61918
trend:영등포구청역,2024-11-01,1.61041
trend:영등포구청역,2024-12-01,1.58964
trend:영등포구청역,2025-01-01,1.3005
trend:영등포구청역,2025-02-01,1.37706
trend:영등포구청역,2025-03-01,1.52337
trend:영등포구청역,2025-04-01,1.38879
trend:영등포구청역,2025-05-01,1.36963
trend:영등포구청역,2025-06-01,1.27552
trend:영등포구청역,2025-07-01,1.32871
trend:영등포구청역,2025-08-01,1.29451
trend:영등포구청역,2025-09-01,1.32764
trend:영등포구청역,2025-10-01,1.23424
trend:영등포구청역,2025-11-01,1.34071
trend:영등포구청역,2025-12-01,1.47851
trend:영등포구청역,2026-01-01,1.41512
trend:영등포구청역,2026-02-01,1.1524
trend:영등포구청역,2026-03-01,1.35351
trend:영등포구청역,2026-04-01,1.29862
trend:영등포구청역,2026-05-01,1.25976
trend:영등포구청역,2026-06-01,1.18195
trend:영등포구청역,2026-07-01,1.19314
trend:영등포구청역,2026-08-01,1.2175
demand,flpop_tmzon_00_06,20.41
demand,selng_tmzon_00_06,3.21
demand,flpop_tmzon_06_11,20.68
demand,selng_tmzon_06_11,7.7
demand,flpop_tmzon_11_14,14.87
demand,selng_tmzon_11_14,33.14
demand,flpop_tmzon_14_17,14.71
demand,selng_tmzon_14_17,13.86
demand,flpop_tmzon_17_21,18.0
demand,selng_tmzon_17_21,29.79
demand,flpop_tmzon_21_24,11.32
demand,selng_tmzon_21_24,12.3
demand,agrde_10,9.93
demand,agrde_20,17.57
demand,agrde_30,23.51
demand,agrde_40,17.8
demand,agrde_50,14.06
demand,agrde_60_above,17.13
demand,fml_share,52.38
demand,flpop_wkend,26.49
demand,selng_wkend,19.74
demand,frc_share,8.26
demand,opbiz_rt,2.33
demand,clsbiz_rt,2.33
demand,stor_co,2309.75
demand,trdar_n,9.0
demand,trdar_selng_n,8.0
