kind,key,value
blog_keyword,여의도맛집,137
blog_keyword,영등포구,80
blog_keyword,여의도점,53
blog_keyword,더현대,50
blog_keyword,지하,37
blog_keyword,더현대서울,37
blog_keyword,여의도데이트,27
blog_keyword,데이트,24
blog_keyword,국제금융로,23
blog_keyword,한강,21
blog_keyword,여의도회식,21
blog_keyword,여의도점심,21
blog_keyword,주차,20
blog_keyword,여의도역,20
blog_keyword,근처,19
blog_keyword,빌딩,19
blog_keyword,더현대서울맛집,19
blog_keyword,퐁피두센터,18
blog_keyword,점심,18
blog_keyword,시간,18
blog_keyword,서울맛집,17
blog_keyword,여의도에서,16
blog_keyword,프리미엄,16
blog_keyword,더현대맛집,16
blog_keyword,정보,15
blog_keyword,국회대로,15
blog_keyword,가능,15
blog_keyword,국회의사당맛집,15
blog_keyword,떡볶이,15
blog_keyword,먹고,14
blog_keyword,콩국수,14
blog_keyword,있어,14
blog_keyword,서여의도맛집,14
blog_keyword,의사당대로,14
blog_keyword,여의도한식,13
blog_keyword,가성비,13
blog_keyword,전시,12
blog_keyword,서울에서,12
blog_keyword,몰점,12
blog_keyword,직장인,12
blog_keyword,현선이네,12
blog_keyword,메뉴,11
blog_keyword,진주집,11
blog_keyword,유명한,11
blog_keyword,주요,11
blog_keyword,이용,11
blog_keyword,싶은,11
blog_keyword,오마카세,11
blog_keyword,여의도역맛집,11
blog_keyword,코스,11
category,한식,124
category,카페,96
category,"육류,고기",54
category,일식,50
category,중국요리,34
category,커피전문점,34
category,"제과,베이커리",32
category,치과,31
category,양식,26
category,"해물,생선",25
category,약국,25
category,"돈까스,우동",24
category,분식,23
category,"호프,요리주점",18
category,GS25,17
category,중식,15
category,샐러드,15
category,"초밥,롤",15
category,스타벅스,15
category,디저트카페,14
category,피부과,14
category,햄버거,13
category,국수,11
category,"찌개,전골",11
category,일본식주점,10
category,삼겹살,10
category,국밥,10
category,세븐일레븐,10
category,샤브샤브,9
category,곰탕,9
