kind,key,value
blog_keyword,용산,252
blog_keyword,용산구,214
blog_keyword,한강대로,161
blog_keyword,용산역맛집,142
blog_keyword,아이파크몰,62
blog_keyword,용산맛집,52
blog_keyword,신용산역,52
blog_keyword,멘야서울,50
blog_keyword,용산아이파크몰점,48
blog_keyword,매일,48
blog_keyword,라멘,46
blog_keyword,용산점,45
blog_keyword,용산아이파크몰,42
blog_keyword,용산역카페,42
blog_keyword,용리단길,40
blog_keyword,분위기,36
blog_keyword,디저트,35
blog_keyword,근처,33
blog_keyword,용산역에서,32
blog_keyword,도보,31
blog_keyword,안녕하세요,30
blog_keyword,주차,29
blog_keyword,출구에서,29
blog_keyword,용산아이파크몰맛집,26
blog_keyword,브런치,26
blog_keyword,신용산역맛집,26
blog_keyword,메뉴,24
blog_keyword,카토,24
blog_keyword,엠버앰버,24
blog_keyword,용산데이트,23
blog_keyword,데이트,23
blog_keyword,오늘은,23
blog_keyword,용산카페,23
blog_keyword,근처에서,22
blog_keyword,신용산맛집,19
blog_keyword,가능,18
blog_keyword,위치한,18
blog_keyword,감성,18
blog_keyword,엉클피자,18
blog_keyword,맛집을,18
blog_keyword,올딧세,18
blog_keyword,브런치카페,17
blog_keyword,정보,17
blog_keyword,시간,17
blog_keyword,있어서,17
blog_keyword,한강로,17
blog_keyword,신용산본점,16
blog_keyword,이용,16
blog_keyword,서울특별시,16
blog_keyword,하이브,16
category,컴퓨터/소프트웨어 소매업,188
category,백반/한정식,168
category,카페,134
category,가전제품 소매업,84
category,기타 의류 소매업,65
category,경양식,59
category,핸드폰 소매업,53
category,일식 회/초밥,51
category,미용실,48
category,돼지고기 구이/찜,46
category,빵/도넛,38
category,장난감 소매업,34
category,김밥/만두/분식,32
category,여성 의류 소매업,31
category,편의점,30
category,요리 주점,28
category,슈퍼마켓,28
category,컴퓨터/노트북/프린터 수리업,27
category,요가/필라테스 학원,27
category,피부 관리실,25
category,피자,24
category,사진기/기타 광학기기 소매업,22
category,약국,22
category,남성 의류 소매업,20
category,네일숍,19
category,국/탕/찌개류,18
category,중국집,18
category,그 외 기타 상품 전문 소매업,16
category,신발 소매업,16
category,가전제품 수리업,15
trend:용산역,2024-08-01,10.40058
trend:용산역,2024-09-01,9.53892
trend:용산역,2024-10-01,10.56247
trend:용산역,2024-11-01,10.03507
trend:용산역,2024-12-01,10.21585
trend:용산역,2025-01-01,9.02181
trend:용산역,2025-02-01,9.31972
trend:용산역,2025-03-01,9.18979
trend:용산역,2025-04-01,8.6623
trend:용산역,2025-05-01,9.28309
trend:용산역,2025-06-01,8.64699
trend:용산역,2025-07-01,9.47606
trend:용산역,2025-08-01,9.70582
trend:용산역,2025-09-01,9.00202
trend:용산역,2025-10-01,9.15451
trend:용산역,2025-11-01,10.01653
trend:용산역,2025-12-01,9.56112
trend:용산역,2026-01-01,8.63338
trend:용산역,2026-02-01,8.31873
trend:용산역,2026-03-01,8.76008
trend:용산역,2026-04-01,8.66651
trend:용산역,2026-05-01,9.51241
trend:용산역,2026-06-01,8.14627
trend:용산역,2026-07-01,9.00668
trend:용산역,2026-08-01,9.49253
demand,flpop_tmzon_00_06,17.1
demand,selng_tmzon_00_06,2.67
demand,flpop_tmzon_06_11,19.39
demand,selng_tmzon_06_11,4.14
demand,flpop_tmzon_11_14,16.28
demand,selng_tmzon_11_14,25.42
demand,flpop_tmzon_14_17,16.86
demand,selng_tmzon_14_17,12.77
demand,flpop_tmzon_17_21,20.14
demand,selng_tmzon_17_21,37.02
demand,flpop_tmzon_21_24,10.23
demand,selng_tmzon_21_24,17.97
demand,agrde_10,8.78
demand,agrde_20,21.05
demand,agrde_30,24.22
demand,agrde_40,19.01
demand,agrde_50,13.73
demand,agrde_60_above,13.22
demand,fml_share,50.2
demand,flpop_wkend,25.96
demand,selng_wkend,25.82
demand,frc_share,9.25
demand,opbiz_rt,2.11
demand,clsbiz_rt,2.08
demand,stor_co,2194.25
demand,trdar_n,2.0
demand,trdar_selng_n,2.0
