hub,polygons,lots,eligible_lots,capacity,active,vacancy_pct,unit_counts,conflicting_duplicate_rows
anam,988,782,113,343,330,3.79,{'floor': 113},96
apgujeong-rodeo,769,726,583,2225,1850,16.85,{'floor': 583},1
banpo,134,89,55,266,240,9.77,{'floor': 55},0
bulgwang,559,445,264,658,504,23.4,{'floor': 264},8
cheongdam,636,575,393,1399,1130,19.23,{'floor': 393},4
cheongnyangni,2110,1508,645,1263,1057,16.31,{'floor': 645},53
cheonho,642,586,355,811,663,18.25,{'floor': 355},4
chungmuro,2041,1755,739,2030,1766,13.0,{'floor': 739},34
cityhall,635,472,305,1120,1045,6.7,{'floor': 305},11
dangsan,244,193,116,339,300,11.5,{'floor': 116},0
doksan,230,137,40,96,71,26.04,{'floor': 40},1
dongdaemun,2813,2408,1152,2737,2275,16.88,{'floor': 1152},47
dosan,1096,1029,757,2744,2307,15.93,{'floor': 757},2
euljiro,1972,1753,697,2251,1871,16.88,"{'floor': 688, 'unknown_or_proxy': 9}",22
gangnam,987,894,534,2327,2088,10.27,{'floor': 534},3
garak,284,25,16,86,75,12.79,{'floor': 16},1
garosugil,840,816,612,2146,1806,15.84,"{'floor': 607, 'unknown_or_proxy': 5}",3
gongdeok,426,281,187,474,431,9.07,{'floor': 187},1
gunja,435,415,287,741,654,11.74,{'floor': 287},1
gwangjang,1742,1590,560,1434,1119,21.97,{'floor': 560},26
hannam,714,609,340,856,739,13.67,{'floor': 340},16
hapjeong,292,240,149,383,342,10.7,{'floor': 149},4
hongdae,1325,1242,959,3007,2557,14.97,"{'floor': 958, 'unknown_or_proxy': 1}",4
hwagok,557,512,301,755,624,17.35,{'floor': 301},1
hyehwa,864,712,459,1141,985,13.67,{'floor': 459},16
ikseon,1748,1423,927,2568,1850,27.96,"{'floor': 896, 'unknown_or_proxy': 31}",16
itaewon,845,696,400,990,867,12.42,{'floor': 400},15
jamsil,579,394,255,811,725,10.6,{'floor': 255},36
jamsilsaenae,415,329,238,730,670,8.22,{'floor': 238},4
jangan,315,252,142,445,392,11.91,{'floor': 142},0
kkachisan,553,478,282,677,548,19.05,{'floor': 282},3
konkuk,585,543,411,1034,953,7.83,{'floor': 411},0
kyunghee,513,452,307,664,588,11.45,{'floor': 307},0
mangwon,959,867,580,1407,1237,12.08,{'floor': 580},4
miasageori,745,596,375,833,671,19.45,{'floor': 375},0
mokdong-yc,476,390,259,702,580,17.38,{'floor': 259},1
mullae,1247,944,336,690,591,14.35,{'floor': 336},27
myeongdong,1084,923,610,2237,1905,14.84,"{'floor': 608, 'unknown_or_proxy': 2}",13
nambu,490,412,220,670,586,12.54,{'floor': 220},12
namdaemun,385,338,169,499,428,14.23,{'floor': 169},3
nokdu,282,235,173,438,318,27.4,{'floor': 173},0
nonhyeon,843,813,549,1796,1569,12.64,{'floor': 549},3
noryangjin,497,390,235,585,465,20.51,{'floor': 235},8
oryudong,342,293,162,368,313,14.95,{'floor': 162},0
sadang,349,307,238,708,660,6.78,{'floor': 238},3
samcheong,614,554,278,474,418,11.81,{'floor': 278},3
sangbong,573,480,274,580,475,18.1,{'floor': 274},5
sanggye,642,475,323,675,542,19.7,{'floor': 323},3
seochon,846,696,442,860,758,11.86,{'floor': 442},9
seolleung,848,803,520,2104,1863,11.45,{'floor': 520},4
seongsu,831,539,324,852,757,11.15,{'floor': 324},8
seoulsup,698,474,326,807,714,11.52,{'floor': 326},9
sharosugil,570,497,306,797,693,13.05,{'floor': 306},3
sillim,1183,1095,550,1409,1200,14.83,{'floor': 550},8
sinchon,1443,1131,690,1972,1633,17.19,{'floor': 690},16
songridan,453,423,301,866,788,9.01,{'floor': 301},1
sukmyung,600,528,301,673,569,15.45,{'floor': 301},11
sungshin,714,524,353,876,765,12.67,{'floor': 353},0
suyu,1095,852,578,1388,1138,18.01,{'floor': 578},2
teheran,871,835,534,1959,1734,11.49,{'floor': 534},1
wangsimni,987,721,469,1072,929,13.34,{'floor': 469},10
yeonhui,477,434,240,613,525,14.36,{'floor': 240},3
yeonnam,1133,1048,770,2123,1857,12.53,{'floor': 770},3
yeonsinnae,816,718,503,1219,965,20.84,{'floor': 503},2
yeouido,250,155,73,346,316,8.67,{'floor': 73},0
yongsan,411,289,149,305,274,10.16,{'floor': 149},5
