hub,eligible_lots,floor_lots,floor_capacity,floor_vacancy_lower_pct,floor_vacancy_upper_pct,range_width_pp,interpretation
anam,113,113,343,3.790087463556846,21.57434402332361,17.784256559766764,existing_unknown_floor_assignment_range_not_confidence_interval
apgujeong-rodeo,583,583,2225,16.85393258426966,31.056179775280903,14.202247191011235,existing_unknown_floor_assignment_range_not_confidence_interval
banpo,55,55,266,9.774436090225569,27.819548872180455,18.045112781954888,existing_unknown_floor_assignment_range_not_confidence_interval
bulgwang,264,264,658,23.404255319148938,39.96960486322189,16.565349544072948,existing_unknown_floor_assignment_range_not_confidence_interval
cheongdam,393,393,1399,19.22802001429592,33.73838456040028,14.51036454610436,existing_unknown_floor_assignment_range_not_confidence_interval
cheongnyangni,645,645,1263,16.31037212984956,41.17181314330958,24.861441013460016,existing_unknown_floor_assignment_range_not_confidence_interval
cheonho,355,355,811,18.249075215782984,34.5252774352651,16.27620221948212,existing_unknown_floor_assignment_range_not_confidence_interval
chungmuro,739,739,2030,13.00492610837438,33.00492610837439,20.0,existing_unknown_floor_assignment_range_not_confidence_interval
cityhall,305,305,1120,6.696428571428569,28.660714285714285,21.964285714285715,existing_unknown_floor_assignment_range_not_confidence_interval
dangsan,116,116,339,11.504424778761058,25.663716814159287,14.15929203539823,existing_unknown_floor_assignment_range_not_confidence_interval
doksan,40,40,96,26.041666666666664,52.08333333333333,26.041666666666668,existing_unknown_floor_assignment_range_not_confidence_interval
dongdaemun,1152,1152,2737,16.87979539641944,42.01680672268907,25.13701132626964,existing_unknown_floor_assignment_range_not_confidence_interval
dosan,757,757,2744,15.925655976676389,30.174927113702623,14.24927113702624,existing_unknown_floor_assignment_range_not_confidence_interval
euljiro,697,688,2107,11.770289511153297,31.98860939724727,20.218319886093973,existing_unknown_floor_assignment_range_not_confidence_interval
gangnam,534,534,2327,10.270734851740437,24.666953158573268,14.396218306832832,existing_unknown_floor_assignment_range_not_confidence_interval
garak,16,16,86,12.790697674418606,34.883720930232556,22.093023255813954,existing_unknown_floor_assignment_range_not_confidence_interval
garosugil,612,607,2124,15.160075329566858,31.167608286252356,16.0075329566855,existing_unknown_floor_assignment_range_not_confidence_interval
gongdeok,187,187,474,9.071729957805907,22.995780590717295,13.924050632911392,existing_unknown_floor_assignment_range_not_confidence_interval
gunja,287,287,741,11.740890688259109,27.935222672064775,16.194331983805668,existing_unknown_floor_assignment_range_not_confidence_interval
gwangjang,560,560,1434,21.96652719665272,46.792189679218964,24.825662482566248,existing_unknown_floor_assignment_range_not_confidence_interval
hannam,340,340,856,13.668224299065423,33.41121495327103,19.742990654205606,existing_unknown_floor_assignment_range_not_confidence_interval
hapjeong,149,149,383,10.704960835509137,22.976501305483033,12.27154046997389,existing_unknown_floor_assignment_range_not_confidence_interval
hongdae,959,958,2989,14.519906323185017,26.865172298427563,12.345265975242556,existing_unknown_floor_assignment_range_not_confidence_interval
hwagok,301,301,755,17.350993377483448,32.31788079470199,14.966887417218542,existing_unknown_floor_assignment_range_not_confidence_interval
hyehwa,459,459,1141,13.672217353198945,33.04119193689746,19.36897458369851,existing_unknown_floor_assignment_range_not_confidence_interval
ikseon,927,896,2128,14.708646616541355,41.02443609022557,26.31578947368421,existing_unknown_floor_assignment_range_not_confidence_interval
itaewon,400,400,990,12.424242424242426,28.787878787878785,16.363636363636363,existing_unknown_floor_assignment_range_not_confidence_interval
jamsil,255,255,811,10.604192355117137,21.454993834771884,10.850801479654747,existing_unknown_floor_assignment_range_not_confidence_interval
jamsilsaenae,238,238,730,8.21917808219178,22.191780821917806,13.972602739726028,existing_unknown_floor_assignment_range_not_confidence_interval
jangan,142,142,445,11.910112359550562,30.112359550561795,18.202247191011235,existing_unknown_floor_assignment_range_not_confidence_interval
kkachisan,282,282,677,19.054652880354507,36.63220088626292,17.57754800590842,existing_unknown_floor_assignment_range_not_confidence_interval
konkuk,411,411,1034,7.833655705996135,26.112185686653778,18.27852998065764,existing_unknown_floor_assignment_range_not_confidence_interval
kyunghee,307,307,664,11.445783132530119,26.204819277108438,14.759036144578314,existing_unknown_floor_assignment_range_not_confidence_interval
mangwon,580,580,1407,12.08244491826581,23.169864960909734,11.087420042643924,existing_unknown_floor_assignment_range_not_confidence_interval
