hub,repeat_master_bytes_equal,repeat_master_semantics_equal,repeat_coverage_except_built_at_equal,repeat_serving_equal,stored_master_same_as_current_rebuild,common_polygon_ids,entered_polygon_ids,exited_polygon_ids,old_lots,rebuilt_lots,old_capacity,rebuilt_capacity,old_vacancy_pct,rebuilt_vacancy_pct,delta_pp,causal_interpretation
anam,True,True,True,True,True,988,0,0,113,113,343,343,3.79,3.79,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
apgujeong-rodeo,True,True,True,True,True,769,0,0,583,583,2225,2225,16.85,16.85,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
banpo,True,True,True,True,True,134,0,0,55,55,266,266,9.77,9.77,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
bulgwang,True,True,True,True,True,559,0,0,264,264,658,658,23.4,23.4,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
cheongdam,True,True,True,True,True,636,0,0,393,393,1399,1399,19.23,19.23,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
cheongnyangni,True,True,True,True,True,2110,0,0,645,645,1263,1263,16.31,16.31,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
cheonho,True,True,True,True,True,642,0,0,355,355,811,811,18.25,18.25,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
chungmuro,True,True,True,True,True,2041,0,0,739,739,2030,2030,13.0,13.0,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
cityhall,True,True,True,True,True,635,0,0,305,305,1120,1120,6.7,6.7,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
dangsan,True,True,True,True,True,244,0,0,116,116,339,339,11.5,11.5,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
doksan,True,True,True,True,True,230,0,0,40,40,96,96,26.04,26.04,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
dongdaemun,True,True,True,True,True,2813,0,0,1152,1152,2737,2737,16.88,16.88,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
dosan,True,True,True,True,True,1096,0,0,757,757,2744,2744,15.93,15.93,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
euljiro,True,True,True,True,True,1972,0,0,697,697,2251,2251,16.88,16.88,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
gangnam,True,True,True,True,True,987,0,0,534,534,2327,2327,10.27,10.27,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
garak,True,True,True,True,True,284,0,0,16,16,86,86,12.79,12.79,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
garosugil,True,True,True,True,True,840,0,0,612,612,2146,2146,15.84,15.84,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
gongdeok,True,True,True,True,True,426,0,0,187,187,474,474,9.07,9.07,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
gunja,True,True,True,True,True,435,0,0,287,287,741,741,11.74,11.74,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
gwangjang,True,True,True,True,True,1742,0,0,560,560,1434,1434,21.97,21.97,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
hannam,True,True,True,True,True,714,0,0,340,340,856,856,13.67,13.67,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
hapjeong,True,True,True,True,True,292,0,0,149,149,383,383,10.7,10.7,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
hongdae,True,True,True,True,True,1325,0,0,959,959,3007,3007,14.97,14.97,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
hwagok,True,True,True,True,True,557,0,0,301,301,755,755,17.35,17.35,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
hyehwa,True,True,True,True,True,864,0,0,459,459,1141,1141,13.67,13.67,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
ikseon,True,True,True,True,True,1748,0,0,927,927,2568,2568,27.96,27.96,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
itaewon,True,True,True,True,True,845,0,0,400,400,990,990,12.42,12.42,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
jamsil,True,True,True,True,True,579,0,0,255,255,811,811,10.6,10.6,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
jamsilsaenae,True,True,True,True,True,415,0,0,238,238,730,730,8.22,8.22,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
jangan,True,True,True,True,True,315,0,0,142,142,445,445,11.91,11.91,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
kkachisan,True,True,True,True,True,553,0,0,282,282,677,677,19.05,19.05,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
konkuk,True,True,True,True,True,585,0,0,411,411,1034,1034,7.83,7.83,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
kyunghee,True,True,True,True,True,513,0,0,307,307,664,664,11.45,11.45,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
mangwon,True,True,True,True,True,959,0,0,580,580,1407,1407,12.08,12.08,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
miasageori,True,True,True,True,True,745,0,0,375,375,833,833,19.45,19.45,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
mokdong-yc,True,True,True,True,True,476,0,0,259,259,702,702,17.38,17.38,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
mullae,True,True,True,True,True,1247,0,0,336,336,690,690,14.35,14.35,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
myeongdong,True,True,True,True,True,1084,0,0,610,610,2237,2237,14.84,14.84,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
nambu,True,True,True,True,True,490,0,0,220,220,670,670,12.54,12.54,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
namdaemun,True,True,True,True,True,385,0,0,169,169,499,499,14.23,14.23,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
nokdu,True,True,True,True,True,282,0,0,173,173,438,438,27.4,27.4,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
nonhyeon,True,True,True,True,True,843,0,0,549,549,1796,1796,12.64,12.64,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
noryangjin,True,True,True,True,True,497,0,0,235,235,585,585,20.51,20.51,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
oryudong,True,True,True,True,True,342,0,0,162,162,368,368,14.95,14.95,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
sadang,True,True,True,True,True,349,0,0,238,238,708,708,6.78,6.78,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
samcheong,True,True,True,True,True,614,0,0,278,278,474,474,11.81,11.81,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
sangbong,True,True,True,True,True,573,0,0,274,274,580,580,18.1,18.1,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
sanggye,True,True,True,True,True,642,0,0,323,323,675,675,19.7,19.7,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
seochon,True,True,True,True,True,846,0,0,442,442,860,860,11.86,11.86,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
seolleung,True,True,True,True,True,848,0,0,520,520,2104,2104,11.45,11.45,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
seongsu,True,True,True,True,True,831,0,0,324,324,852,852,11.15,11.15,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
seoulsup,True,True,True,True,True,698,0,0,326,326,807,807,11.52,11.52,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
sharosugil,True,True,True,True,True,570,0,0,306,306,797,797,13.05,13.05,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
sillim,True,True,True,True,True,1183,0,0,550,550,1409,1409,14.83,14.83,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
sinchon,True,True,True,True,True,1443,0,0,690,690,1972,1972,17.19,17.19,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
songridan,True,True,True,True,True,453,0,0,301,301,866,866,9.01,9.01,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
sukmyung,True,True,True,True,True,600,0,0,301,301,673,673,15.45,15.45,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
sungshin,True,True,True,True,True,714,0,0,353,353,876,876,12.67,12.67,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
suyu,True,True,True,True,True,1095,0,0,578,578,1388,1388,18.01,18.01,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
teheran,True,True,True,True,True,871,0,0,534,534,1959,1959,11.49,11.49,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
wangsimni,True,True,True,True,True,987,0,0,469,469,1072,1072,13.34,13.34,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
yeonhui,True,True,True,True,True,477,0,0,240,240,613,613,14.36,14.36,0.0,not_established; current_inputs_and_code_not_historical_build_provenance
